Num,R_1,R_2,R_3,R_4,R_5,Average
1,0.7888059291151935,1.0,0.48608497385429233,1.0,0.9447679488776408,0.8439317703694253
2,0.6289246077794617,0.6047258061844842,0.24241412627483555,1.0,1.0,0.6952129080477564
3,0.5639356188514533,0.8062495619617123,0.4601085078188775,0.8176989345411673,1.0,0.729598524634642
4,1.0,0.6559875346139646,0.4596814351052671,0.8106998784851488,1.0,0.7852737696408761
5,0.0,0.1579989828771683,0.9710689038459055,0.7313880662813368,1.0,0.5720911906008821
6,0.0,0.2666832524638397,0.4813980063504122,0.441300501242234,1.0,0.43787635201129727
7,1.0,1.0,0.48782415478220875,0.8463353952607917,1.0,0.8668319100086
8,0.9306629868620636,0.6702664574456593,0.5037950628590082,1.0,1.0,0.8209449014333462
9,0.9098716910257537,1.0,0.8532748216584981,0.8812767969787564,1.0,0.9288846619326016
10,1.0,1.0,0.7071754330477308,1.0,1.0,0.9414350866095461
11,1.0,1.0,0.6300399779373065,0.33097121321953493,0.8624036786901069,0.7646829739693896
12,1.0,0.7031006964002843,0.3111061578042919,0.956390679092358,1.0,0.7941195066593869
13,0.7663008314680302,0.6945144745676611,0.3778721642785605,1.0,1.0,0.7677374940628503
14,0.9375736223779034,0.7861031615468518,0.20251297703726437,0.8382337945399069,1.0,0.7528847111003854
15,1.0,0.924895666905068,0.0,0.662859292840554,1.0,0.7175509919491244
16,0.8935765915219546,0.762753841618581,0.5368241546260991,0.1263808496298059,0.8525990137035722,0.6344268902200025
17,1.0,0.979397488519473,0.335411730874397,0.579159196760548,1.0,0.7787936832308836
18,1.0,0.8644023512489277,0.4170504055112931,1.0,0.8762268952957981,0.8315359304112038
19,0.33642586245165285,0.4031572151491223,0.5912904216591566,0.7741483870916483,0.8986809547504092,0.6007405682203978
20,0.5467379326770773,0.7110811508504394,1.0,0.9198414034789857,1.0,0.8355320974013004
21,1.0,0.8363201683194038,0.0,0.5941151867234252,1.0,0.6860870710085658
22,1.0,1.0,0.4135774636964385,0.9277272038290533,1.0,0.8682609335050984
23,0.9072493660252552,0.8544739023485991,0.4259020412151165,0.9980537219268504,1.0,0.8371358063031643
24,1.0,0.0,0.8806797770854228,0.7862539229139603,1.0,0.7333867399998766
25,0.599916766969133,0.7401362327177367,1.0,0.8375442127556498,1.0,0.8355194424885038
26,1.0,1.0,0.42024322792108726,0.8291455145249403,1.0,0.8498777484892056
27,0.849854645539778,0.7979105957094803,1.0,0.5627195665263651,1.0,0.8420969615551247
28,0.507573111168628,0.44219428961488777,1.0,1.0,1.0,0.7899534801567032
29,1.0,1.0,0.4775507678658356,1.0,1.0,0.8955101535731671
30,0.0,0.6937016619961883,1.0,0.7417814845945965,0.9708543964434844,0.6812675086068538
31,0.6268187033520668,0.9405913065510574,1.0,0.8667424450995288,1.0,0.8868304910005307
32,0.7211694435663625,1.0,0.6607623082149678,1.0,1.0,0.8763863503562661
