Num,F_1,F_2,F_3,F_4,F_5,F_6,F_7,Average
1,0.5681442870822542,0.8175709052234456,0.7401395170788541,0.6980150462534668,0.6956843517894779,0.8903109536342815,0.815299693392697,0.746452107779211
2,0.739869132869399,0.7899735063899587,0.9081787841111315,0.7744648686204567,0.820149773948069,0.8151580572128677,0.6448204612100727,0.7846592263374222
3,0.6113860294554028,0.5753188550586523,0.7949970297009008,0.854987655113053,0.792675935937234,0.9120382075903706,0.727637166925651,0.7527201256830377
4,0.9512554969907456,0.6162069193961812,0.7235148863072888,0.4292858611393383,0.752051721313783,0.5821712165775242,0.713650272925183,0.6811623392357207
5,0.7288884340726612,0.6373242046036032,0.8684361378991217,0.8321768386310772,0.8820498069884717,0.6090109963847995,0.7125970636308095,0.7529262117443635
6,0.7474175027255844,0.8655415844603355,0.8267488461338768,0.7549792754740988,0.8605266237431892,0.8106774825246791,0.8320751630564514,0.813995211159745
7,0.6804399400462255,0.8514020094275752,0.8209635194373168,0.7935576950713539,0.7013072294060259,0.7804839540280251,0.9304374367499822,0.7940845405952148
8,0.662233955120572,0.7488382354011388,0.7481365068218562,0.742349663616305,0.7609830828231144,0.7625134303067663,0.81043305623571,0.7479268471893519
9,0.8030948951021919,0.6723829700974244,0.6501767146229923,0.7218229117617649,0.7266595761996425,0.8035151473925286,0.8877781210212383,0.7522043337425404
10,0.7253543421054198,0.6648810977208688,0.8384964672595705,0.6658833772148927,0.7073859502345035,0.6750942765499173,0.9088142185594977,0.7408442470920958
11,0.7545933355528188,0.6477337013722361,0.7426899391257893,0.8220595189240743,0.7906416280023391,0.8875335998085995,0.9280043994210124,0.7961794460295527
12,0.6908656889754217,0.7643416707656562,0.8751945355558475,0.8940658125075704,0.9357482874606838,0.9229682167855556,0.9041069474213758,0.8553273084960159
13,0.7181601058103724,0.5074450240672659,0.540987518173522,0.6873840000514483,0.8446068085247047,0.8350976515380564,0.9280100405878479,0.7230987355361739
14,0.7618325864378963,0.8532500962792103,0.7142170098963603,0.6639087770577918,0.8905979043059137,0.7947491028018125,0.7416360194412716,0.774313070888608
15,0.8807007372071455,0.769701226225514,0.7806895645533823,0.8005975094916453,0.8260973052716252,0.7107036780060603,0.780369625313651,0.7926942351527176
16,0.6856856654435066,0.6606516599922104,0.5690284842805217,0.560730572709208,0.7590050377981551,0.8415870390890335,0.8760939780667986,0.707540348197062
17,0.626725283371435,0.5371146177524142,0.6738123724236686,0.721665429194945,0.7065672788551821,0.8576450171179125,0.7496553156181102,0.6961693306190954
18,0.9700206178682791,0.7531732942143122,0.6169144011723735,0.7156570377901257,0.7417138376884764,0.8470653948845659,0.8386054611490079,0.7833071492524487
19,0.7547187395240625,0.6766568808367137,0.5832529089507075,0.8240648942321842,0.8590939863962808,0.8936557478499696,0.8458195365386939,0.776751813475516
20,0.6842615670609657,0.8431780455563911,0.7863256239835336,0.7779781037258212,0.6270308142356598,0.8381677871862654,0.6172313309203721,0.739167610381287
21,0.6373743163184294,0.5683438667062061,0.8710039535799435,0.5116806615326928,0.744173203197652,0.9239747098254235,0.8380995586752471,0.7278071814050849
22,0.7190990422288084,0.901522379640522,0.7389005261938975,0.8856064898144715,0.8511216708401732,0.7355539674088665,0.8936810986882486,0.8179264535449983
23,0.605080141605458,0.6621601859395786,0.3265075448629191,0.7165548579150312,0.8450244367281117,0.688839262266834,0.8085488637543825,0.664673613296045
24,0.7218309737982024,0.7134657016422495,0.6609995936783526,0.8415621762965223,0.8783770438875953,0.902237143525953,0.7794413073708366,0.7854162771713874
25,0.6849261076799328,0.4884944794610604,0.7609692385799803,0.786225925498973,0.8047871400716047,0.7953493642406501,0.728084493130042,0.7212623926660348
26,0.6529685134330299,0.7454623460280833,0.9274804381008035,0.8524338839326807,0.9059016297842767,0.8494995340055533,0.7156675047498638,0.8070591214334703
27,0.5921879278243172,0.6828627877923964,0.7298266568356307,0.5031681019533683,0.7555540695038521,0.895133160818967,0.7279587649958397,0.698098781389196
28,0.9740107702889215,0.8246476929304091,0.7936088116591428,0.5258236868102102,0.7498039483743208,0.7950629687388835,0.9109965673918001,0.7962792065990983
29,0.7293881401414894,0.7498494936223112,0.7959813963695881,0.9091407052747028,0.8727045471269993,0.8127450982057115,0.850354363497596,0.817166249176914
30,0.4946851883347606,0.6168508882690296,0.6518466978472045,0.9733051273981262,0.912325564804189,0.7928263811973436,0.8967135132265422,0.7626504801538851
31,0.7613959911519982,0.7908309889409684,0.7515262374501201,0.8174736258433185,0.8822363778051259,0.9396296119030485,0.9578869736674371,0.8429971152517167
