Num,P_1,P_2,P_3,P_4,P_5,P_6,P_7,Average
1,0.3967887839232944,0.6914333458429852,0.5874773652418614,0.5361160620519386,0.5333711611479426,0.8023066971329399,0.6881906663192479,0.6050977259514586
2,0.5871367428322175,0.6528563717915962,0.831801737221024,0.6319401613144031,0.6951304121816307,0.6879888597590932,0.4758192126969749,0.6518104996852772
3,0.440285091770771,0.40382288844170633,0.6597469461038515,0.7467060586123815,0.6565560643840727,0.8382998501908586,0.5718786717209402,0.6167565101749403
4,0.9070421768707488,0.44530278987036054,0.5668024472406507,0.27330616725123924,0.6026305209583755,0.41060755951944344,0.5547871297396214,0.5372112559214914
5,0.573426010439061,0.4677005394509176,0.7674654228412441,0.7125880579861074,0.7889884652306475,0.4378258884879544,0.5535151765619842,0.6145013658568452
6,0.5967012187635895,0.762955761625335,0.7046648481099343,0.6063989623639333,0.7551967792086848,0.6816296426015505,0.7124389658789912,0.6885694540788599
7,0.5156566651995076,0.7412532639059063,0.6963003545450268,0.6577668006414017,0.540010112696072,0.6399948213932406,0.8699233394283322,0.6658436225442125
8,0.49502972336262185,0.5985143221198308,0.5976182793880659,0.5902671371685798,0.6141829641495318,0.6161791561873591,0.6812841097207689,0.5990108131566797
9,0.6709762468351742,0.5064585305498572,0.48167543238180033,0.564728407670555,0.5706718820964508,0.6715631590667003,0.7982023531459327,0.6091822873923529
10,0.5690635178591809,0.49799392142967597,0.7219060843329833,0.49911931673918564,0.547252252412726,0.5095413693224581,0.8328684574314641,0.5968207027896676
11,0.6059011542930617,0.4789986277329659,0.5906975234170919,0.6978786552723008,0.6537695081205163,0.7978071064940918,0.8656792984223022,0.6701045533931901
12,0.5277271271232086,0.61857040306544,0.7780852451568985,0.8084258743594458,0.8792546692060079,0.8569554131735276,0.8249956008882637,0.7562877618532561
13,0.5602572591676042,0.33998414279524347,0.3707901919360428,0.5236748600340011,0.731012450788502,0.7168821083077576,0.8656891162457728,0.5868985898964176
14,0.6152904511080356,0.7440594444444439,0.5554724361680902,0.4969037784679084,0.8027728699653484,0.659405526807193,0.5893652638658462,0.6376099672609808
15,0.7868322319891802,0.6256213877740564,0.6402713713078538,0.667496954381277,0.7037187230094678,0.5512337744878798,0.6398410875215679,0.659287932924469
16,0.5217059933192365,0.493263507526629,0.3976518596140048,0.38959388845262893,0.6116100878052595,0.7265000198437146,0.7795082159626231,0.5599762246462995
17,0.45637284061419725,0.36716110795173035,0.5080822339257467,0.5645356432318519,0.5462729273075752,0.7507692704715392,0.5995589256163422,0.5418218498741404
18,0.9417864422301865,0.6040721543092872,0.4460420972464044,0.5572164591915132,0.5894635575789197,0.7347037647462721,0.7220676807888811,0.6564788794416377
