Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Average
1,0.2925083894633327,1.0,1.0,1.0,1.0,0.2710747761045315,0.7605971942613107
2,1.0,1.0,1.0,1.0,0.17853376872966853,0.5821748531881736,0.7934514369863069
3,1.0,1.0,1.0,1.0,0.8102908410657114,1.0,0.9683818068442852
4,0.6120882714351349,1.0,1.0,1.0,0.4981509109910331,1.0,0.8517065304043613
5,1.0,1.0,1.0,1.0,1.0,0.7694031502286187,0.9615671917047698
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,0.6107129842843088,0.5678027496253362,0.8630859556516075
8,1.0,0.4872544915152507,1.0,1.0,1.0,0.41965595210928414,0.8178184072707558
9,1.0,0.7540437550129412,1.0,1.0,1.0,1.0,0.9590072925021569
10,1.0,1.0,1.0,0.260186680598716,1.0,1.0,0.876697780099786
11,1.0,1.0,1.0,1.0,1.0,0.631793085693222,0.9386321809488704
12,1.0,1.0,1.0,1.0,0.9469472376368333,0.5705522749532954,0.9195832520983549
13,1.0,1.0,1.0,0.6639212776669398,1.0,0.5413816856932934,0.8675504938933724
14,0.971243295406477,0.5973103086133936,1.0,1.0,1.0,0.42634925622726727,0.8324838100411895
15,1.0,1.0,1.0,0.4777892979790285,0.427371754817991,0.9184540200617737,0.8039358454764655
16,0.9666357927370922,1.0,0.8849555500266766,1.0,0.9708477728485237,0.8479845774191277,0.9450706155052367
17,1.0,1.0,1.0,0.9043671063921943,0.8255119217000187,1.0,0.9549798380153689
18,1.0,1.0,1.0,0.9780604006927048,0.7440046908664811,1.0,0.9536775152598643
19,1.0,1.0,1.0,0.7595135733366626,0.8829279777805522,0.9123192717768723,0.9257934704823478
20,1.0,1.0,1.0,1.0,1.0,0.7070621999963702,0.9511770333327284
21,1.0,0.912880109683963,1.0,1.0,0.42609816413703533,1.0,0.8898297123034998
22,0.08186759856964111,0.7212450657130938,1.0,1.0,1.0,1.0,0.8005187773804558
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,0.0,0.6044976919592522,0.5122005081541767,1.0,1.0,0.6861163666855715
25,0.0,1.0,1.0,1.0,0.774610974013482,1.0,0.7957684956689137
26,0.0,1.0,1.0,1.0,0.8631062565020072,0.7540098135495327,0.76951934500859
