Num,Setting,P,Q,R,F,Dist_ave,Dist_std
4,A,0.46181311350746074,0.7923933090582082,0.549804190831805,0.597201104355275,0.03357726863149743,0.013679740088362409
4,B,0.4609674646545263,0.7642892245890569,0.5747140250917494,0.5970902921270765,0.03389162212677274,0.011832755435322433
4,C,0.4428547107849215,0.7994303147467492,0.530514838456362,0.5804742432157282,0.034297250439688134,0.014101207698294023
4,D,0.4792216812025148,0.7790963979929159,0.564074187593207,0.6195457043620751,0.03352630366966771,0.01223426726949437
4,E,0.45747884902782204,0.775150087894202,0.5697873667760147,0.5910100277955289,0.034137506477010866,0.012476379815518334
5,A,0.48992525410550297,0.9274803945393942,0.517886048928064,0.6354077234792701,0.030775091324980495,0.011096244988204114
5,B,0.5132426179973273,0.8785901985531582,0.5640924955199588,0.6617231118883307,0.03215293257485317,0.010532997167560895
5,C,0.5043737774941142,0.9120974499964326,0.5397214532940626,0.649980380286297,0.032178983572645724,0.011380396229991261
5,D,0.5219899422039652,0.9072304580049342,0.5528097770791994,0.6730150286192357,0.03104827191238875,0.010766203428866392
5,E,0.49109274128205826,0.892659361648203,0.5361217469028806,0.6379470035093107,0.03087396585356996,0.010645221799318007
6,A,0.45634320711215887,0.9697151484270604,0.468217559398451,0.6015020008837372,0.022870849345059504,0.007205217188312392
6,B,0.4493062894727566,0.9324558071361748,0.476007807497539,0.6009996415105324,0.02866021484072229,0.0077565235887006
6,C,0.47844498523068485,0.9545691518829426,0.4971567931980612,0.6288072614166852,0.025473130950804865,0.007727680982614428
6,D,0.5036630618509902,0.9647578094304965,0.5144231398957996,0.6643667273158563,0.024867566351028356,0.007368223160154275
6,E,0.4882832652133283,0.956451089689784,0.5068156135093328,0.6376202529158272,0.026644233345186084,0.007615162085937692
7,A,0.49992920423668613,0.9934061528520087,0.502226586192854,0.6571545902735242,0.01617022092331762,0.005060565190211809
7,B,0.4925431621974238,0.9787111540683623,0.5005108595010145,0.652644419378376,0.021779108521069766,0.005573105452106891
7,C,0.4820003198913659,0.9846855216322604,0.4875700329723277,0.6408059526344169,0.01788113700505307,0.005328565343261304
7,D,0.498082888867888,0.9910475418607947,0.5007410335904814,0.6627713995360305,0.018855704725391626,0.005279222055865331
7,E,0.5142116062461224,0.988948336413131,0.5186769361045928,0.6712167801419832,0.01958571367925825,0.005273257642368883
8,A,0.4895381134247562,0.9992046353049564,0.48984718017594475,0.6463999106604964,0.012718619395816665,0.0032484661034499307
8,B,0.48552001544237033,0.987261083278005,0.4907125329131101,0.6446941846674792,0.01901828492231298,0.0038414824506063875
8,C,0.4679182153268154,0.9928729537659876,0.4704782640753651,0.6273557598125383,0.015632243622931485,0.003959329999880562
8,D,0.5079159387628466,0.9974046758498123,0.5087110767399121,0.6726088962678384,0.01605536041614733,0.00358347695562659
8,E,0.5428497703334655,0.9962281627693366,0.5446067068040084,0.695552720048202,0.016687205390411707,0.003468978404165558
