Num,Setting,P,Q,R,F,Dist_ave,Dist_std
4,A,0.4366552232032687,0.678959808683803,0.6012074521240436,0.5657781182723771,0.03127020688784165,0.011927637631387775
4,B,0.46521255689223956,0.671058235074016,0.6463613958156834,0.5926598361783918,0.029145562394093508,0.01032633471310913
4,C,0.4199775357785009,0.6902186540811469,0.5791615202655233,0.5516998331533015,0.03213352553884282,0.01250984585241599
4,D,0.4681795792402814,0.6733052863150175,0.6280145122251413,0.5974019237624407,0.030113530380536702,0.010787008686646678
4,E,0.4665147727386084,0.6845755692757943,0.6467392992316425,0.5932548796494496,0.029406590265658332,0.010788401135441073
5,A,0.48092808853524194,0.7822255155131675,0.6059161025259208,0.6205651679634083,0.029472348269286498,0.0103160567304206
5,B,0.5685423512497924,0.7711495506086324,0.7075664919478669,0.7017005180945382,0.022488185155927782,0.008382303012964927
5,C,0.5011303355558172,0.7760180768652932,0.6311476779100996,0.6412681970813597,0.02990847900454458,0.010508043416029123
5,D,0.5414294335976916,0.7751736368498297,0.6747160626799741,0.6794473800092963,0.025015036747655137,0.009265592718924067
5,E,0.5326383072326621,0.7733221667512056,0.6686965676956668,0.6673303485965233,0.022723790479955347,0.00862512904467137
6,A,0.505048747528934,0.8100300992793551,0.6159856401217967,0.6397165562273609,0.02351313817989257,0.007665958402020333
6,B,0.5565632295276779,0.8103290028148846,0.6742204410986844,0.6936238789997682,0.019396435378156617,0.006805634525285113
6,C,0.5421446271619884,0.8132252746525969,0.6598061547212054,0.6803634655095222,0.0234208973684784,0.007881914668045291
6,D,0.5763410502256615,0.8078386612655456,0.6992147452358904,0.7119356545572525,0.022022384040067063,0.00737269170272284
6,E,0.551967657099754,0.8057727805128422,0.6719312509214825,0.6878737692292392,0.023008772930625244,0.007338409063641602
7,A,0.5798978998442169,0.8273811215842309,0.6951259297246701,0.7140954861521378,0.022303813994958177,0.006550249197990448
7,B,0.5987650989886532,0.8260511009216337,0.7132821003853947,0.732699139378671,0.020756237230544716,0.0061617151642128385
7,C,0.5855125734452623,0.8273886798186486,0.7028740283695336,0.7211334323443505,0.020117014473661755,0.0059689551099562435
7,D,0.5964735715614169,0.8303148460715989,0.7106408252695846,0.7314549487408261,0.021060260803235576,0.00612255090642785
7,E,0.5948864619533172,0.8253921825654875,0.7103701202336148,0.7280084513708783,0.022337876302287625,0.006588528628201976
8,A,0.580459968963456,0.8409067554601141,0.6854869540614367,0.7153774242563632,0.021319118795137183,0.005788226069824158
8,B,0.6164489088423013,0.8492760524250197,0.7172401488443962,0.7483533327853659,0.018487468454178913,0.005213778326224409
8,C,0.583844515075129,0.8480840785079511,0.6851265715434567,0.7208193815833687,0.01941056956049056,0.005381506183311287
8,D,0.6195498163378987,0.845281792389172,0.7248586434934304,0.7504644198965482,0.019815309866339125,0.005801863092654632
8,E,0.624032344743885,0.8429303482713986,0.7331239655645163,0.7522735797969583,0.021590539903952474,0.006123990038471456
