Num,P_1,P_2,P_3,P_4,P_5,P_6,P_7,Average
1,0.40987576097033096,0.48845838860713603,0.5528446487859829,0.7545844485337247,0.6247629680852204,0.6244463289723148,0.7286649597355286,0.597662500527177
2,0.775908356502233,0.6290909673034176,0.6855482459533394,0.7364260300427511,0.6876213129676297,0.9227918740080057,0.7127482641271826,0.7357335787006514
3,0.9295475930932235,0.6802327655521904,0.6721568175926033,0.6994232129986647,0.7881297012405968,0.7822726590074539,0.5130946705285777,0.7235510600019016
4,0.9017220304451702,0.6746583253142107,0.5173877333193919,0.8269223521939262,0.5103053516999403,0.4677671103260027,0.4510575406601647,0.6214029205655438
5,0.7544645701072207,0.690555514149631,0.6989173995081676,0.5971739793741833,0.6920996170230801,0.4856190954193458,0.6764888964245039,0.6564741531437333
6,0.8708855873248228,0.5969532170825059,0.7945250929092701,0.459738711332024,0.8307467408078301,0.6089715886084889,0.7071723018053634,0.6955704628386151
7,0.839935534744519,0.9586439352335411,0.7632273520938875,0.7390556804977092,0.6942665146876483,0.7381732049363332,0.696327576240947,0.7756613997763694
8,0.5605388670601149,0.7868668541329393,0.8481951140037759,0.41877318069900815,0.7567445718020446,0.004485613676040555,0.8197328558479,0.5993338653174033
9,0.6087669380461074,0.42924809271997105,0.46843957973608646,0.5752414647599197,0.5959610120574705,0.47379671542742413,0.7817514245079727,0.5618864610364217
10,0.7738616731092216,0.5849182322755739,0.44031262521396547,0.6866519088880649,0.5917047158837248,0.6903498017774877,0.5805171153429234,0.6211880103558517
11,0.543481453912079,0.3772335897917919,0.687584908052501,0.6348716588472428,0.33774643873122817,0.5828763790757715,0.7631733220093074,0.5609953929171317
12,0.7030447083322798,0.8736612359165967,0.7051624812193549,0.6938268963519614,0.7083137734231266,0.5712112518906052,0.5679273681895296,0.6890211021890649
13,0.8360151801027882,0.9248895069608127,0.7469267122171621,0.8853068091771744,0.779717192237808,0.7964396987791625,0.588094175033319,0.7939127535011753
14,0.648430455917506,0.8120717758348032,0.7337589424239214,0.7624824340277959,0.6343869291598818,0.9005824963202086,0.6806595389655327,0.7389103675213786
15,0.7369557114455386,0.543654499825708,0.5062969296033453,0.5746541852567217,0.8630557536155226,0.5535175833011906,0.7337350517507637,0.6445528163998272
16,0.8470665742422194,0.571110425707733,0.5482984271507509,0.7025610625742348,0.6375301788274177,0.8107618797227502,0.5927982100662988,0.6728752511844863
17,0.744697486516778,0.6583210107165206,0.8591845987318226,0.4141263182668958,0.7982558988889451,0.7086734327472977,0.7314326131902873,0.7020987655797926
18,0.6944250681273144,0.9136525402301922,0.867077171069565,0.5536369528409752,0.7409346390387179,0.6153044524484422,0.8956661510599421,0.75438528211645
19,0.8748557158129926,0.4592018355290302,0.851843888994752,0.8160243585438013,0.8245141950550824,0.7035713336394571,0.1990052000705638,0.6755737896636685
20,0.6579795065608447,0.6670702610103542,0.5159497645138142,0.674726837256021,0.938984125627424,0.6746196339113087,0.8921401652550178,0.7173528991621121
21,0.4707325315891111,0.7249621097719267,0.5844892055629013,0.6547106065153531,0.6324306162537248,0.7262802438443132,0.7209853993605718,0.6449415304139859
22,0.6611011093510674,0.8164499539845537,0.3616897917025621,0.406885236525019,0.54078694588314,0.7214686784292396,0.369170129292796,0.5539359778811969
23,0.7718483036528014,0.8675712368318036,0.9009447036230719,0.8015543322204999,0.9195849252272177,0.8128183387551556,0.4778100482225572,0.7931616983618726
24,0.7691923390947797,0.7550556498931648,0.8989887560960577,0.8032195438285764,0.866018741021177,0.8543925625749224,0.7672457486593609,0.8163019058811484
25,0.9016796155229391,0.5880145222221883,0.7098267010769744,0.7526693230071672,0.7404382832258546,0.7626857792875574,0.5398760220995191,0.7135986066346
26,0.6894508218292807,0.8438036698036158,0.7029532865929556,0.775676837735607,0.7403560979091088,0.6416914770552773,0.7415508644244522,0.7336404364786139
27,0.8138326088568286,0.5691607130961882,0.5574868155138797,0.6854549431269131,0.6906286039360762,0.5674968232553468,0.49992815682253405,0.6262840949439666
28,0.7331035978756525,0.7494596452197694,0.6117318639254768,0.8471827022539684,0.8047947697314091,0.5851978246108149,0.7220076624001173,0.7219254380024583
