Num,Q_1,Q_2,Q_3,Q_4,Average
1,0.9365758826742707,0.4784044753118296,0.5013013132114973,0.7198611940739488,0.6590357163178866
2,1.0,1.0,1.0,0.9468994086421069,0.9867248521605267
3,0.8533379177458724,0.5889147119300008,1.0,0.4560449270378293,0.7245743891784255
4,0.7945669581974606,1.0,1.0,1.0,0.9486417395493651
5,0.7358472696678956,1.0,1.0,0.8214219542919102,0.8893173059899515
6,0.9509388344133466,1.0,1.0,0.7990815712982565,0.9375051014279008
7,0.5350918856969892,0.6163121011137696,1.0,0.45253262048241244,0.6509841518232927
8,0.30100821002763845,0.5669504362463884,0.8115001636488669,0.4871235970942244,0.5416456017542796
9,0.9885701175418778,1.0,1.0,1.0,0.9971425293854694
10,1.0,1.0,1.0,0.9432391222163848,0.9858097805540962
11,1.0,1.0,0.49970503377986947,0.8502918823685378,0.8374992290371018
12,0.5544866872215867,0.6722537406453205,0.24043809048904613,0.3754208292359319,0.46064983689797134
13,0.645274204480436,1.0,0.0,0.33590501548862733,0.49529480499226586
14,0.9471303027520431,0.9777578483623003,0.8917078425203363,1.0,0.95414899840867
15,0.611976992164206,1.0,1.0,0.9363351781789097,0.8870780425857789
16,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,0.49970503377986947,0.8502918823685378,0.8374992290371018
18,1.0,1.0,1.0,0.7715196459662933,0.9428799114915734
19,0.8766189951342305,1.0,1.0,1.0,0.9691547487835577
20,0.983899251293802,1.0,0.6321190346442074,0.7975252380242094,0.8533858809905547
21,1.0,1.0,1.0,0.655457203674437,0.9138643009186093
22,1.0,1.0,1.0,0.9432391222163848,0.9858097805540962
23,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0
25,0.771850671611648,0.9770731638610707,1.0,0.34320282206709796,0.7730316643849542
26,0.9487375864225024,1.0,1.0,1.0,0.9871843966056256
27,1.0,1.0,1.0,0.7715196459662933,0.9428799114915734
28,0.4721326991212413,0.9143254593365097,1.0,0.6959175538313567,0.7705939280722769
29,2.8571383333040967e-5,0.0,0.0,2.559519756873645e-5,1.3541645225444354e-5
30,0.863911483807301,1.0,1.0,0.4932680133844556,0.8392948742979391
31,0.2341242074927257,1.0,0.49970503377986947,0.8502918823685378,0.6460302809102832
32,0.7740311183341447,1.0,0.5012691457852293,0.8120643167286461,0.7718411452120051
33,0.30100821002763845,0.5669504362463884,0.8115001636488669,0.4871235970942244,0.5416456017542796
34,2.8571377549968534e-5,6.666654761659323e-5,0.0,2.5510158527848005e-5,3.0187020923602444e-5
35,0.6394799347789231,0.9293772693465652,1.0,1.0,0.8922143010313721
36,1.0,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,1.0
38,0.7005148951351231,1.0,1.0,0.7278425080711097,0.8570893508015582
39,0.611976992164206,1.0,1.0,0.9363351781789097,0.8870780425857789
40,0.6282569322916037,0.5883473771814345,0.17934122454866114,0.6972764642312076,0.5233054995632267
41,0.48058458644840485,0.5314943889343681,0.8819371958107443,0.5082081674113434,0.6005560846512152
42,1.0,1.0,1.0,0.7715196459662933,0.9428799114915734
43,0.4721326991212413,0.9143254593365097,1.0,0.6959175538313567,0.7705939280722769
44,0.9958697404213468,1.0,0.9721868499559833,1.0,0.9920141475943325
45,0.9099894782053652,1.0,0.9118849024640673,0.6368499324082307,0.8646810782694159
46,1.0,1.0,1.0,1.0,1.0
47,0.6848703393759991,1.0,1.0,1.0,0.9212175848439997
48,0.5703611474503666,1.0,1.0,0.9896576993333308,0.8900047116959244
49,0.9956317214908531,1.0,1.0,1.0,0.9989079303727133
50,0.8180533977662491,1.0,1.0,1.0,0.9545133494415623
51,0.5362248787012911,1.0,1.0,0.8797279344836236,0.8539882032962287
52,0.7294670565405799,1.0,1.0,1.0,0.932366764135145
53,0.2946624938856669,1.0,0.10531848125548786,0.430250218720235,0.45755779846534744
54,0.7358472696678956,1.0,1.0,0.8214219542919102,0.8893173059899515
55,0.8180533977662491,1.0,1.0,1.0,0.9545133494415623
56,0.9903481584117899,1.0,1.0,0.850585510743827,0.9602334172889042
57,0.7143047453878216,1.0,1.0,0.8602897057177623,0.893648612776396
58,1.0,1.0,1.0,0.9412051140716782,0.9853012785179196
59,0.7749661248599654,1.0,1.0,1.0,0.9437415312149914
60,0.983899251293802,1.0,1.0,0.7975252380242094,0.9453561223295028
61,0.611976992164206,1.0,1.0,0.9363351781789097,0.8870780425857789
62,0.39874844767561174,1.0,1.0,0.36148000547479087,0.6900571132876006
63,1.0,1.0,1.0,1.0,1.0
64,1.0,1.0,1.0,0.7715196459662933,0.9428799114915734
65,0.4501807273071405,1.0,0.5651266798888365,0.6485864318476823,0.6659734597609148
66,0.20963411206141558,0.6011886740407785,0.7986435271297045,0.3302762761546629,0.48493564734664035
