Num,R_1,R_2,R_3,R_4,Average
1,1.0,0.21891497871364965,0.3213615460180659,1.0,0.6350691311829288
2,0.47547190881702006,0.251894793232074,0.21618566498951225,0.629895705836485,0.3933620182187728
3,0.7881014437003215,0.2281212438864881,0.38428934430128614,0.4089241472943557,0.45235904479561284
4,0.5331128902375015,0.20387602718905934,0.20387602718905934,0.5845855645478687,0.3813626272908722
5,0.7381228820728135,0.5614058873052883,0.43280591387703277,0.690027924259405,0.6055906518786349
6,0.7445737110062121,0.3731946688564018,0.3731868835094116,0.6518446510104621,0.5356999785956219
7,0.7488158531551471,0.3581358315870493,0.4037935908340491,0.9032503021834536,0.6034988944399248
8,0.35416467759400255,0.357744078735215,0.4977422471679172,1.0,0.5524127508742838
9,0.6177452278293712,0.24421763431361854,0.27013334888775564,0.48056218853106747,0.4031645998904533
10,0.6994702752487771,0.3406032284328185,0.4719764813682663,0.7945967681306079,0.5766616882951174
11,0.6618409205590803,0.3744716510150035,0.1417393883849465,0.714771520653978,0.47320587015325205
12,0.8825053481088254,0.45854574155401684,0.2139872483828125,0.902025659339269,0.6142659993462309
13,0.8085061101028419,0.5635116630428856,0.0,0.83297584592815,0.5512484047684694
14,0.8327321521642215,0.40983904312466224,0.343519722368521,0.7714892658074023,0.5893950458662017
15,0.7028924888034913,0.37295394706770124,0.3719156267555147,0.7158524036497872,0.5409036165691237
16,0.6172004825421311,0.23959032842853464,0.21787273124253323,0.5576276463158794,0.40807279713226957
17,0.6618409205590803,0.3744716510150035,0.1417393883849465,0.714771520653978,0.47320587015325205
18,0.8930931161101231,0.4205876445262543,0.5357880434328013,0.6252412645751884,0.6186775171610918
19,0.6517924245895994,0.36659304236092866,0.22294225360424072,0.5844392954054141,0.4564417539900457
20,0.6697323918406763,0.29878038299208387,0.15022385462711554,0.8738707493035839,0.49815184469086493
21,0.6894658012168516,0.3956320190256617,0.26533296137759266,0.7478965490713864,0.5245818326728731
22,0.6994702752487771,0.3406032284328185,0.4719764813682663,0.7945967681306079,0.5766616882951174
23,0.7216097078357365,0.2565600442385889,0.3611886061424279,0.616303624492898,0.4889154956774129
