Num,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Average
1,0.7783167303195084,0.9998052503296575,1.0,0.6812023394682909,0.8642676885889506,0.6754879373034984,0.7166060464133654,0.8165265703461816
2,0.9458106234481974,0.5860773232934746,0.6903676233333818,0.6182384961306167,0.8013944263387691,0.8509830872026187,0.9758322452360094,0.7812434035690096
3,1.0,0.9903014844080248,0.809692440196552,0.6914819688856417,0.48347437642884045,0.9534452749749195,0.6347308192555569,0.7947323377356479
4,0.8722019416780883,1.0,0.940513228281065,0.6636793037598832,0.6343944176892737,0.7670772128644109,0.9867808807705634,0.8378067121490407
5,0.5820941176680875,0.8343784926461747,0.6062895266671479,0.7755781754516786,0.6570545802019481,0.9105218520820418,0.8637477342547559,0.7470949255674049
6,0.8030315281697166,0.9796770007712867,1.0,0.682925407663184,0.7052512778486926,0.7193885174738995,0.7370899524213473,0.8039090977640182
7,0.6420625064036762,0.5785080504248771,0.6116208830619498,0.7196796450833784,0.8030359655183954,0.7051810812584467,0.9497278691279429,0.7156880001255238
8,0.5849331090050852,0.8356716718643312,0.5885953454117328,0.7081322556562557,1.0,0.6988611242427818,0.7674940707191777,0.7405267966999093
9,0.5122542991230838,0.7771209355256595,0.5414318881817296,0.9240729519108855,1.0,1.0,0.8310938899033447,0.797996280663529
10,0.4415766648442333,0.9064493610521034,0.7730430739940269,0.756842571552506,0.6546573546752628,0.6505496643965597,0.9463209977178247,0.732777098318931
11,0.7096700930342348,0.790376386553175,0.5922138273437697,0.6851621542531914,1.0,0.6858647657175629,0.7174011252520618,0.7400983360219994
12,0.9125775409084353,0.5958948027406953,0.9656182763630804,0.7222303518280884,0.7344846091743199,0.7073084135031872,0.8672315084770561,0.7864779289992663
13,0.49805853372525305,0.8443194328263629,0.9593185511664555,0.5913525111115884,0.8100645863438432,0.7444185407666515,0.7727327754746511,0.745752133059258
14,1.0,0.5713414281312242,0.9925007907992321,0.6278277631866093,0.8535528325468787,0.7056335103881313,0.5516620042336019,0.7575026184693826
15,0.727522542914511,0.5812215661912422,0.6312309611895396,0.5817233475975044,0.8426269283858564,0.8786489226057,0.88585916160739,0.732690490070249
16,0.7932276977838552,0.7387599085188503,0.8029829922617204,0.6943529169687356,0.6346961909750432,0.7549881770374057,0.7502060095302834,0.7384591275822706
17,0.8224667969048962,0.6144927947584333,0.6700628941517954,0.6739665052947946,0.6961576480719244,0.5108777246752525,0.9117614084753783,0.6999693960474964
18,0.9742067259791988,0.7017684347021577,1.0,1.0,0.7305082396405671,0.8125147778354523,0.7099599056626971,0.8469940119742961
19,0.5982437001176394,0.5262981281882493,0.7856583787882204,0.7996126383955539,0.6802154788242388,0.6192667543538144,0.7264016208844143,0.6765280999360187
20,0.5001389717879101,0.8956002374868117,0.5301714062137306,0.63078804245719,0.7538039755951152,0.7076112751823648,1.0,0.7168734155318746
21,0.5757300785793195,0.6366761342034587,0.6155184846355864,0.6073843041849646,0.7949572184572598,0.8568141117038636,0.7005598531532503,0.6839485978453862
22,1.0,0.597403862783162,0.672882342692013,0.8497073528454102,0.5177954556106072,0.7375556805376666,0.9128709324826436,0.7554593752787861
23,0.677666363710151,0.6355995905094839,0.9563200451338448,0.4788120489889485,0.828172038988254,0.595623990149231,0.7355461094680276,0.7011057409925631
24,0.6131650601317398,0.5321741411696777,0.5538222241087274,0.7497167115661334,1.0,1.0,0.8384701103098279,0.7553354638980151
25,0.6687832770299765,0.6448969427887584,0.653103722782389,0.6462043084350005,0.7057806911264287,0.8380628300086729,0.9640227681137893,0.731550648612145
26,0.24056609868183956,0.8525539048800916,0.890445407430242,0.41400613325336605,0.5125273105800835,0.6772166765791188,0.7730703055436671,0.6229122624212013
27,0.9557893133719865,1.0,0.7292013097431369,1.0,0.652913166755261,0.8267179688795755,0.6241514806148486,0.826967605623544
28,0.6540682556578407,0.965111894050478,0.6135513958394712,0.8490250179013376,0.8418168680007696,0.6957462275434889,0.8184592625155794,0.7768255602155666
29,0.9815371271098807,0.740798565410753,0.5349857423694504,0.6080086417000727,0.7648630499148417,0.735701529639196,0.7827904125351121,0.735526438382758
30,0.5957812496925736,0.954606337719196,0.7589329311301828,0.7135615793681686,0.8275720035142059,0.7920482099597124,0.8729740217012383,0.7879251904407539
31,0.8963889170199273,0.9680367435148475,0.7080086193691245,0.6824885155523609,0.8670003348877553,0.48298516818176057,0.7997171130795041,0.77208934451504
32,0.8918304261180054,1.0,0.7770837780184411,0.7587306771509207,0.7704371588130211,0.7167411162149818,0.614698600996618,0.7899316796159983
33,0.47365802455523887,0.5939748942767253,0.8434957456505803,0.7275238177807147,0.8285914226249899,0.6903081622069566,0.8344943047756764,0.7131494816958402
34,0.6426385297490141,0.7566255564115815,0.7825462586887522,0.6971495125936913,0.7679272413848609,0.5541222163565703,0.9888907802579836,0.741414299348922
35,0.5748634559825078,0.4466007112880108,0.7555129618758548,0.6054091451357727,0.8657573061660755,0.6363276576464735,0.8369439097266866,0.6744878782601974
36,1.0,0.7899988134322325,0.8533720626001798,0.7752454185272056,0.6258506394142501,0.753757573084186,0.8539058142688337,0.8074471887609839
