Num,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,Average
1,0.895690276576078,0.9163933953469473,0.7629176268190243,0.8898093020127754,0.8575712326299046,0.6425848408642538,0.7249137545626048,0.8996133717565844,0.8236867250710215
2,0.8552137512239513,0.7235201374997238,0.9331803491145143,0.708386861486697,0.6584780033341622,0.6627990317595173,0.8303717846346891,0.7067712562455127,0.7598401469123459
3,0.7461550333248963,0.7668213370387691,0.7004963792377611,0.5230187463449444,0.8988271669506214,0.8071927101768878,0.7071172933863044,0.5068526531289848,0.7070601649486462
4,0.8988868285644059,0.8844047201484982,0.6318946905349327,0.8987926069868349,0.8474967839365519,0.7366448306217145,0.7085698374496581,0.8995287266771784,0.8132773781149718
5,0.7650137468700148,0.9120351453421284,0.8774945250980742,0.9349658245471387,0.9404834786205389,0.8337783203942585,0.7876641342573594,0.5989451195291866,0.8312975368323374
6,0.8476722949455227,0.761714360810651,0.8199891895261218,0.6512887184400902,0.8046686227290528,0.7779287684766288,0.7707069835283976,0.6961127569346992,0.7662602119238955
7,0.5034979176801115,0.9370708466189923,0.9188568869278062,0.8892476535816833,0.6702569412744867,0.8773619160561383,0.7391057841987108,0.6907018994283224,0.7782624807207815
8,0.8912860750311417,0.8865065491772399,0.6683955036215178,0.7391855174748764,0.5461342856531322,0.7177825968785332,0.8304338696879398,0.8965682962980953,0.7720365867278095
9,0.8691774891849552,0.9093859724976233,0.8335154625290893,0.6774069030118827,0.7322582752802917,0.6626836326622677,0.564317712823485,0.7801712798270131,0.753614590977076
10,0.733151301618905,0.8098021469840857,0.7762331238499507,0.5637956811598109,0.7434410941002909,0.7123190954288956,0.6743333545474774,0.6947130457295948,0.7134736054273764
11,0.9546207703131613,0.30757869710625363,0.7597394094570438,0.9213018014914577,0.8250755651597018,0.7632852347567782,0.7561750683345123,0.7318498673721574,0.7524533017488834
12,0.7063917887357588,0.8164856704847386,0.7255794942196157,0.7254148694389008,0.7936384951215588,0.7387689755973256,0.708357423553706,0.6904943265199619,0.7381413804589458
13,0.7888674921834087,0.7848738603471376,0.707834345881279,0.7948904332837305,0.6926211770323418,0.8111676672594393,0.7816670910901511,0.8543801068898256,0.7770377717459142
14,0.8233752541909153,0.8012568987294366,0.7839483854109186,0.8137856898031244,0.8875207005526919,0.5468116561617642,0.7907519290448003,0.5913386404528183,0.7548486442933087
15,0.9470862672187446,0.7470229766917955,0.6767842315889674,0.7115317681976343,0.574455857294315,0.9043157319105554,0.5587747883048113,0.8345851887683126,0.744319601246892
16,0.8476780974300703,0.8052544626309065,0.7664454210108682,0.661833311155814,0.7904198216547267,0.621745169155819,0.7892308464682131,0.7960129117180367,0.7598275051530567
17,0.8779236319723186,0.6708920557826462,0.8786513253012407,0.8231281022576595,0.8188493615607685,0.8004161685302019,0.6714781740968881,0.7356624448655994,0.7846251580459153
18,0.8316876166621815,0.9100359785708795,0.6038285780546437,0.6417895982106007,0.8852208100773135,0.7962322821806145,0.9030457402899759,0.7030883955851328,0.7843661249539178
19,0.8668358862271168,0.834760097678559,0.836214291502962,0.9590818197976474,0.7342189229536285,0.7837235494280432,0.7576115676790068,0.7156883910398979,0.8110168157883575
20,0.7676527336322678,0.6424425216314772,0.5612933730513717,0.6828476833789141,0.6372600987854203,0.7514242385565699,0.8252538232673616,0.4644793497512685,0.6665817277568314
21,0.24104578171771113,0.8982202439808673,0.36339063908454244,0.9100661540931817,0.6952037058232321,0.7530664399850202,0.5982916990663204,0.5940574032867845,0.6316677583797075
22,0.7582549905732897,0.858479134315362,0.8443580907426728,0.25608449690505786,0.7857510208734514,0.6887859660998086,0.729283523618125,0.5835855703462065,0.6880728491842467
23,0.9817629439833505,0.3629702159933018,0.6673496305780643,0.9273147488804517,0.9324761895385354,0.28907935619059616,0.6938245424777139,0.6356492502245668,0.6863033597333226
24,0.9533770142882919,0.6007677887539375,0.45839852054952723,0.7396754555210129,0.7871233227364192,0.6752202384070269,0.936004261008121,0.9295274499525226,0.7600117564021075
25,0.9228943769709932,0.8821901078631117,0.8345013994290997,0.6494523301714602,0.8931471281219645,0.11121320037732375,0.8734166813050455,0.6862135756099964,0.7316285999811244
26,0.8140750505116758,0.939504012153298,0.711477461850196,0.6565682126311609,0.8651976614299517,0.6456385065177171,0.8095395324444761,0.6985115833762451,0.7675640026143401
27,0.8059418023432192,0.7855502543427116,0.8660837067302182,0.7466652819404452,0.7936232028184281,0.8441200681971535,0.9765693521386128,0.8105302807190388,0.8286354936537285
28,0.7379255181276756,0.5238142212544852,0.8062205407692958,0.7215531427785723,0.6983676471708681,0.620883583777123,0.5721921282397316,0.8004543141200198,0.6851763870297215
29,0.8168712475330971,0.5549724999656939,0.9162161822038348,0.752302401626104,0.6700806268503408,0.9091209671637647,0.6485799243513635,0.7505087047595255,0.7523315693067155
30,0.5493182579485687,0.7510739901427361,0.965772543781199,0.9511228598118329,0.8156540399286626,0.7145452028518486,0.5410760227274674,0.6261975319526172,0.7393450561431165
31,0.4777064668917662,0.32963271866707894,0.8597509710478998,0.8011934412837814,0.5877115326926351,0.355722436629844,0.5820980691512774,0.729940245343909,0.5904694852135239
32,0.9363934175053199,0.7594946681272616,0.6539486928703853,0.739558207103031,0.8285179971585866,0.8477840436033623,0.8210385261476546,0.8313464866967829,0.8022602549015481
33,0.7664150746446793,0.8120146222456752,0.8671429620295112,0.7866004087538849,0.8472586507996761,0.5327997905401245,0.7499897112326235,0.8986191784887664,0.7826050498418676
34,0.915654486801481,0.7775218543140283,0.9313858621593843,0.7924048322271746,0.8743681047458373,0.6103597314757223,0.5439479100168279,0.7160588476216936,0.7702127036702688
35,0.6356315058053863,0.824664939524008,0.8635099985738265,0.7684448484473161,0.5699126362870358,0.7350574445423373,0.6767913500866475,0.5163928720368914,0.6988006994129311
