Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.12038190524940101,0.17396251327638657,0.07679295537972411,0.2596596134816078,0.08243285800750177,0.2236285834443223,0.12122146209097548,0.28561376289218454,0.08811581735551008,0.1593107029674532,0.016299873932384662,0.18089829962358797,0.055108458458889675,0.15657319384007085,0.8792933390512264
2,0.1667533905236605,0.21783738557629362,0.08383706171645934,0.22482643498087268,0.0720621724809226,0.2884432939800478,0.08160616342318448,0.24390572464280852,1.422816301499541e-6,0.19491710205490081,0.005981098287390227,0.25468977958642913,0.05420097044053446,0.1109379994901944,1.0711154406230938
3,0.13371009471115408,0.339121019153951,0.027210542989296566,0.31229070528893876,0.1057885522072346,0.2178191871647711,0.04780936537592373,0.15981133260044664,0.055681251345847255,0.1868299086868001,0.03430788810590632,0.20831180018763332,0.04878130573330308,0.12252704644879381,1.093421999062669
4,0.09815943679004502,0.23302151875246507,0.10364059801051889,0.2659481534201794,0.018585383292569035,0.2911308217410076,0.07953709708073822,0.21687187000585276,1.7738687594498481e-6,0.20096597098279795,0.06433856075813656,0.16184808782267346,0.10048298549139897,0.16546774198285777,1.0705083294156679
5,0.1247661827331803,0.2417434239959586,0.08443161520671363,0.3626149269219784,0.05848902009987664,0.17515380559301036,1.6719132703291173e-6,0.27957695756682255,0.025210007138707996,0.16082275132514792,0.07450833383637212,0.1798496319400807,0.009310131109304814,0.22352154061957558,1.2465660759251482
6,0.1391314438746366,0.25867747952919634,0.07189682726230584,0.23093504695762918,0.0929228005627078,0.19890314733911552,1.5930481729181656e-6,0.24613520151471813,0.001589625761487981,0.2046862800765587,0.07295612236663694,0.2069134472089622,0.02335631491452035,0.2518946695833517,1.1962905444190635
7,0.07530807272968704,0.2530841760902163,0.07195722110679692,0.20794563136880856,0.13698476160219597,0.2682483489737874,0.07209832369321217,0.19614848392004897,1.2799028525217748e-6,0.2282745543408134,1.332312096216648e-6,0.2388215442741054,0.07037431731308857,0.1807519523722907,1.1465493826801412
8,0.17289951692281144,0.19221466901173187,0.10283434198153527,0.23049596510687245,0.1355930837118036,0.2576565634163124,0.06714260005212984,0.23066180532040886,0.07402476134166362,0.17102913262966618,0.012029496657775932,0.18173088784431396,0.038957705353984524,0.13272947064898993,0.7930369879565914
9,0.09794834283423832,0.2370095911033096,0.10166671578264555,0.1859553416855901,0.1033847681762676,0.24553310203642523,0.00310426165667875,0.21759688915407094,0.03115771625768575,0.2809741598846408,0.0524437181300724,0.16747451002610014,0.058153311702115476,0.21759757157015946,1.1042823309205925
10,0.03853360573129244,0.34743392811381013,0.08692711353282845,0.253144815916094,0.14528910576094284,0.17190971882955597,0.05125037833260265,0.23789713069287705,0.06730653100874151,0.15860020263267205,0.08666809982710483,0.1888132125243573,0.0196200738309035,0.1466060832662173,1.0088101839511676
