Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
1,0.2129818404226545,0.4657878565412941,0.11258377378465205,0.3086714258748366,0.10649120418664121,0.3194730446092957,0.08830102068916054,0.1372306532613513,8.874250923627852e-7,0.24847829320502143,0.9592825469835985
2,0.13895708985576566,0.458555751021271,0.1032249602541074,0.3096739173338559,0.07686989478167298,0.25806071463545244,0.10322447853987426,0.19014900879076863,0.013895628818826384,0.3473885559684054,1.1276558954995066
3,0.14342903258060571,0.4840688459827868,0.07823363341655971,0.3911667588844382,0.07823363341655971,0.3911667588844382,8.605669164746272e-7,0.21855498382261623,9.698449684558012e-7,0.21514452260011024,1.4002037403487797
4,0.20719125952100811,0.3625841343863702,0.20719125952100806,0.35374013828268674,0.047708492120097,0.31992758900374557,0.04421766099244662,0.14312549425098678,0.04770847422940131,0.2666054976922493,0.8919657072320776
5,0.3352172534526858,0.369400987295905,0.16760870005500256,0.22163921328604003,0.16760870005500256,0.2924401841634356,0.05848887906412336,0.23395422951519113,9.358150464445947e-7,0.15364091729756774,0.5421510631162788
6,0.39722731043490617,0.46342884987749583,0.12827146142535276,0.2244744401890395,0.13240888831426198,0.26481842212064416,0.03206786535633818,0.19240657483270138,0.015089989803172537,0.14980619764608763,0.5898689693319369
7,0.22978706914175684,0.3063816865181647,0.2297870691417568,0.30638168651816466,0.0911857943983172,0.34042671617471243,9.574471937624556e-7,0.22978742658759396,0.03829820230279651,0.22796339176954322,0.8218818151363579
8,0.19878818071791104,0.3975751687091234,0.10767701819206796,0.37818217739933635,0.09939438854063024,0.3230304085150644,0.06303037818769833,0.23111053808654528,0.03313136345298514,0.16808037819863794,0.9959573418174147
9,0.1426333078629027,0.4334552500222101,0.1426333078629027,0.3803482966373459,0.10927467720006463,0.276828546412375,0.043709738278956654,0.27100067193339905,0.03642489240002155,0.16369131138982182,1.0506481527903035
10,0.20597867257010358,0.41350848463634726,0.14876248000718942,0.29752430917958644,0.10710900434874586,0.3213262989890647,0.07140600289916396,0.28562258348230996,0.04958749333572983,0.09917467055175909,0.8343126936781348
11,0.2044496115439553,0.4469464359437246,0.0698353806162069,0.40054484226426607,0.10222480577197776,0.30667319062071735,0.08874347175198756,0.2713985933815539,0.006959169007436793,0.10222449909817378,1.0555751226168713
12,0.1434035625956973,0.43020862279644057,0.13312849105936483,0.4151085706117627,0.06180762636393725,0.2051765127759004,0.061824701776118464,0.20517680344219075,0.02868071251913949,0.31548439605944834,1.1423098113714854
13,0.13987552283641755,0.4269877313949368,0.1448711582223431,0.45530821952311207,0.08278353841340076,0.28974144722193823,0.08278353841340078,0.14636419641090756,1.014095862063989e-6,0.2312836334676812,1.0993704560371516
14,0.22321394135868147,0.3348136576792337,0.04571832347614895,0.3557465777512837,0.15810948799949553,0.33145798235705026,0.11160529659654338,0.2371612229792051,9.48655623589368e-7,0.20217256114673438,0.9227040038270143
15,0.17416538379098923,0.34833046129097484,0.1683594993721794,0.3367215241447095,0.16835949937217945,0.25253817576112564,8.418001169636057e-7,0.29027592992707063,8.628451648593838e-7,0.26124782169548966,0.9782278256387404
16,0.20306527673077002,0.4509703382984316,0.08058160253170335,0.361142972209355,0.10153297680706164,0.36261700993926316,0.055834454374183926,0.08254716142000736,0.030955069450992283,0.2707531382382321,1.056061240210578
17,0.1312462706585525,0.5247799855784799,0.11994973840638139,0.3361229140985393,0.044981031952954505,0.291862347676161,0.04961421915473392,0.32429146174596324,0.037210509321538,0.13994152140669627,1.2339964610116796
18,0.2074760154364095,0.35153275919410637,0.20747646911709752,0.34579262136842914,0.0841967239781099,0.3112145764238043,0.10373823455854876,0.13216917550210863,0.014348373688158937,0.24205505073322706,0.765528366443351
19,0.09100303731216879,0.3333238890682283,0.12600450005181693,0.3900102956396192,0.09100303731216876,0.28906738793097214,0.02857061906299097,0.2730080805718441,0.06300196651904366,0.31500718653114723,1.200833679483622
20,0.1301326306767213,0.3903958099309762,0.13013158962712745,0.35992188827280047,0.12519023561554452,0.2218915873479577,0.026081259964681778,0.2699863584580228,0.04262947886739674,0.3036391612387712,1.0916696104970567
21,0.20127497025683785,0.3171118542977169,0.11903361032732825,0.35710011678460796,0.10063748512841907,0.3283486282910484,0.10853050487756917,0.2894134858415455,0.02975840258183205,0.148790941613095,0.8815300536560274
22,0.18246942351814388,0.3193197348946972,0.18246942351814383,0.3649388470362877,0.11689346604947895,0.35068413876810645,0.07701277129980692,0.17812422946815853,9.351549174003952e-7,0.22808703029225902,0.8823079609190181
23,0.2169929335582334,0.3907326375594566,0.10849682843376482,0.32548976199199825,0.10046005758125065,0.3013793690681136,0.07233121895584321,0.2893234292047804,0.04410488278814066,0.15068888085841844,0.9152281573655344
24,0.2090917614729547,0.34848515396776003,0.2332185142316071,0.3225349692969424,0.15051610935745724,0.31095653544915836,0.05117012206112421,0.1612674846484712,0.05318999694814331,0.15956935256638147,0.605626991857427
25,0.21903984862061918,0.5246808927429144,0.030684365210692056,0.36821192034655975,0.18127437310622643,0.21820095926411393,9.819028165608994e-7,0.30684475674848694,0.060424791035408806,0.09063711102216217,1.0171512802484743
26,0.19524444457408333,0.4008537548818639,0.19524444457408333,0.26723583658790934,0.150319895019962,0.31455950696886076,0.06291190139377216,0.28201899399124336,0.05845797078397367,0.07315325122424811,0.675642687308251
27,0.1769777891435537,0.3539555782871075,0.12066689417523324,0.3792380539790974,0.12066689417523323,0.2815546115966897,0.04022223102149345,0.1896183257020203,0.06320636139202719,0.27389326052754426,0.9565196601849183
