Num,P_1,P_2,P_3,P_4,P_5,P_6,P_7,Average
1,0.8153327753317018,0.7912653053074975,0.6905084602600708,0.2589416386004116,0.45425722017928427,0.832625536883971,0.9461796417602596,0.684158654046171
2,0.6419232872351678,0.6997043784936109,0.21963112835825424,0.32331190160477236,0.3367697422253281,0.5405188849187722,0.7357684072582611,0.49966110429916666
3,0.5726129211877744,0.6259591002889228,0.29489451485072266,0.43895007382542045,0.38174194745851625,0.846050657325927,0.7672627064883348,0.5610674173465169
4,0.5477214429984594,0.6049527775248108,0.7144201328510134,0.45784456466904194,0.38152269211601125,0.38926812195975546,0.6225678684559752,0.5311853715107239
5,0.5705784058058296,0.44804992710299424,0.17909819441870253,0.37792491264311484,0.4409780033476915,0.6408918752284759,0.5813027252883151,0.46268914911930337
6,0.7133165594169822,0.7152322629867983,0.7898823837859561,0.356531670421708,0.32725971058379894,0.4436224863012344,0.7084076790248204,0.5791789646458998
7,0.5012773301759467,0.4491208307222302,0.5767360464127479,0.25902644983074674,0.30625944660748855,0.4575008063275774,0.5755465251400989,0.44649534788811945
8,0.4492941031567556,0.3596361237442336,0.34419174381623846,0.3361889705857843,0.43544338795732823,0.7094110298232075,0.584645889501883,0.4598301783693473
9,0.5588989604416416,0.34227067303634273,0.31498462982127023,0.3189677078593696,0.6385986803834467,0.47886207975572775,0.5976462390841278,0.4643184243402752
10,0.44990295175843753,0.49753465258406643,0.6287978017334944,0.018827707457661248,0.6915572665570987,0.7310743493728381,0.5970442076077512,0.5163912767244783
11,0.7400495384164216,0.5902747127655952,0.2369753784185497,0.4012596823267885,0.3289101110924286,0.6906020897696531,0.7293246604568425,0.5310565961780399
12,0.6068526803804846,0.5021319827808781,0.39939671590470927,0.42136565180653796,0.7625340331584932,0.7274155153688281,0.44039968159050547,0.5514423229986338
13,0.5465439470728918,0.44969551815951264,0.362018236263445,0.3278656325865106,0.4139015614328782,0.7228289831039996,0.6516367004429738,0.4963557970088874
14,0.5500027784228526,0.5285539208727772,0.6167268581523379,0.22885355305706861,0.5650735527677807,0.3928601937804796,0.7331604612452605,0.5164616168997939
