Num,F_1,F_2,F_3,F_4,F_5,F_6,F_7,Average
1,0.48547973736550837,0.4955785087353763,0.5473762619422525,0.5705038298539182,0.6648449742970218,0.7669548318438902,0.7922282250218862,0.6175666241514077
2,0.48597906952292874,0.5773422525925374,0.5786285185729747,0.6844113772328262,0.7279419280790056,0.8523710153360405,0.7219710883280754,0.6612350356663413
3,0.4243801051632945,0.5054475228986808,0.5512991232140056,0.6452951597648464,0.5992690062640929,0.6041100409222605,0.6877565758508132,0.5739367905825706
4,0.4351452530443259,0.5462773158044006,0.5467209014474167,0.7111778804603615,0.7865610139892172,0.6720693601235787,0.776339624563489,0.6391844784903985
5,0.492885408072578,0.5552320936351846,0.5161690249056177,0.6449663595035895,0.6554321013483244,0.7207910977316867,0.7598955687140437,0.6207673791301465
6,0.4390466053501043,0.5224091741532533,0.5587610701724717,0.5263410882715679,0.6367009893364883,0.6299124204817611,0.7048054102290742,0.5739966797135315
7,0.4999255455315327,0.5244074203163502,0.550584872543553,0.6699552420388555,0.6874104203002233,0.7934927859284499,0.8234691063001075,0.6498921989941532
8,0.43416329561023104,0.4909954965255799,0.5513241836667669,0.5489397630759563,0.6443024465040533,0.7038669309242712,0.6353238019990182,0.5727022740436967
9,0.45797415562813365,0.49298929066380964,0.5754889092558532,0.6558600777073508,0.6639695221824478,0.6395488418181577,0.6931956979314656,0.5970037850267456
10,0.45235167254905684,0.5410575623336381,0.5682804457449007,0.6397292521243759,0.6080754937184094,0.810895273498018,0.6853725960447884,0.6151088994304553
11,0.4104947322111485,0.49927984330901065,0.5669387028448318,0.5887471270138926,0.5790542113417785,0.655402813835242,0.7659512533041045,0.5808383834085726
12,0.4835695015395301,0.6292730530806041,0.6322169401631157,0.6064268503566139,0.6693630853889054,0.6625794211256125,0.6712082694512143,0.6220910173007994
13,0.4851993828911682,0.49227354132193646,0.6397005852893918,0.6234292734419831,0.6549326320034499,0.6871995111323956,0.776378199281203,0.6227304464802182
14,0.4738590701088819,0.5238233345383176,0.6541020451326058,0.6869568366292822,0.8415406055999742,0.7607489233849061,0.7522535020290497,0.6704691882032883
15,0.4792742219609071,0.6286943329773432,0.5827441179317007,0.6951724065360262,0.7317158086954867,0.6054759687989775,0.8057028572394809,0.6469685305914175
16,0.4218654674675262,0.5213584051115576,0.5685885829374183,0.6895080176930701,0.6179880056899251,0.6819393765375988,0.6935472313192261,0.5992564409651889
17,0.3949765652208615,0.5641072512649106,0.5249631049938335,0.5543165533735922,0.548137431164494,0.6835794553117303,0.7739311251868959,0.5777159266451882
18,0.5020882364274228,0.5395787026121245,0.5616299939796296,0.752692923761698,0.7348672875112615,0.722410335296203,0.7595717025413613,0.6532627403042429
19,0.45406328510033495,0.5356841347915303,0.5356947876663357,0.5517536987170902,0.6300345535119467,0.7088715082480498,0.7889730407379598,0.600725001253321
20,0.4628670410371955,0.5128474647938275,0.5590346780572136,0.6767254250067338,0.6771727887042144,0.7909877315865792,0.7488396363558844,0.6326392522202356
21,0.4032976640836154,0.526446198539442,0.5868761406450759,0.6088704705267702,0.5953926884975687,0.8141858345118465,0.6480520634934096,0.5975887228996755
22,0.4608014373834173,0.5364985592997338,0.6150695730251164,0.5844187660159225,0.6813864486415455,0.6913676930062973,0.7960644940023235,0.6236581387677652
23,0.3860084953785037,0.4994487621625115,0.6078752808955361,0.5558347180560803,0.6197101037787078,0.814940799057517,0.6521324684804035,0.5908500896870371
24,0.39725748003963274,0.49810027735605295,0.5081139645924251,0.5697394078563078,0.6391481776755447,0.6275373314347665,0.7457855285022071,0.5693831667795625
25,0.47666270565383984,0.46238201125227946,0.6825776455095333,0.5875812251384495,0.7813789336181961,0.7125215693122386,0.7201668091767408,0.6318958428087539
26,0.43730162129788136,0.471819630267029,0.6612573188118002,0.5973732132182866,0.7628993855722294,0.6465855987705728,0.7399067721443882,0.6167347914403125
27,0.4832758174149288,0.5757622461160963,0.48196599058630807,0.6009492483729071,0.6244316216734964,0.7453736338781876,0.7136675586213833,0.6036323023804725
28,0.4308736242552052,0.5212920287858179,0.662177809900684,0.6262005331844013,0.7177654451897294,0.7708467149512268,0.7735890601419086,0.6432493166298533
29,0.43135915163272226,0.5878324241458351,0.5826809871846185,0.6263337433545871,0.6680461261439812,0.7899080572036907,0.7773207618737019,0.6376401787913053
30,0.4872167598174226,0.5182720137318539,0.5802809734528891,0.6097768777145426,0.7146321980091445,0.7023299303855218,0.7639240131189494,0.6252046808900463
31,0.46032037638670187,0.5174179634369105,0.5442672836556772,0.630167496326397,0.6126433553121055,0.6810894022613518,0.7076037848709265,0.5933585231785815
32,0.4645399392587377,0.5842498476084999,0.5226602983845919,0.6324809091709452,0.6790405611925263,0.5899508068506405,0.7552988670318006,0.6040316042139632
33,0.49808386086212814,0.5362912844572968,0.6246112671085726,0.6593407574201461,0.6699598077780881,0.6689990269556471,0.7771371535935677,0.6334890225964923
34,0.41784692137645946,0.5182467657833412,0.5069695198954459,0.6989391147108011,0.6260934459639231,0.6459935746667752,0.7850346169819752,0.5998748513398173
35,0.4834741791596163,0.4987679606930129,0.5368437193743594,0.5518664586232318,0.6383678206547475,0.7461210497398522,0.7365575949549541,0.5988569690285391
36,0.4223879003509299,0.528984679287121,0.6094515270760966,0.6846537422773525,0.691558764610663,0.6968783371361974,0.6631249190574574,0.6138628385422596
37,0.5631720779212336,0.6066923934779688,0.510685597153257,0.6036371424572998,0.6633266258403222,0.6898927054206805,0.6803192118074984,0.616817964868323
38,0.4578617470584232,0.49374075420498637,0.5690784247959206,0.5295647367216035,0.5959449014057738,0.7302721827304628,0.7457670986013091,0.5888899779312113
39,0.5120457192737041,0.543920393094388,0.5297202850694861,0.6003087846674797,0.5938307900261738,0.6671915848442828,0.6369711632648405,0.5834269600343365
40,0.48422597481155866,0.5324632176494063,0.5131363314185444,0.6995735960047997,0.6570923389076073,0.7326394360012513,0.7312103229410926,0.6214773168191801
41,0.39967120561562663,0.5308313048445684,0.6408427550350047,0.5736451295456667,0.642973031641647,0.6815079522539228,0.7205725687974882,0.598577706819132
42,0.4623752638277907,0.48633776042465177,0.5831538790323272,0.5831157917946459,0.6693717694955075,0.7130343550460129,0.7753036712376444,0.6103846415512258
43,0.4233511598488018,0.5175380544882944,0.6315117858803729,0.6624641303474732,0.7021322627456958,0.6560933255998274,0.7770590923632174,0.6243071158962403
44,0.4803244397183817,0.45168294053781793,0.5498801323635529,0.5875570999667544,0.6135869660285045,0.735800384818557,0.6313197917574346,0.578593107884429
45,0.4728858664177731,0.4591886914050585,0.5540456219743036,0.6147418482643587,0.6558403294756754,0.7253523977818093,0.7519671875517002,0.6048602775529541
46,0.4346056827186708,0.4900551427884721,0.6217761798476059,0.5503655411178371,0.6163899443109195,0.6978132598725738,0.7084991801292153,0.5885007043978991
47,0.43682668645088024,0.5333432934173996,0.5271184563827135,0.5882066530375368,0.6066659370367801,0.6809909608899436,0.7758027081131706,0.5927078136183465
48,0.46342125124634564,0.5095312549467117,0.5241653367625277,0.5313539996033477,0.5969616480300097,0.6392982313115524,0.7148904448436544,0.5685174523920213
49,0.4254115854800789,0.3584388022547926,0.5443634704767029,0.5266367413670812,0.6902278331910238,0.7260468026090969,0.6467718878048864,0.5596995890262375
50,0.43053495244165596,0.5227823162433857,0.49243351923792755,0.614394045267275,0.7315102213630734,0.6170723755930289,0.7175801361786128,0.5894725094749942
51,0.3700707940529848,0.4786739491900492,0.45281084331264004,0.5830906059819447,0.6447307958409881,0.6955507812833854,0.7142576317696109,0.5627407716330862
52,0.4184672129921259,0.5329144030977611,0.6101230233314493,0.6724880692414652,0.6673185083736515,0.6240987727969075,0.7846920464442498,0.6157288623253728
53,0.4061973786750307,0.5191979700642155,0.49586918914157113,0.6640567503582536,0.6499134519058999,0.6184669195795838,0.7289196270262778,0.583231612392976
54,0.4327442273327727,0.4780490983353594,0.6699581245256103,0.6576965366761152,0.6884616172921822,0.7242146488772164,0.7519023539387276,0.6290038009968548
55,0.48253925289192673,0.504328814669133,0.5863426502112165,0.5864407983231493,0.6676616605818791,0.6372727788923702,0.8075467043795679,0.6103046657070347
56,0.49512771077820394,0.5080938315372142,0.6062464576310953,0.5522524599495185,0.6102042857812173,0.6872506290745592,0.7570125716269962,0.6023125637684007
57,0.4605546395609557,0.5510587454309872,0.5408390104335241,0.5586924277879061,0.5872351166076452,0.6636414612213434,0.7429756688846503,0.586428152846716
58,0.4025437906583566,0.46912474014965444,0.6096895719660566,0.7044880241942539,0.6588888046353881,0.6961831800216385,0.7006090685964425,0.6059324543173987
59,0.5075038407570334,0.44626620384998006,0.5933575984818276,0.6288177877477631,0.5829626102294153,0.5896172298576192,0.7042506776599968,0.578967992654805
60,0.45171704465522655,0.5517851440642854,0.5102218319799622,0.6473301193064892,0.6504477769820799,0.687245983338063,0.6986221621429033,0.5996242946384298
61,0.4338881843016487,0.5869844926329874,0.5903507106866704,0.5688028567567242,0.6232990016595898,0.7214347040389216,0.6981039864109011,0.6032662766410634
62,0.46507054703652007,0.480998955045355,0.5611344000952473,0.5842538826679877,0.6414886697122681,0.6236689150192002,0.7280903549813806,0.5835293892225656
63,0.4539397069527591,0.47792251954360876,0.530439730528844,0.5545306070554213,0.636170769631507,0.6064783445634401,0.7067394391959649,0.5666030167816494
64,0.5539096408983988,0.6799992270303874,0.5348540993271919,0.6170540906975186,0.6655634930785764,0.750430806200984,0.8115860777814232,0.6590567764306401
65,0.4859523013480578,0.5158324561950933,0.5932874677060426,0.580823888241057,0.6427373004402461,0.6830554472053071,0.7183784702863839,0.6028667616317411
66,0.4294456975285388,0.4881202334070674,0.6505968767264113,0.6346464197535688,0.6642909292857977,0.7174446949211333,0.6600418669527565,0.6063695312250391
67,0.462757757169209,0.5234154662655593,0.5943285951945434,0.6386585973074241,0.639128117010919,0.7480725435721798,0.753503643724521,0.6228378171777652
68,0.40350203299226906,0.4851870172580407,0.5804699374153361,0.536603703953546,0.5798492623863756,0.6924521646973071,0.6807196053478576,0.5655405320072474
69,0.4499016431210328,0.5586231251224537,0.6072277195477022,0.669097746917232,0.6964582309707198,0.8764270947645529,0.8220699714580656,0.668543647414537
70,0.5234804950224735,0.5316974784038561,0.5331552339939556,0.6097402390866917,0.6687278291981038,0.6362018608169536,0.7730244463211642,0.6108610832633141
71,0.5000492886058187,0.5077711965799716,0.6354575996064943,0.6281324462975977,0.6722896452037332,0.6848802435551394,0.6823536115023819,0.6158477187644482
72,0.4204618850099401,0.4784788040133463,0.5629782918263276,0.5708503042494596,0.6642310004096621,0.6784152466791741,0.6557290451568708,0.5758777967635401
