Num,R_1,R_2,R_3,R_4,Average
1,1.0,1.0,0.7908621920633011,0.8837283741318743,0.9186476415487939
2,1.0,0.7228181925662036,0.9420445327723037,0.5942155135377442,0.8147695597190628
3,1.0,0.0,1.0,0.0,0.5
4,0.6238186762884206,0.8839932286255194,1.0,0.4151004067987714,0.7307280779281778
5,1.0,1.0,0.7266752032524659,1.0,0.9316688008131164
6,1.0,0.7282901150525095,0.6638676356482133,0.6041519007467632,0.7490774128618716
7,0.7331875295561913,1.0,1.0,0.584516431940935,0.8294259903742816
8,1.0,0.7366966112020046,1.0,0.6851617789536137,0.8554645975389046
9,0.8842286029777503,0.7194029277259779,0.6120401741458734,0.0,0.5539179262124003
10,1.0,0.6816286655302336,0.7341408852531954,1.0,0.8539423876958572
11,1.0,0.7549852999977312,0.0,0.7318212521403128,0.621701638034511
12,0.7942137248465457,0.0456646231665789,0.8407541021759153,0.0,0.42015811254726
13,1.0,1.0,0.0,0.7018923767685675,0.6754730941921419
14,1.0,0.7517028627877713,0.2704827815334552,0.9637304240256432,0.7464790170867175
15,1.0,1.0,0.7266752032524659,1.0,0.9316688008131164
16,0.8451384556910266,0.66777876170502,1.0,0.9104209823021007,0.8558345499245369
17,1.0,0.7549852999977312,0.0,0.7318212521403128,0.621701638034511
18,1.0,1.0,0.7561631783877326,1.0,0.9390407945969331
19,1.0,0.8862368146144648,0.8269531124052926,0.621016077179701,0.8335515010498645
20,1.0,0.7549852999977312,0.0,0.7318212521403128,0.621701638034511
21,0.745300812954625,1.0,1.0,0.8200143432316374,0.8913287890465655
22,1.0,0.8391923970613213,1.0,0.625432188772912,0.8661561464585583
23,1.0,1.0,0.7398544360214391,0.5981439528602148,0.8344995972204134
24,0.770252145920847,0.7873830934220422,0.691578922328604,0.7318212521403142,0.7452588534529518
25,1.0,1.0,0.0,0.7018923767685675,0.6754730941921419
26,1.0,1.0,1.0,0.9637304240256497,0.9909326060064124
27,1.0,1.0,0.7561631783877326,1.0,0.9390407945969331
28,0.8920317648100845,0.8975675418865972,0.7603776083326931,0.6956562091702274,0.8114082810499006
29,1.0,1.0,0.0,1.0,0.75
30,1.0,0.7228181925662036,0.9420445327723037,0.5942155135377442,0.8147695597190628
31,1.0,1.0,0.0,1.0,0.75
32,1.0,0.8168942216711194,0.0,0.5744340909178712,0.5978320781472476
33,1.0,0.7366966112020046,1.0,0.6851617789536137,0.8554645975389046
34,1.0,0.7054636159351034,0.0,1.0,0.6763659039837758
35,0.6197707324386554,0.502621402806213,0.7266752032524659,1.0,0.7122668346243336
36,0.6197707324386554,0.502621402806213,0.7266752032524659,1.0,0.7122668346243336
37,1.0,0.6816286655302336,0.7341408852531954,1.0,0.8539423876958572
38,0.8476674331636015,0.84316257586748,0.6802009044664197,1.0,0.8427577283743752
39,1.0,1.0,0.7266752032524659,1.0,0.9316688008131164
40,0.35562894479571605,1.0,0.28639268579582355,1.0,0.6605054076478849
41,1.0,1.0,0.0,1.0,0.75
42,1.0,1.0,0.7561631783877326,1.0,0.9390407945969331
43,0.35562894479571605,1.0,0.28639268579582355,1.0,0.6605054076478849
44,1.0,1.0,0.7561631783877326,1.0,0.9390407945969331
45,1.0,0.7366966112020046,1.0,0.6851617789536137,0.8554645975389046
46,1.0,0.9889880570988354,0.0,0.473138721832214,0.6155316947327624
47,1.0,0.6051814747497328,0.7398544360214401,0.5981457521569502,0.7357954157320308
48,0.6795169813350194,1.0,1.0,0.1295865890977914,0.7022758926082027
49,0.8842286029777503,0.7194029277259779,0.6120401741458734,0.0,0.5539179262124003
50,1.0,1.0,0.7266752032524659,1.0,0.9316688008131164
51,1.0,1.0,0.0,1.0,0.75
52,1.0,1.0,0.7398544360214391,0.5981439528602148,0.8344995972204134
53,1.0,0.7054636159351034,0.0,1.0,0.6763659039837758
54,1.0,1.0,0.7561631783877326,1.0,0.9390407945969331
55,1.0,1.0,0.7398544360214391,0.5981439528602148,0.8344995972204134
56,0.7080831888693837,1.0,0.0,1.0,0.6770207972173459
57,1.0,0.0,0.7611326205333148,0.6851617789536124,0.6115735998717318
58,1.0,0.0,0.7611326205333148,0.6851617789536124,0.6115735998717318
59,1.0,1.0,1.0,0.9637304240256497,0.9909326060064124
60,1.0,1.0,0.6915789223286071,0.7318212521403172,0.855850043617231
61,1.0,1.0,0.7266752032524659,1.0,0.9316688008131164
62,0.745300812954625,1.0,1.0,0.8200143432316374,0.8913287890465655
63,1.0,0.7282901150525095,0.6638676356482133,0.6041519007467632,0.7490774128618716
64,1.0,1.0,0.7561631783877326,1.0,0.9390407945969331
65,1.0,1.0,0.0,0.7018923767685675,0.6754730941921419
66,0.3305402586725773,0.8536544878286358,1.0,0.5757361409202187,0.6899827218553579
67,1.0,1.0,0.7266752032524659,1.0,0.9316688008131164
68,0.6795169813350194,1.0,1.0,0.1295865890977914,0.7022758926082027
69,1.0,0.7591994870429358,0.6853170238065894,0.6409412390882621,0.7713644374844468
70,0.5820294007379956,0.6694603765696762,0.8124554608854997,1.0,0.7659863095482928
