Num,F_1,F_2,F_3,F_4,Average
1,0.13747809488800736,0.0,0.7693191254916958,0.660965972010142,0.3919407980974613
2,0.6710226912652667,0.6452409805929793,0.8997884363132873,0.8647295749411393,0.7701954207781682
3,0.7289116131628561,0.615873845768285,0.33016987921960617,0.289838170308519,0.4911983771148165
4,0.5290746941525205,0.5374106954244229,0.7827433753954107,0.9315832034402238,0.6952029921031444
5,0.8351424488985042,0.8169057159165185,0.8058321681102177,0.06086870842084822,0.6296872603365222
6,0.6615288416771368,0.6325736573445604,0.6467323124066928,0.7536613370644821,0.6736240371232181
7,0.0,0.5931879859350552,0.31774375852947273,0.5376124794499196,0.36213605597861187
8,0.0,0.25490768064701935,0.6671441987082346,0.475124946331215,0.34929420642161724
9,0.5902865184262781,0.6648457006332229,0.7179411204189224,0.043590362514364794,0.504165925498197
10,0.5033347642957043,0.7737827237474831,0.7832415848253733,0.7019391795396005,0.6905745631020404
11,0.2856679452125832,0.5929031652185148,0.0037325540847020153,0.8054167684719602,0.42193010824694005
12,0.265599600983858,0.0,0.7739987745865955,0.09469220067001649,0.2835726440601175
13,0.6324671177771944,0.8685570859768587,0.0,0.40161363180158854,0.4756594588889104
14,0.0,0.4115588147158105,0.27549007632933065,0.3581009313496102,0.2612874555986878
15,0.8255729653071383,0.45510405375450275,0.7669628733492402,0.6745208182456487,0.6805401776641326
16,0.6682755743538894,0.7388047465357998,0.4484989505655971,0.971347688730951,0.7067317400465594
17,0.2856679452125832,0.5929031652185148,0.0037325540847020153,0.8054167684719602,0.42193010824694005
18,0.7841542189911903,0.9517764779319496,0.6995237462095303,0.3893233804341007,0.7061944558916927
19,0.1683732034880818,0.7909051520877592,0.5668290542395678,0.8540588893331507,0.5950415747871398
20,0.6799575783052008,0.5902019187790325,0.11571218324700064,0.7524408554483488,0.5345781339448957
21,0.8532868604128288,0.6857141707243285,0.8277232294177748,0.49481146389944386,0.7153839311135939
22,0.5033347642957043,0.7737827237474831,0.7832415848253733,0.7019391795396005,0.6905745631020404
23,0.7730399259989434,0.491296658045059,0.7939614736134725,0.6077521592032292,0.6665125542151761
24,0.5033347642957043,0.7418027480965691,0.8876610674907776,0.6823459305358892,0.703786127604735
25,0.855792456472649,0.2065111216941334,0.5559238734146504,0.41741452385292427,0.5089104938585892
26,0.7529570154152333,0.9523949477795092,0.7464157751720527,0.4181875070763742,0.7174888113607923
27,0.7841542189911903,0.9517764779319496,0.6995237462095303,0.3893233804341007,0.7061944558916927
28,0.0,0.7060738578486759,0.6801751104069734,0.6763807702234581,0.5156574346197769
29,0.0,0.0,0.0,0.0,0.0
30,0.6651704511484526,0.3173480275665455,0.4198859149737188,0.6332020014665903,0.5089015987888268
31,0.0,0.4115588147158097,0.0,0.3581009313496102,0.19241493651635497
32,0.6755955050460335,0.567272089965464,0.03279273573379848,0.6898650905039589,0.4913813553123137
33,0.7841542189911903,0.9517764779319496,0.6995237462095303,0.3893233804341007,0.7061944558916927
34,0.0,0.0,0.0,0.0,0.0
35,0.27051599341032545,0.0,0.8049008808252722,0.3090693431030101,0.3461215543346519
36,0.38044317557151597,0.05625181700976691,0.8771587423037014,0.756696476509349,0.5176375528485834
37,0.6543657754947207,0.6681876702250648,0.8180224068122005,0.8274506169088275,0.7420066173602033
38,0.6354807557652195,0.6547108717167922,0.9318402132912255,0.32484470430666795,0.6367191362699762
39,0.8351424488985042,0.8169057159165185,0.8058321681102177,0.06086870842084822,0.6296872603365222
40,0.0,0.6753029377011526,0.4475621515667223,0.16912097479381907,0.3229965160154235
41,0.8101958046570775,0.0025968587294384507,0.1721778788333552,0.46054825430064,0.3613796991301278
42,0.7841542189911903,0.9517764779319496,0.6995237462095303,0.3893233804341007,0.7061944558916927
43,0.08435125552757647,0.0,0.2632362516887008,0.4148544910248181,0.19061049956027384
44,0.5099772730155486,0.0,0.28175026208501375,0.44782396475887615,0.30988787496485964
45,0.7624512380094595,0.9015973447613844,0.8030500420148836,0.24637534520826254,0.6783684924984974
46,0.6047560441864799,0.7906985885557415,0.2289188024148353,0.858420122983591,0.6206983895351619
47,0.13653043421259675,0.2455880021869949,0.8277232294177748,0.49481146389944386,0.4261632824292026
48,0.6237021403667216,0.6489246683711904,0.27681068977721424,0.7110848836331051,0.5651305955370578
49,0.434362672631045,0.0,0.1974570592953349,0.28625359616564827,0.22951833202300703
50,0.8532868604128288,0.6857141707243285,0.8277232294177748,0.49481146389944386,0.7153839311135939
51,0.563410450334493,0.0,0.17217787883335553,0.46054825430063956,0.299034145867122
52,0.6578255300522727,0.45347109675262604,0.8783380848761796,0.5460128610318973,0.6339118931782439
53,0.0,0.6747677558198231,0.0,0.3581009313496102,0.2582171717923583
54,0.7841542189911903,0.9517764779319496,0.6995237462095303,0.3893233804341007,0.7061944558916927
55,0.5118745481918532,0.0,0.6633975908318536,0.46558523160249277,0.4102143426565499
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.817314316868718,0.681220807101464,0.3746337809925455
58,0.0,0.0,0.817314316868718,0.681220807101464,0.3746337809925455
59,0.29425681738675263,0.0,0.7356168729762204,0.33384548388883994,0.3409297935629533
60,0.4265262815637966,0.0,0.7832415848253733,0.7019391795396005,0.4779267614821926
61,0.836516134385413,0.787619318549063,0.8485539175556907,0.31310947309678394,0.6964497108967376
62,0.0,0.7416351988385748,0.7778670946257878,0.5008871684170403,0.5050973654703508
63,0.709301114002937,0.5523458561167784,0.6535059343529288,0.8608413640982082,0.6939985671427131
64,0.7841542189911903,0.9517764779319496,0.6995237462095303,0.3893233804341007,0.7061944558916927
65,0.6324671177771944,0.8685570859768587,0.0,0.40161363180158854,0.4756594588889104
66,0.0,0.7949412834194952,0.7674203304557993,0.438635138078758,0.5002491879885131
67,0.8255729653071383,0.45510405375450275,0.7669628733492402,0.6745208182456487,0.6805401776641326
68,0.6839912574917618,0.5385049783794679,0.6835181339570441,0.7444097835591227,0.6626060383468491
69,0.7044505894771106,0.65243028583232,0.7893381094299098,0.9421125551723485,0.7720828849779222
70,0.0,0.23384110498909666,0.8485539175556907,0.31310947309678533,0.3488761239103932
71,0.0,0.8547364823711521,0.4242970930996539,0.4744546906858599,0.4383720665391665
72,0.4265262815637966,0.0,0.7832415848253733,0.7019391795396005,0.4779267614821926
73,0.0007004111389416908,0.26246061374916846,0.7961723217906125,0.6764838479347641,0.4339542986533717
74,0.8101958046570775,0.0025968587294384507,0.1721778788333552,0.46054825430064,0.3613796991301278
75,0.7639959884538853,0.597989059472084,0.7898829077149161,0.5892320158959674,0.6852749928842132
76,0.5621988462603497,0.7125304034430037,0.7970255808515974,0.24479222975311532,0.5791367650770165
77,0.5890848553206481,0.0,0.7910080008861012,0.5951883257691564,0.49382029549397644
78,0.8394079532407177,0.7198188542161593,0.7210487046965247,0.8999123668072367,0.7950469697401596
79,0.7898169913706121,0.7555241785013769,0.04960005886624608,0.7239496995859755,0.5797227320810526
80,0.0,0.0,0.0,0.0,0.0
81,0.6214674135271939,0.602345291151109,0.8457623506498785,0.14267575043256184,0.5530627014401859
82,0.5890848553206481,0.0,0.7910080008861012,0.5951883257691564,0.49382029549397644
83,0.7624512380094587,0.9015973447613846,0.2711434321386685,0.505834741003746,0.6102566889783145
84,0.7289116131628561,0.615873845768285,0.33016987921960617,0.289838170308519,0.4911983771148165
85,0.6710226912652667,0.6452409805929793,0.8997884363132873,0.8647295749411393,0.7701954207781682
86,0.6214674135271939,0.602345291151109,0.8457623506498785,0.14267575043256184,0.5530627014401859
87,0.8392619003391606,0.6013366190211251,0.8137014592295556,0.3237057808067371,0.6445014398491445
88,0.7624512380094595,0.9015973447613844,0.8030500420148836,0.24637534520826254,0.6783684924984974
89,0.7639959884538849,0.5834381296262865,0.7524468107850251,0.5892320158959672,0.6722782361902909
90,0.22764743764213347,0.38121265938020565,0.10735356954463486,0.37713988790014297,0.2733383886167792
91,0.0,0.0,0.0,0.0,0.0
92,0.0,0.6589595042566241,0.9054522249598767,0.9747005951491992,0.634778081091425
93,0.717055028626127,0.8784997051414973,0.21496142158804166,0.7248289495001145,0.6338362762139451
94,0.29425681738675263,0.0,0.7356168729762204,0.33384548388883994,0.3409297935629533
95,0.6820065059763065,0.9175854993875066,0.6108819237085681,0.3171652741458171,0.6319098008045496
96,0.5099772730155486,0.0,0.28175026208501375,0.44782396475887615,0.30988787496485964
97,0.13653043421259675,0.2455880021869949,0.8277232294177748,0.49481146389944386,0.4261632824292026
98,0.8532868604128288,0.6857141707243285,0.8277232294177748,0.49481146389944386,0.7153839311135939
99,0.27018851152933576,0.40869855948293377,0.3824530846777927,0.4560735699820193,0.37935343141802036
100,0.7639959884538853,0.597989059472084,0.7898829077149161,0.5892320158959674,0.6852749928842132
101,0.265599600983858,0.0,0.7739987745865955,0.09469220067001649,0.2835726440601175
102,0.3110723666400491,0.0,0.9667921116140676,0.807359094262921,0.5213058931292595
103,0.8101958046570775,0.0025968587294384507,0.1721778788333552,0.46054825430064,0.3613796991301278
104,0.8255729653071383,0.45510405375450275,0.7669628733492402,0.6745208182456487,0.6805401776641326
105,0.8351424488985042,0.8169057159165185,0.8058321681102177,0.06086870842084822,0.6296872603365222
106,0.822834441205536,0.6480280685369356,0.796172321790611,0.6764838479347637,0.7358796698669616
107,0.5033347642957043,0.7737827237474831,0.7832415848253733,0.7019391795396005,0.6905745631020404
108,0.15909741093042698,0.024605050405104884,0.8030500420148835,0.24637534520826254,0.3082819621396695
109,0.6651704511484526,0.3173480275665455,0.4198859149737188,0.6332020014665903,0.5089015987888268
110,0.5880336916400821,0.8764446541553416,0.6512929753357699,0.5813588331280957,0.6742825385648222
111,0.0,0.0,0.7307089188615824,0.5376124794499196,0.3170803495778755
112,0.7624512380094595,0.9015973447613844,0.8030500420148836,0.24637534520826254,0.6783684924984974
113,0.0,0.3501073679731424,0.23662134417771252,0.34249370633367104,0.23230560462113148
114,0.6034831739241858,0.6769565542901567,0.762317545264799,0.21806589781449515,0.5652057928234091
115,0.29425681738675263,0.0,0.7356168729762204,0.33384548388883994,0.3409297935629533
116,0.22764743764213347,0.38121265938020565,0.10735356954463486,0.37713988790014297,0.2733383886167792
117,0.5033347642957064,0.18644108012839172,0.22220150581275114,0.6823455384233583,0.3985807221650519
118,0.8365161343854131,0.43317109011389837,0.2347647905766946,0.31310947309678505,0.45439037204319777
119,0.6347588466407831,0.7270637229317616,0.7908044377472168,0.2681703941511153,0.6051993503677192
120,0.0,0.08848836764485195,0.8058321681102177,0.06086870842084822,0.23879731104397947
121,0.0,0.0,0.0,0.0,0.0
122,0.5972907402840201,0.6680242196561569,0.8895816330945846,0.24922365947109254,0.6010300631264636
123,0.7841542189911903,0.9517764779319496,0.6995237462095303,0.3893233804341007,0.7061944558916927
124,0.9444658377356755,0.6348396776809809,0.8049008808252722,0.30906934310301043,0.6733189348362348
125,0.836516134385413,0.787619318549063,0.8485539175556907,0.31310947309678394,0.6964497108967376
126,0.22672548989119534,0.3626126605420389,0.5859113946205637,0.7698153706746809,0.48626622893211974
127,0.1683732034880818,0.7909051520877592,0.5668290542395678,0.8540588893331507,0.5950415747871398
128,0.0,0.8096644700276897,0.5733652778396412,0.29098745708351886,0.41850430123771243
129,0.15909741093042698,0.024605050405104884,0.8030500420148835,0.24637534520826254,0.3082819621396695
130,0.5611307202148789,0.6782985127420196,0.26033546028740395,0.8392659534178218,0.5847576616655311
131,0.7289116131628561,0.615873845768285,0.33016987921960617,0.289838170308519,0.4911983771148165
132,0.8392619003391606,0.6013366190211251,0.8137014592295556,0.3237057808067371,0.6445014398491445
133,0.0,0.4115588147158097,0.0,0.3581009313496102,0.19241493651635497
134,0.3110723666400491,0.0,0.9667921116140676,0.807359094262921,0.5213058931292595
135,0.0,0.23384110498909666,0.8485539175556907,0.31310947309678533,0.3488761239103932
136,0.5731627381150081,0.7213838907042412,0.9330471552098337,0.8847520677533328,0.778086462945604
137,0.5171607855843753,0.5161295137017584,0.7971038999681872,0.5604843673975833,0.5977196416629761
138,0.22764743764213347,0.38121265938020565,0.10735356954463486,0.37713988790014297,0.2733383886167792
139,0.10883562703671017,0.0,0.4075675920320572,0.2906715511093117,0.2017686925445198
140,0.2073440289361248,0.0,0.31148565042638404,0.556401794551271,0.26880786847844496
141,0.3301292837914054,0.23136767283248516,0.7173591359947264,0.52562476617185,0.45112021469761676
142,0.5880336916400821,0.8764446541553416,0.6512929753357699,0.5813588331280957,0.6742825385648222
143,0.5033347642957043,0.7418027480965691,0.8876610674907776,0.6823459305358892,0.703786127604735
144,0.5082562128298729,0.6943195496869038,0.862321000862278,0.7970627011609295,0.715489866134996
145,0.15909741093042698,0.024605050405104884,0.8030500420148835,0.24637534520826254,0.3082819621396695
146,0.5033347642957043,0.7737827237474831,0.7832415848253733,0.7019391795396005,0.6905745631020404
147,0.5611307202148789,0.6782985127420196,0.26033546028740395,0.8392659534178218,0.5847576616655311
148,0.5455830643583285,0.0,0.8457623506498787,0.14267575043256167,0.38350529136019224
149,0.0,0.0,0.0,0.0,0.0
150,0.6078617440502968,0.05274163436319401,0.8180224068122005,0.8274506169088275,0.5765191005336296
151,0.4042476884050005,0.7642988978303816,0.5039089117321202,0.9016596792787445,0.6435287943115616
152,0.0,0.7641443258812968,0.8134879684165531,0.6948480963837523,0.5681200976704006
153,0.08435125552757647,0.0,0.2632362516887008,0.4148544910248181,0.19061049956027384
154,0.0,0.6379937465991042,0.48564248119342995,0.479639081269916,0.4008188272656126
155,0.0,0.42699895739080235,0.8663115554542344,0.7860102857130006,0.5198301996395094
156,0.7639959884538853,0.597989059472084,0.7898829077149161,0.5892320158959674,0.6852749928842132
157,0.4896517097484625,0.0,0.6605665133622323,0.7529034489983306,0.47578041802725635
158,0.5880336916400821,0.8764446541553416,0.6512929753357699,0.5813588331280957,0.6742825385648222
159,0.0,0.0,0.0,0.0,0.0
160,0.563410450334493,0.0,0.17217787883335553,0.46054825430063956,0.299034145867122
161,0.3656538755706187,0.0,0.887660927185943,0.6823455384233579,0.4839150852949799
162,0.5099772730155486,0.0,0.28175026208501375,0.44782396475887615,0.30988787496485964
163,0.30539510440334655,0.7333203746650891,0.8853607211957037,0.8174244145892356,0.6853751537133438
164,0.709301114002937,0.7427683134569727,0.7546040185489662,0.860841364098208,0.7668787025267709
165,0.6214674135271939,0.602345291151109,0.8457623506498785,0.14267575043256184,0.5530627014401859
166,0.5611307202148789,0.6782985127420196,0.26033546028740395,0.8392659534178218,0.5847576616655311
167,0.5033347642957043,0.7737827237474831,0.7832415848253733,0.7019391795396005,0.6905745631020404
168,0.6682755743538893,0.12986708019433166,0.664268296447765,0.9713476887309515,0.6084396599317343
169,0.434362672631045,0.0,0.1974570592953349,0.28625359616564827,0.22951833202300703
170,0.0,0.5914644115322858,0.7263679684698584,0.6595833150099117,0.49435392375301396
171,0.0,0.8204478002406468,0.6629474706883913,0.379338298512768,0.46568339236045153
172,0.0,0.30817607577488265,0.504732574974821,0.746575228053964,0.38987096970091695
173,0.6159911403586281,0.0,0.812942700669366,0.7423908885510917,0.5428311823947715
174,0.5834238899524321,0.7009360594316354,0.5447776245544844,0.9525744173461748,0.6954279978211817
175,0.6710226912652667,0.6452409805929793,0.8997884363132873,0.8647295749411393,0.7701954207781682
176,0.0,0.567272089965464,0.019399801081821176,0.6898650905039589,0.319134245387811
177,0.6078617440502968,0.05274163436319401,0.8180224068122005,0.8274506169088275,0.5765191005336296
178,0.4996852474620096,0.687001777737595,0.9116866863426731,0.4166949525250737,0.6287671660168379
179,0.5171607855843753,0.5161295137017584,0.7971038999681872,0.5604843673975833,0.5977196416629761
180,0.7624512380094595,0.9015973447613844,0.8030500420148836,0.24637534520826254,0.6783684924984974
181,0.0,0.6632561456719452,0.8837280332412486,0.9436078488480961,0.6226480069403224
182,0.2693883748162518,0.761538880159828,0.7312247272908239,0.7046493007418019,0.6167003207521764
183,0.6799575783052009,0.2830450955648189,0.8741657149452381,0.7524408554483488,0.6474023110659017
184,0.389470932160739,0.0,0.29532766555663326,0.5557003226854159,0.3101247301006971
185,0.0,0.0,0.0,0.0,0.0
186,0.5559392157329314,0.8760364606606689,0.7920559323511736,0.6346960193997158,0.7146819070361223
187,0.13653043421259675,0.2455880021869949,0.8277232294177748,0.49481146389944386,0.4261632824292026
188,0.0,0.529548739724636,0.8476500296254269,0.6253017211190586,0.5006251226172804
189,0.836516134385413,0.787619318549063,0.8485539175556907,0.31310947309678394,0.6964497108967376
190,0.8255729653071383,0.45510405375450275,0.7669628733492402,0.6745208182456487,0.6805401776641326
191,0.709301114002937,0.5523458561167784,0.6535059343529288,0.8608413640982082,0.6939985671427131
192,0.0,0.0,0.22617263799021703,0.3721583133193115,0.14958273782738213
193,0.0,0.3144681318349235,0.0,0.40161353388342497,0.1790204164295871
194,0.0,0.25490768064701935,0.6671441987082346,0.475124946331215,0.34929420642161724
195,0.22526256474914477,0.29924610958649267,0.0,0.22872406849680774,0.18830818570811128
196,0.0,0.48323485969609514,0.8325760417283381,0.6898650905039589,0.501418997982098
197,0.6682755743538894,0.7388047465357998,0.4484989505655971,0.971347688730951,0.7067317400465594
198,0.0,0.6296080440143192,0.763249159258067,0.8387902849324688,0.5579118720512137
199,0.0,0.3812126593802075,0.0,0.37713988790014236,0.18958813682008746
200,0.0,0.0,0.0,0.0,0.0
201,0.7841542189911903,0.9517764779319496,0.6995237462095303,0.3893233804341007,0.7061944558916927
202,0.0,0.9186134870561449,0.6388184196425096,0.09752458046418395,0.41373912179070965
203,0.0,0.64118608630431,0.3852789193135229,0.36446608589188456,0.3477327728774293
204,0.6237021403667216,0.6489246683711904,0.27681068977721424,0.7110848836331051,0.5651305955370578
