Num,R_1,R_2,R_3,R_4,Average
1,1.0,1.0,1.0,1.0,1.0
2,0.24295164232915606,0.6797196559019903,0.5980067140166243,0.3226614094634186,0.46083485542779734
3,0.0,0.0,1.0,0.0,0.25
4,0.24917053292578842,0.6338447902856172,0.5917938350311915,0.3023652591306119,0.4442936043433023
5,0.3747323979114791,0.8684191029888736,0.8678031290962009,0.3276539154228591,0.6096521363548532
6,0.33556629244143077,0.6938186590025931,0.8037201186474265,0.34960384937462957,0.54567722986652
7,0.29548534337865073,0.7790759029958039,0.5019413385330994,0.42188788350449347,0.49959761710301187
8,0.4725769227255801,0.5144826722239347,0.7760839930141328,0.487051347798073,0.5625487339404301
9,0.26767034238447085,0.5450672766284825,0.7158565415549897,0.21147534009457536,0.43501737516562955
10,0.2997729751066189,0.7947408663432431,0.8795000633600355,0.36103408354796,0.5837619970894644
11,0.3562088577696214,0.6070455949275047,0.33142181376297436,0.5277555234761498,0.4556079474840625
12,0.2628801365934178,0.7114538748525463,1.0,0.34659322407521315,0.5802318088802942
13,0.02079809487485038,1.0,0.5090368495864327,0.6744626470248967,0.5510743978715449
14,0.42989678846532453,0.6803086150044766,0.7485238468761516,0.36001746935161394,0.5546866799243917
15,0.3747323979114791,0.8684191029888736,0.8678031290962009,0.3276539154228591,0.6096521363548532
16,0.24233470051406197,0.5448784215078167,0.6004026295856268,0.24727519708850723,0.4087227371740032
17,0.3562088577696214,0.6070455949275047,0.33142181376297436,0.5277555234761498,0.4556079474840625
18,0.3827541926186243,0.8201879282135651,0.9139920975544548,0.3473152542022265,0.6160623681472176
19,0.31865566693045083,0.6522172471481048,0.5201985917432282,0.25047398374517743,0.43538637239174033
20,0.3562088577696214,0.6070455949275047,0.33142181376297436,0.5277555234761498,0.4556079474840625
21,0.4136434533661744,0.8268310241073636,0.6947476537070694,0.4676631574359324,0.600721322154135
22,0.31235259951507527,0.5550534141151889,0.5714661276520902,0.3431057835618839,0.4454944812110595
23,0.40931041812706975,0.8371463461898238,1.0,0.3097396938796852,0.6390491145491447
24,0.2997729751066189,0.7947408663432431,0.8795000633600355,0.36103408354796,0.5837619970894644
25,0.02079809487485038,1.0,0.5090368495864327,0.6744626470248967,0.5510743978715449
26,0.42989678846532453,1.0,0.8967659368315669,0.36001746935161394,0.6716700486621263
27,0.3089674871220767,0.7056608651728535,0.44740609233391687,0.23552934207654233,0.42439094667634736
28,0.15341405520099696,0.7416183665585822,0.8191017640671434,0.5176766094157363,0.5579526988106147
29,1.0,1.0,1.0,1.0,1.0
30,0.43426848417261876,0.9841858853594493,0.8588297077405603,0.5360700722767471,0.703338537387344
31,0.0,1.0,1.0,1.0,0.75
32,0.042423734075007574,0.8695865174355646,0.6601363513124715,0.2733519902076714,0.4613746482576787
33,0.4725769227255801,0.5144826722239347,0.7760839930141328,0.487051347798073,0.5625487339404301
34,0.37473239791148066,0.5871920898782941,0.49546515592117396,0.327653915422859,0.44626088978345196
35,0.3180578705449763,0.8713876702575304,0.8678031290962012,0.3276539154228581,0.5962256463303914
36,0.45759391897610974,0.5239775913643894,0.7487313235002228,0.5953528709416762,0.5814139261955995
37,0.2997729751066189,0.7947408663432431,0.8795000633600355,0.36103408354796,0.5837619970894644
38,0.2560016335217063,0.4955242934049371,0.8104974926390799,0.21372235905914463,0.443936444656217
39,0.3747323979114791,0.8684191029888736,0.8678031290962009,0.3276539154228591,0.6096521363548532
40,0.2784665925011753,0.8254411433450534,0.36855722560307513,0.3278171595356521,0.45007053024623894
41,1.0,1.0,1.0,1.0,1.0
42,0.3827541926186243,0.8201879282135651,0.9139920975544548,0.3473152542022265,0.6160623681472176
43,0.2784665925011753,0.8254411433450534,0.36855722560307513,0.3278171595356521,0.45007053024623894
44,0.7721612539322976,0.7587655348247181,0.8134507295755401,0.8432989787520337,0.7969191242711473
45,0.39732732413590804,0.6600308355760983,0.8174249336315902,0.5677193964379802,0.6106256224453942
46,0.3155225296656367,0.7355213627711171,0.596377693470577,0.46469413692806577,0.5280289307088492
47,0.19799614931292164,0.43047614727546624,0.8795000633600352,0.36103408354795963,0.4672516108740957
48,0.39580775043731015,0.48636038476184,0.8572617156458561,0.15273125109349825,0.4730402754846261
49,0.41376325258805646,0.8082042737093189,0.7542472360692176,0.3138208347940315,0.5725088992901561
50,0.3747323979114791,0.8684191029888736,0.8678031290962009,0.3276539154228591,0.6096521363548532
51,1.0,1.0,1.0,1.0,1.0
52,0.40931041812706975,0.8371463461898238,1.0,0.3097396938796852,0.6390491145491447
53,0.37473239791148066,0.5871920898782941,0.49546515592117396,0.327653915422859,0.44626088978345196
54,0.3827541926186243,0.8201879282135651,0.9139920975544548,0.3473152542022265,0.6160623681472176
55,0.5578720037089072,0.673724278663156,0.8134507295755383,0.8432989787520332,0.7220864976749086
56,0.42995817363615346,0.7767085165533866,0.7375603153121479,0.3160972779909206,0.5650810708731522
