Num,P_1,P_2,P_3,P_4,P_5,P_6,P_7,Average
1,0.5512307289141554,0.8091205595919185,0.3677006113033132,0.67069546158091,0.46576597652418567,0.4489661431030154,0.6446156658942159,0.5654421638445306
2,0.46922999835032225,0.2218458604064849,0.5878753127996588,0.379481098048968,0.8348058102777887,0.9228483828271274,0.7764081228324446,0.598927797934685
3,0.7829189851375425,0.4271646290488812,0.5165220731924882,0.7700390404447239,0.7018067084367217,0.8344216653716181,0.4989665850008214,0.647405669518971
4,0.4615200558334041,0.4810217593926814,0.7593609164052103,0.6047568632335436,0.7820882005111783,0.9059662540341223,0.48662746662181966,0.6401916451474229
5,0.5562232110973269,0.49348210552650396,0.5874497673339606,0.7569107044771605,0.582237018438277,0.411088749423068,0.8024007607170234,0.5985417595733314
6,0.3439341959074578,0.3927602913155841,0.3143123285517738,0.8632882465908722,0.00659353539432389,0.8298932844215989,0.6200932972627818,0.48155359706348466
7,0.4300276834452816,0.5550481965119276,0.45865341311544255,0.755415649234747,0.8529052776985422,0.993421303282623,0.682657547347928,0.6754470100909273
8,0.4875165923174511,0.9197133401888122,0.5705033933624825,0.27010138264892813,0.5585687816538123,0.4032538808884085,0.40832415165361485,0.5168545032447871
9,0.9520003378021002,0.8897370425126312,0.6671784911874928,0.7954537847328114,0.3571830391718407,0.6125084097174003,0.4026693682548852,0.6681043533398804
10,0.5000690205753004,0.5032642745372587,0.610704154770403,0.04062999971280233,0.2712673800962552,0.836032716528695,0.8135104923153957,0.5107825769337301
11,0.5207263366318714,0.650034141916081,0.11696655211377005,0.4765012071422518,0.7485729330449394,0.3748182987353123,0.5246668841319502,0.4874694791023109
12,0.5754474607857003,0.7596109751209129,0.42114579233647426,0.638130209928435,0.6067236890969842,0.5371325752771497,0.40557929896479417,0.5633957145014928
13,0.7700446465696615,0.6647284033633439,0.01711875029890611,0.8239356257536278,0.49941810864238434,0.6783128301009278,0.5810775408461746,0.5763765579392894
14,0.6262394417406176,0.48164864177265093,0.6020608022158146,0.45459569221383733,0.9274989058522276,0.900691989167898,0.6214713874083111,0.6591724086244797
15,0.6008580501180173,0.41482362030744063,0.5421380757709789,0.6233694703169674,0.2156102368422842,0.6055786194168451,0.33702034728160946,0.47705691715059195
16,0.7410821389532791,0.7411238736760106,0.8225274831320033,0.12411030977093801,0.31539043551761753,0.6136815339281554,0.5496755960668815,0.558227338720698
17,0.349438872178563,0.44365576064567536,0.3130932420102994,0.6988777443571254,0.7211420805152201,0.7391180680852719,0.4896236374085847,0.5364213436001057
18,0.41493674766848987,0.6102435938714218,0.6456387141447232,0.41562501187803297,0.2834358818004995,0.8384548114298986,0.7365145443351299,0.5635499007325995
