Num,F_1,F_2,F_3,F_4,F_5,F_6,F_7,Average
1,0.8195002480963645,0.8548859123013083,0.687689664794696,0.5999041598393247,0.6430912084131137,0.7125471661257575,0.8023357378651611,0.7314220139193893
2,0.7278846284736178,0.5217888329106337,0.6462610437348802,0.6451858301585887,0.9088830211236355,0.9920793992696678,0.8606835845388285,0.7575380486014075
3,0.7398190259229047,0.8523785161689879,0.48120569033922816,0.8882716500492442,0.8978232054599609,0.7457358886953195,0.7924398742002658,0.7710962644051301
4,0.884535940227388,0.6364893887416739,0.8685128750548823,0.806335292949074,0.877315123933761,0.9612600683278254,0.7766411036972115,0.8301556847045451
5,0.8214330393552213,0.6948265528365887,0.7475660152422609,0.8865733039223407,0.9497010315295574,0.6605152333466431,0.8812802019508338,0.8059850540262066
6,0.9092339177541665,0.5757197216394113,0.8408519971768901,0.8478546715257642,0.37855467649309116,0.9278662788476966,0.8059959962455642,0.7551538942403692
7,0.6990026154704672,0.6391295865152739,0.6239721507194034,0.8096468920932433,0.8416747715572617,0.5849421539796832,0.8395025052059065,0.7196958107916055
8,0.7509401647586388,0.8712503312327724,0.46439987830887985,0.5586841296343154,0.886704067716337,0.82138893379764,0.8650642675387801,0.745490253283909
9,0.5049102690424189,0.6666542403405733,0.6032099769422986,0.35349126318837015,0.7550900573178561,0.7683447082708139,0.7943859007580505,0.6351552022657688
10,0.5498254858514618,0.7122215524679055,0.6273080168422883,0.3171995357114335,0.7762254423226005,0.6265015709954684,0.8288658645559065,0.6340210669638664
11,0.7401398646920146,0.9392148820085732,0.5216863744378847,0.6869391197078569,0.9317673226534521,0.6907046100150097,0.7194983157690422,0.7471357841834048
12,0.7970550210200009,0.6902837439250878,0.5883837361124572,0.8275195141789703,0.9336417991472804,0.8255703563592187,0.6815879214104877,0.7634345845933577
13,0.8864220918878243,0.6695880304237468,0.23188609478264466,0.5309276303792887,0.7521795100891309,0.8242353340443096,0.8134842134015339,0.672674700715497
14,0.5697855230532607,0.7446167810069078,0.8484141193239101,0.6285149805626796,0.8583554928259239,0.9183068540859941,0.8793957073263824,0.7781984940264369
15,0.8655848391649277,0.615399825088038,0.8158245745344341,0.7090012292499273,0.5951410505121429,0.9161315651089128,0.5586478040091598,0.7251044125239348
16,0.7402815630087782,0.648574828433066,0.5271155796461976,0.2746625711824431,0.6356905959850689,0.7652023943205085,0.7769647655385349,0.6240703283020853
17,0.5836044596928684,0.6360873355318208,0.564350941511123,0.874964666972295,0.5569569828766358,0.8980966085534556,0.8574424200591816,0.7102147735996258
18,0.6024393555174288,0.8125888831262397,0.4288482300971209,0.7054833636804898,0.38934383997669364,0.9530883349499558,0.8470097490370074,0.6769716794835622
19,0.8917305571856423,0.5672667777550026,0.5738166528698074,0.6961280195445929,0.7973198199937627,0.5065866174020608,0.821829268027296,0.6935253875397377
20,0.8288341420360988,0.5667986018041188,0.6940444362974809,0.6161292356901729,0.6270170690384289,0.7760658523479247,0.517591152149524,0.6609257841948212
21,0.7481696867050099,0.4331238156600139,0.3769361590238673,0.7148583318486483,0.44237151620097176,0.8139185447522195,0.7511877527467983,0.6115094009910756
22,0.7624566698281284,0.8550839756876758,0.4008953376028371,0.8248111438777782,0.6301610490520202,0.9412132140671928,0.654093752069982,0.7241021631693735
23,0.6818461868239365,0.19628317234111375,0.42456969408612727,0.3070013275692072,0.8588472247258478,0.6912251640941072,0.6321914610842353,0.5417091758177965
24,0.5480609678718523,0.6599350123076649,0.5232864018922823,0.6681372390240995,0.33634981148022486,0.686235836335928,0.5922902517609219,0.5734707886675677
25,0.8655244773501443,0.5291646072358541,0.44363829578723707,0.5683859371908516,0.8787999655177067,0.9818862534450034,0.408334275184221,0.6679619731015739
26,0.7668220158229128,0.9277705717305241,0.821893306466351,0.8581083707617366,0.7694332140862054,0.8620293683737543,0.5682668342593834,0.796331954500124
27,0.5653775953190963,0.5542538291496059,0.8553623649456372,0.3987378280087247,0.6711696481501421,0.8596402599824282,0.9211582724245722,0.6893856854257437
28,0.9476755526336769,0.7312559111419381,0.6397981060860289,0.6136771783286419,0.49301458732049463,0.9342440373628159,0.8624310162988232,0.7460137698817743
29,0.7930522063672711,0.4586869311185635,0.8050538697766416,0.6596721712772823,0.6092224514983227,0.5860802191114115,0.8078138585883695,0.674225958248266
30,0.4011923597651325,0.9176178401378969,0.3255576274443632,0.4871383065426548,0.737111127733384,0.6897487459776172,0.6686140415502979,0.6038542927359066
31,0.3967963788439473,0.719972823087241,0.2616520410747513,0.3049306440714534,0.8957351789641297,0.8754681615005259,0.4500447224117648,0.5577999928505448
32,0.852330759322731,0.936585933898432,0.33454928181153665,0.5057872890441311,0.6863905807111982,0.7134907474083828,0.7022771101017672,0.6759159574711685
33,0.6450546247135357,0.8231039867232638,0.6302511339360548,0.6131669943218625,0.8561625018044358,0.5375782074507025,0.7054021469854636,0.6872456565621884
34,0.8545601807202173,0.8202219231061635,0.7187877675989689,0.47164595408366383,0.8735587835109213,0.8188179903212122,0.8324212775595862,0.7700019824143904
35,0.6127784854113405,0.6799806791116754,0.08164134664783625,0.5815886813082133,0.8393432847830312,0.7216969300116507,0.6564536670705828,0.5962118677634757
36,0.652289375634261,0.6482979197223885,0.4275984727625268,0.654566461543454,0.5245606921655752,0.7174438267569573,0.7791120122374356,0.6291241086889426
37,0.7524711689211959,0.5844143190674255,0.4115974658295444,0.3215031993502798,0.6826764058955849,0.8456906321917051,0.8059349953981089,0.629184026664835
38,0.7354696547086735,0.43873272425628224,0.38226646220839094,0.6660808758519147,0.8031905329884266,0.8703052462827928,0.8870618086199963,0.6833010435594967
39,0.7314563234834695,0.6192293558410115,0.41749847702618914,0.5951200820443575,0.7610236986714216,0.8263939269087622,0.5409535399863803,0.641667914851656
40,0.6122740222892326,0.6518085964509136,0.7138992453432417,0.8931379454700957,0.6725579932135609,0.6094451126680603,0.6967615930729789,0.6928406440725834
41,0.7249727920984389,0.6689871247711571,0.5511028630904791,0.7101287161791836,0.6979890402331138,0.8525329783292273,0.5596482126970574,0.6807659610569511
42,0.9451486436267614,0.5853953148635185,0.6720762899610175,0.6408523586487962,0.6300046617500943,0.8241733730745227,0.6842717664796789,0.711703201200627
43,0.9435441530393135,0.7128519081748087,0.8651479984482454,0.5896824263564429,0.66635121797105,0.5696371376373861,0.7870855853753915,0.7334714895718053
44,0.74021382612992,0.88919925823183,0.5092875522287535,0.807828995940039,0.890824007037076,0.7692134056648836,0.872752695398354,0.7827599629472652
