Index,Mean,Var,SD
P,0.5508575644225031,0.039139625030353196,0.19783737015628064
Q,0.8075901501050916,0.0638218830301539,0.25262993296550174
R,0.6956172406288128,0.05181638225768454,0.2276321204436767
F,0.6875892600838961,0.033047939558098205,0.18179092265043986
