Num,F_1,F_2,F_3,F_4,F_5,F_6,Average
1,0.5895820777775848,0.5895820777775846,0.6059694728379145,0.634316398100438,0.5761367379465777,0.5895815233972003,0.5975280479728833
2,0.5918723570244808,0.34779405344697195,0.4183868477095233,0.657164867727188,0.4027077285349642,0.8515897094618815,0.544919260650835
3,0.5717842742677417,0.5720415117377619,0.682486458994206,0.6636537088186577,0.48579666393648224,0.5611312569450578,0.5894823124499845
4,0.4235922723236751,0.535155108775913,0.4802675205875174,0.6060809567352605,0.5143139138488856,0.5630001947652356,0.5204016611727479
5,0.5854232897403071,0.6116271424570953,0.5899201554110922,0.48775262908264166,0.5359764468485706,0.5593524572751806,0.5616753534691478
6,0.6268726961230834,0.49636740161186516,0.46244739356779563,0.5813822152244532,0.6195990336696948,0.5833404330534482,0.5616681955417233
7,0.6827929657252104,0.5415453085898106,0.6093288525972279,0.5807770602815545,0.626259360399908,0.5230860594568605,0.5939649345084287
8,0.5889603222320623,0.48924308588136106,0.5428193742311059,0.5406453471470203,0.6888664204128495,0.5519183064690161,0.5670754760622359
9,0.6302147315938335,0.6020304523496609,0.5247527106656931,0.5277869840140574,0.5393314669293134,0.5228670189008607,0.5578305607422365
10,0.6281151541933407,0.5393766304864465,0.6328813073078989,0.5514804688392544,0.5504571928561658,0.5069308897913991,0.5682069405790843
11,0.7576415094974441,0.603246715991231,0.6196670480199802,0.7440424343872285,0.7714388216096097,0.7481486182187118,0.7073641912873677
12,0.6287085837119113,0.5922106839490306,0.6624407685956486,0.6624407685956498,0.5721370699623257,0.5641211522355021,0.6136765045083447
13,0.6292728306791301,0.6292728306791321,0.6185067529495833,0.6012981675053334,0.5801097576149328,0.5724331184963779,0.6051489096540815
14,0.6065500959180766,0.6065500959180765,0.653258096678739,0.812359475338306,0.7042701525253038,0.6519794068855073,0.6724945538773347
15,0.6389480291715858,0.5928378635263124,0.5058382748500411,0.4924138952374824,0.6610544242086456,0.6246903784884543,0.5859638109137536
16,0.5528268378552021,0.6272698830001369,0.7454446698437792,0.7027821994278317,0.5631765939690383,0.6001309383263992,0.6319385204037312
17,0.5908348294093562,0.5345068121478931,0.7722045156602287,0.5829701370090798,0.5810865671606495,0.5834941663868655,0.6075161712956788
18,0.5971679778203685,0.5342941415218249,0.5892990593662305,0.5835490980378566,0.5575165387702012,0.612506187382175,0.5790555004831094
19,0.5314986496443683,0.5809719382970793,0.5330451203388352,0.5106990461246553,0.46548786346998233,0.4498008369922506,0.5119172424778619
20,0.5732832958124571,0.5490642220536217,0.6185744590626722,0.6250982470834207,0.7158317581819961,0.5175368446813601,0.5998981378125879
21,0.6566248250997675,0.6541352742213123,0.5451088885805249,0.6541352742213111,0.5322049575790704,0.6285015297587823,0.611785124910128
22,0.547838419995339,0.5478384199953392,0.5408199919945699,0.6941599249634475,0.5112239566003073,0.6078890927084359,0.5749616343762397
23,0.5382931687681906,0.6448053269263054,0.6184910692786592,0.585162722377245,0.6353693820117428,0.5615239764149603,0.5972742742961838
24,0.521264278511626,0.5866630958664507,0.6031115730911786,0.5346204644268742,0.6492137712566345,0.5597149719262358,0.5757646925131666
25,0.7150857125667,0.5381550330810705,0.590545747991514,0.6214096236432005,0.6085874012159784,0.5249252402160313,0.5997847931190824
26,0.5555736760113832,0.5081001968749337,0.5303237366898528,0.56215885762466,0.5248371459701819,0.5758039953005083,0.54279960141192
27,0.5125542751906079,0.6083705273058225,0.6503728645670572,0.5116025312092579,0.6947630387481977,0.5593548345274744,0.5895030119247363
28,0.5432193846865548,0.5432193846865551,0.6719661326744205,0.5432196814491568,0.622632332658076,0.6311077198391768,0.5925607726656567
29,0.5802580411287439,0.6885676042468897,0.6885716980890656,0.6009915817408897,0.8129636526116228,0.6528908321997677,0.6707072350028299
30,0.587594933125876,0.5078923834729336,0.5800165867755032,0.45050829971983414,0.506969130504356,0.5448469689356606,0.5296380504223607
31,0.5660881166200641,0.5688198493809434,0.5802574840474675,0.5569997037965452,0.5889687041675198,0.5635885829990501,0.5707870735019317
32,0.4906242111355902,0.6540869413401509,0.6540869413401509,0.7224813218784399,0.5950765735005811,0.9110163030922374,0.6712287153811917
33,0.566143608951142,0.5731662673593956,0.49715904849189285,0.5996347614732158,0.570334921391084,0.6027416799969015,0.5681967146106053
34,0.624507918808513,0.5317191297988118,0.655464004522241,0.6123278661101814,0.5504829859003926,0.7110064022553024,0.614251384565907
35,0.6800471647264859,0.6485795987962684,0.5224851706964432,0.5609961852699693,0.6177041789575543,0.523138581174442,0.5921584799368605
36,0.6287643963730027,0.41710822986721324,0.5996249583545604,0.5733786977771518,0.7607656070627269,0.5996243585609528,0.5965443746659347
37,0.4958848853715443,0.44430591985026113,0.5034679531382616,0.5153331227639348,0.5880933575823067,0.471089789877904,0.5030291714307021
38,0.16507041202856773,0.6965943481688935,0.6435879394812204,0.5709773935204469,0.5709773935204467,0.6460784466440734,0.5488809888939415
