Num,F_1,F_2,F_3,F_4,F_5,F_6,Average
1,0.6422724240808768,0.6422724240808769,0.5290094362142584,0.8429258267943952,0.7414299146965194,0.6867599411610964,0.6807783278380038
2,0.6960225774127787,0.3301381744791206,0.36148211043945294,0.5370440216965868,0.4364085381361268,0.9062675635189945,0.5445604976138435
3,0.4412180096010374,0.6581636019860501,0.667153059251317,0.6777572845324079,0.5726088328425888,0.796944527163164,0.6356408858960942
4,0.6373221735745987,0.6044810128534297,0.6262179149002751,0.6693517498190877,0.6606183485549704,0.8135197500775134,0.6685851582966458
5,0.6137295263767306,0.6955281427146982,0.690402523234495,0.5970181328845233,0.5838658223479803,0.6236491723899018,0.6340322199913883
6,0.5864785611882698,0.6169507766622759,0.5497042945469341,0.623334742422599,0.7001282971092254,0.6745117376717649,0.6251847349335116
7,0.6172725467765688,0.6592111336258488,0.703017251868635,0.674087995097548,0.6953057295986429,0.6783164575219496,0.6712018524148656
8,0.6287177295300844,0.6440993694375684,0.6998968517012526,0.6595530667870758,0.8599647136238836,0.645376093900294,0.6896013041633599
9,0.6844650864078252,0.6863262762852776,0.6436485424676366,0.6725216416546547,0.5880962591121556,0.6197008989406583,0.649126450811368
10,0.6758757382043481,0.6865124471880356,0.7216639169855461,0.7121176421275103,0.6469622370994457,0.6813505768443074,0.6874137597415322
11,0.8748451973826575,0.6578035012746071,0.732808579967963,0.8248367236883185,0.7290976436187189,0.7855945903309168,0.7674977060438636
12,0.6540765727691531,0.6712193162569552,0.7161178236064503,0.6979204903442325,0.681499096082273,0.5434418495704614,0.6607125247715876
13,0.6111958476899712,0.7213043117090735,0.6831502466413228,0.5031284937023086,0.8218908723908805,0.7382889497569722,0.6798264536484214
14,0.6925100986271602,0.6925100986271601,0.760150718824197,0.8314312611629863,0.839388163460283,0.7245909199129351,0.7567635434357869
15,0.7209553657597667,0.7691069763952589,0.714100664055402,0.6491255861608054,0.7078857790209866,0.7059113590518709,0.7111809550740151
16,0.798670496656192,0.5978456108717103,0.8103911363878974,0.8854518409417028,0.6687638932681854,0.7063934125262377,0.7445860651086543
17,0.6871863572524596,0.8022217586640541,0.7599105126860416,0.7081243377167176,0.7385028169368358,0.8280463858155321,0.7539986948452735
18,0.5778271949623655,0.6015278817533841,0.6571442838793958,0.6138306886694759,0.5543948764083896,0.6569527750439668,0.6102796167861629
19,0.48915267831026643,0.6843287025235031,0.6848098729756713,0.5947865566409343,0.6107651650744248,0.6641816912614619,0.621337444464377
