Num,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,Average
1,0.8547151933752427,0.802002005296134,0.9228431778232935,0.6264366968074625,0.8404929034958047,0.7289104915612539,0.7479446275182323,0.6230160644704285,0.7682951450434815
2,0.619399587293036,0.8441625697423522,0.6725347631659118,0.6894952014976621,0.8265475911413002,0.7730306714728228,0.9101083333164691,0.7936394245463935,0.7661147677719934
3,0.710111967258311,0.4117163402565063,0.5708175559533659,0.09076962375247279,0.9300462436000257,0.5342726450094919,0.8243187113761198,0.7021128061861313,0.5967707366740531
4,0.8526863266266924,0.8368495141880397,0.7807918603432311,0.7070114205401238,0.9523522524621356,0.8442281991191906,0.8807816629753732,0.5018209640722675,0.7945652750408817
5,0.7070843293234654,0.7421523690728163,0.5787826235491166,0.8828248610129303,0.7579444378727012,0.9045884835402486,0.72060928600386,0.5075642269245316,0.7251938271624587
6,0.9437068008297244,0.8035402428191999,0.701622467031619,0.8907302336231432,0.9156007870956646,0.8944274167638854,0.801755391723712,0.783225031512883,0.8418260464249789
7,0.3541337894425101,0.7936926691124105,0.8804941491663664,0.7300892102516047,0.5992005704092129,0.8332277807760181,0.8030833766582413,0.6602566953182852,0.7067722801418311
8,0.9708212537709479,0.9735010149552238,0.6992604249242347,0.5672312198037036,0.28413513390030426,0.8343626854788684,0.703318811264505,0.5322368059993257,0.6956084187621392
9,0.9487582624623732,0.8204144984490674,0.6552855198109104,0.7437377476961432,0.7074192336964212,0.5108939953116718,0.5105684448277356,0.7206101694004232,0.7022109839568432
10,0.8079542930015067,0.6079970456467868,0.6582567485055288,0.3447353825046701,0.6521833505300183,0.7545307857805679,0.44485356904318457,0.868753036275248,0.6424080264109389
11,0.8222704930656615,0.0651709763084881,0.46454782940733785,0.8367686693509426,0.576458784573512,0.697820610746622,0.9452246041509201,0.7196866444935531,0.6409935765121296
12,0.5907150840274601,0.5375930296004153,0.6881897597065537,0.7936748586114506,0.7953050525227138,0.9125986944972037,0.8226945687879788,0.9111352092919771,0.7564882821307192
13,0.6188935994925694,0.4897131153779416,0.7909020268660892,0.8708704547599135,0.811660538444829,0.9020453644514008,0.46686847158173833,0.7897475871898493,0.7175876447705413
14,0.9791545750978833,0.9215036331536959,0.5273879315095226,0.6682308953587602,0.7450437488844666,0.5124827497204685,0.905484911788338,0.3146717497585335,0.6967450244089585
15,0.5602126693973019,0.4597253932816557,0.6181890289124237,0.5842188771782766,0.5278728416447362,0.530765840959001,0.7043504713869437,0.7979187307469884,0.5979067316884159
16,0.8392998170197125,0.8934990830078112,0.5188355326903279,0.7041143558327275,0.800288194690134,0.52041412462395,0.6846769780241897,0.7621978381524039,0.715415740505157
17,0.9042023079184205,0.8824573197544096,0.8601414131632785,0.7974938604240334,0.8475032465239141,0.7783981253205348,0.6243730488973895,0.8681214683272371,0.8203363487911521
18,0.7752994142416793,0.6284398104111639,0.655362320752501,0.8561546217146458,0.842716073798805,0.8344303757977589,0.8546436784677148,0.5192780561646,0.7457905439186087
19,0.9573521429159255,0.9107694531714494,0.9413320844033143,0.833642503997593,0.6969226022284708,0.9233305700925206,0.7403062783821039,0.8905631255578506,0.8617773450936534
20,0.4877028452216168,0.7719285821541836,0.5231133400217296,0.9810278123150139,0.442327646487754,0.8775335005019422,0.7424244931691031,0.09716264074672687,0.6154026075772588
21,0.12322094000565796,0.9053715050331594,0.23175665260979267,0.900994390769121,0.7006401102682015,0.7195390139902729,0.5856935598912856,0.46195088047118643,0.5786458816298347
22,0.2232068682708497,0.925215795415714,0.9892022395466316,0.23174720440045476,0.6404875552995805,0.8192509461663174,0.6064758107074946,0.7611992826167344,0.6495982128029723
23,0.8649506200411142,0.20285394451862357,0.5193947340215707,0.8106696639738306,0.9068137424585915,0.07482201629546333,0.6278505546824976,0.7049256548728291,0.589035116358065
24,0.7818209195247762,0.4063942118060402,0.4393560964103347,0.8266476134544302,0.7113296594974827,0.6640507222769945,0.8197249097920654,0.9024086996317363,0.6939666040492325
25,0.8965164135012892,0.9356830194290898,0.819879846601341,0.8549119227900561,0.5384362761593553,0.06501031474202563,0.8866336598852465,0.7821280653344627,0.7223999398053583
26,0.992389492342316,0.7312601838361716,0.6952040580465177,0.911829824170142,0.7322055625624413,0.7322770650505678,0.959925184645266,0.8554170988669079,0.8263135586900413
27,0.8988869995712642,0.6844739867292663,0.40319843848274195,0.7646081917413882,0.9532709432917736,0.6684632685979667,0.8200622581259707,0.6826948871228039,0.7344573717078969
