Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Average
1,1.0,0.6668531709421396,1.0,0.9150229845075334,0.4373591048525795,0.8333250408073946,0.8087600501849411
2,1.0,0.9265025971435442,0.6949980382169963,0.8821846886077939,0.6217080471795033,1.0,0.8542322285246396
3,1.0,0.8245771832723869,0.8917181089501561,0.9052378802171974,0.3562089417495983,0.5936815695826636,0.7619039472953338
4,1.0,0.48761467223666144,0.7467716339680862,0.8118543543877362,0.53830682860652,1.0,0.764091248199834
5,0.3998790692811463,1.0,1.0,0.6452802928785214,0.7770564263806871,0.5154666107881888,0.7229470665547573
6,1.0,0.9844653965207131,0.9889038546576526,0.8398248926443588,1.0,1.0,0.9688656906371208
7,1.0,0.8018954102523163,0.6420424162996649,0.4716022562127848,0.6909288178009309,0.6234525641658355,0.7049869107885888
8,1.0,0.7222546135249319,1.0,1.0,0.9065497963370297,0.7507755614036772,0.8965966618776066
9,1.0,1.0,0.8007292800480288,0.7357428503496863,0.6740168870792548,1.0,0.8684148362461617
10,1.0,1.0,0.7415785245704417,0.8731894781879129,0.8156672550149149,0.7972662278953524,0.8712835809447702
11,1.0,0.4560437117126709,0.30815924051699795,1.0,0.3790184222673558,0.5724856746273781,0.6192845081874004
12,0.8998807104335723,1.0,0.9351421529894921,1.0,1.0,0.18392923143020531,0.8364920158088784
13,0.5418860898214927,0.9515954916526728,0.5876850393742467,0.25480950719213735,0.7805856158201548,0.8167456559879023,0.6555512333081011
14,0.0,0.18353200098095768,0.8075777177091273,0.8596067664053985,1.0,0.3275842117207362,0.5297167828027033
15,0.9119177257191562,0.999842700080328,1.0,0.44092776350167323,0.29743882673725036,0.8090905242074995,0.7432029233743179
16,1.0,0.7197571041476697,0.3369378444316056,0.9621121832830635,0.29938183029098914,0.3969007854903327,0.6191816246072768
17,0.5871304371526304,1.0,0.7295199525002124,0.6120028340930946,0.503949822256868,0.9898870246199001,0.7370816784371175
18,1.0,1.0,0.9810776052732462,1.0,0.41751987966488385,0.9856730965968635,0.8973784302558322
19,1.0,1.0,0.6489232911247943,0.2257427496363168,0.3160398494908433,0.5358395128759795,0.6210909005213224
20,1.0,0.5641455950876925,0.9407601043059267,0.864713183419425,1.0,1.0,0.8949364804688407
21,1.0,0.580692458944202,0.8925730346677229,0.9147803278172871,0.19865842047108204,0.9710018540559778,0.7596176826593787
22,1.0,0.31433823488146995,0.850413163332517,1.0,0.6100201243863964,0.7412920519404653,0.7526772624234748
23,1.0,1.0,1.0,1.0,0.46446755720361044,0.7929111934583076,0.8762297917769862
24,1.0,0.4737344252712991,0.6030361299384877,0.8636011261157707,1.0,1.0,0.8233952802209262
25,1.0,0.7876398649688848,1.0,1.0,0.9590870725721838,0.7471866687850857,0.9156522677210258
26,1.0,1.0,0.5629185131621518,0.7142245542714554,0.9221847295807973,0.9820364361566682,0.863560705528512
27,0.6985181954455462,1.0,1.0,0.5270335608033241,0.9610187262139612,1.0,0.8644284137438052
28,1.0,1.0,0.6555199193340857,0.39239611979239025,1.0,1.0,0.8413193398544127
29,0.0,0.10352654233742264,1.0,0.5510350315437377,0.8625769550156491,1.0,0.5861897548161349
30,1.0,1.0,0.6473749180675404,0.5240577924845362,1.0,0.6802952110163276,0.8086213202614007
31,0.861528560876212,1.0,1.0,0.7115583498609205,1.0,1.0,0.9288478184561887
32,1.0,0.8202458127660928,0.7161497069936062,0.7630177150479451,0.33482154361631633,1.0,0.77237246307066
33,1.0,0.9563518278492752,0.46808258395815244,0.554315168448935,1.0,1.0,0.8297915967093937
34,0.5316272842964681,0.0,1.0,0.8687685210306675,0.9080791587592234,1.0,0.7180791606810598
35,0.6039951326952485,1.0,0.9501891037600608,0.9038681157301234,0.5772633454271652,0.694095703144039,0.7882352334594395
36,1.0,0.7517558920247699,0.5468726976159378,0.5188526718561056,1.0,0.6380181472185936,0.7425832347859012
37,1.0,0.2735132543839361,1.0,0.3526510292904638,0.6875646431509351,0.9775489936651233,0.7152129867484097
38,1.0,0.47833599756521405,0.8707184560070098,0.41767283531170735,0.5675209073035131,0.9485827598816758,0.7138051593448534
39,1.0,1.0,0.8457849260811542,0.6742618704939407,0.9864759802862423,1.0,0.9177537961435561
40,1.0,0.9273850748502279,0.9810649683173157,0.5015813699205862,0.9421098098919551,1.0,0.8920235371633476
