Num,F_1,F_2,F_3,F_4,F_5,F_6,Average
1,0.213941520836436,0.2139415208364365,0.7647206800852357,0.7492738056577768,0.7458252242498961,0.06725434631700547,0.4591595163304644
2,0.0843490883279499,0.7945176028572141,0.5988947912036886,0.22040711921098177,0.09771144210458871,0.7562310537721842,0.42535184957943456
3,0.8031776184190115,0.7035198226756537,0.7783585401721076,0.8007651862619545,0.15631568206916518,0.8992078011459128,0.690224108457301
4,0.7868132232569648,0.0,0.40008588341720147,0.81128284037392,0.6237801029900981,0.8504213714943284,0.5787305702554189
5,0.42278621348025364,0.8483218461267403,0.7219854065415808,0.6229425637118604,0.4012752930369669,0.6881062657660176,0.6175695981105699
6,0.8465679473505029,0.7660433828244707,0.5601215073330148,0.7852650020072132,0.8097985452032943,0.7742132834023836,0.7570016113534798
7,0.8160369990038735,0.270133370262819,0.5368452694230343,0.9042206941246227,0.38033749954423474,0.4503451237369449,0.559653159349255
8,0.8732467673443662,0.38329314951823285,0.9104550263041244,0.769482212679635,0.7764538485448188,0.600236442094061,0.718861241080873
9,0.8470495166264244,0.8937758565982497,0.7900633638790023,0.8595337778076553,0.48612534683961706,0.7191530558293022,0.7659501529300418
10,0.5725508092339415,0.810574217285437,0.893761426054834,0.8852229771927429,0.7730049176845853,0.7113773490442719,0.7744152827493022
11,0.7039160983526616,1.1705145996459661e-6,0.0456417455658486,0.6097082435091552,0.780861660821026,0.6048995805354602,0.45750474988312523
12,0.8988052135361018,0.8420362404506434,0.9809234370006211,0.769400573046679,0.7822706954821603,0.45331145990739413,0.7877912699039333
13,0.7406756909225778,0.5740638908280008,0.5475863887936775,0.0,0.7745289406448701,0.7486546284733981,0.564251589943754
14,0.0,0.0,0.6773064127332507,0.7631933341893206,0.8495347603396382,0.5696014084844359,0.47660598595777426
15,0.6886701363467467,0.6888604274675656,0.8750480098807422,0.4984151418635295,0.3569252905044383,0.6185383729583626,0.6210762298368974
16,0.7953263244185916,0.6463210795726249,0.3548982181769105,0.7894065142617791,0.2493999252799721,0.37452247830390617,0.5349790900022974
17,0.48019269914381385,0.7097624653330602,0.7441045911318845,0.7591156466132449,0.6162929967753179,0.8222255404396218,0.6886156565728238
18,0.6988003349633322,0.6791699542837473,0.8990269411402694,0.7557157700604727,0.36742283831966455,0.7123196510062018,0.6854092482956147
19,0.7397428398173079,0.7901872550225516,0.7656675022052795,0.26227237172945567,0.42164941738525896,0.6601306419299021,0.6066083380149593
20,0.717667135179825,0.16587334657414685,0.8829798142799036,0.853770027236222,0.9048088479430689,0.4915809143889255,0.669446680933682
21,0.7849728647446161,0.5798997349026271,0.8201058532372263,0.5798997349026264,0.26870521880846093,0.795962721142777,0.6382576879563889
22,0.4265637497906231,0.4265637497906236,0.8174385047641762,0.6636832683816373,0.20498465719159856,0.49412048739964065,0.50555906955305
23,0.6297353798237447,0.8544567430357496,0.908961521702966,0.7878140658101673,0.5931374712939181,0.7244793694469572,0.7497640918522505
24,0.9282221089108633,0.0,0.5480912164493721,0.6254459087293787,0.9245301490812113,0.9415798578238889,0.6613115401657856
25,0.7735222093897897,0.09998457649171563,0.9255919131991002,0.8950130271304082,0.7054525772752525,0.4768624698855825,0.6460711288953082
26,0.32284775542162425,0.9080490720862218,0.8358792705627677,0.6390125228043774,0.5548308023399446,0.7185057587610273,0.6631875303293272
27,0.09992142961047025,0.8598573434480441,0.8405184770150171,0.607044834885456,0.9237551591286054,0.8824507257507791,0.702257994973062
28,0.8094805138026787,0.8544555273396786,0.5916403032968434,0.3207632956113781,0.5350528271702475,0.5543317231719458,0.6109540317321286
29,0.0,0.15414103157450756,0.6345645465331262,0.6733452641684311,0.750734993183839,0.7235584335818314,0.48939071150695596
30,0.6961905094745166,0.7979553485188264,0.7470104858357755,0.38978390373524446,0.7121932957889787,0.7837250647355116,0.6878097680148089
31,0.19794309798875237,0.7363343666235925,0.8068670073332569,0.6394294101111992,0.7033685283540906,0.7002507265035327,0.630698856152404
32,0.7184309819647742,0.02846220056066033,0.028462200560659796,0.9137404241404784,0.0,0.6486334476993776,0.38962154248765835
33,0.7578613245541926,0.7278152874798328,0.21038943060596693,0.4773376799869988,0.8813820548963999,0.8492927277268076,0.650679750875033
34,0.3162954857002595,0.0,0.3691099255194245,0.8909528294810284,0.5402243809550421,0.7611278641639663,0.47961841430328683
