Num,P_1,P_2,P_3,P_4,P_5,P_6,P_7,Average
1,0.5789642843786023,0.4648602828713872,0.4668400125813397,0.4503710370747319,0.5592420064122576,0.6547204942341487,0.899275895927589,0.5820391447828653
2,0.7376533043450487,0.6098172718517615,0.6562771732194662,0.736132135815311,0.9211419012295644,0.7813129957315568,0.5204531192638496,0.7089697002080797
3,0.513699317093787,0.4002802455858165,0.7069975076434869,0.8001788547351966,0.7166562531990244,0.8129880959998075,0.7566638904641536,0.6724948806744676
4,0.7992482831732768,0.5103510939338002,0.46739958309444735,0.569824376582936,0.9034077909327718,0.5155091660799012,0.5388479858333232,0.614941182804351
5,0.8485312348135525,0.5769655620996538,0.6280168499513714,0.8189491834737492,0.8307383772308314,0.5163547629038175,0.5169540822439023,0.6766442932452683
6,0.6380256690132241,0.6952252994746112,0.8392373031189068,0.848241569039675,0.7565735884620229,0.6160150020100815,0.7889976143315858,0.7403308636357295
7,0.5801123571835869,0.6716504193492039,0.7797475977115138,0.8202762065663959,0.6996597462433619,0.8263964535555948,0.7290082149540185,0.7295501422233822
8,0.37841357989981567,0.7226027244449897,0.507166481432813,0.5485152657436392,0.8952509104553601,0.714284656307481,0.6932731336405406,0.6370723931320913
9,0.7230369355647113,0.4001723283660698,0.5207837387613963,0.6548521523108543,0.6049383337200471,0.6707698538540716,0.8170333950034586,0.627369533940087
10,0.5648560658330152,0.6035099293928768,0.5591166632437022,0.8289247716168674,0.551373937780344,0.8702075343540245,0.7053275823044326,0.6690452120750375
11,0.45507919828014815,0.515249916040199,0.6413743760894304,0.8594942701874159,0.9048394238454585,0.7128998215100277,0.7872050054663081,0.6965917159169983
12,0.4351534304007699,0.8411876580232214,0.7621112506256724,0.6281171463315945,0.7987140108374203,0.7066273002136648,0.7002744459277586,0.6960264631943003
13,0.5792508838406438,0.15915342484733985,0.5509713645064922,0.7672784909860415,0.7096807622308376,0.9374136765218237,0.7430453570099151,0.6352562799918705
14,0.5915126009863876,0.7350683048785092,0.47752953573885887,0.40254915195119617,0.5992463486918308,0.8519281809901804,0.5860711614176037,0.6062721835220809
