Num,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,Average
1,0.8760084653354514,0.7715349120500056,0.6890145345534512,0.9102906640356638,0.8566046985414056,0.8924862189245574,0.9604019529401752,0.8877019781773546,0.8555054280697582
2,0.9210765732201825,0.7749960820110195,0.7551450494647474,0.9608560924268521,0.9197785957383251,0.6946741378033864,0.8867075632421527,0.9835327886379844,0.8620958603180813
3,0.805810826719262,0.9803181742839695,0.8924805791312456,0.9860103510349358,0.9781799010519819,0.8437734330081177,0.917925209236852,0.718979419279489,0.8904347367182318
4,0.8731580090588209,0.8456359439945959,0.7309829658118151,0.8471517398000907,0.9206579715404992,0.7136327251936796,0.826437715544846,0.7030180809359844,0.8075843939850414
5,0.8606267819114144,0.7264562326983961,0.8705837706766058,0.9706932064018601,0.8775928692126121,0.24995352438801563,0.896443703733647,0.9849031459828538,0.8046566543756755
6,0.8106764812759181,0.707222222901959,0.9607389928960103,0.8727078985759228,0.9231535632388947,0.9344705778976415,0.9378746068524394,0.8831862215705759,0.8787538206511702
7,0.8909240913106787,0.6390153808847849,0.7879655203846181,0.9360584010956831,0.897779207912282,0.7433528680668355,0.888472154475635,0.9399384988553486,0.8404382653732332
8,0.8607992899294926,0.8693744364385375,0.8488341847119227,0.9163429671896434,0.8279689039324508,0.9150011122393402,0.7443545569650883,0.9599655968315463,0.8678301310297527
9,0.627688425409186,0.7100804432499245,0.813672061866127,0.6499335976245386,0.8702506210665784,0.4597016363867021,0.5495112868838286,0.6925132128512596,0.6716689106672681
10,0.8835322279359509,0.712914418754462,0.66565990208208,0.7520512103198052,0.9115448278680496,0.7066384458202624,0.9173224712352523,0.6992093921604607,0.7811091120220404
11,0.6825541378044213,0.8987161751085897,0.8580035554655148,0.9145928077345791,0.9475960154109154,0.8775029061536934,0.9419108503390415,0.8152319752730744,0.8670135529112287
12,0.7791240525244929,0.9196243048278943,0.7461795696588233,0.8646086575765437,0.834941642785772,0.9643297998340769,0.8245858768564656,0.7645935163179818,0.8372484275477562
13,0.9318950028172073,0.9152552111480747,0.9097752116378518,0.9384959838626328,0.9356885402567516,0.9053130845261405,0.9629482258927423,0.9105648036647963,0.9262420079757746
14,0.7828777648725244,0.8175142205817036,0.7436301967951324,0.8516811793508763,0.9774348288973422,0.7948548347421935,0.9313013155428758,0.7584309764431825,0.8322156646532288
15,0.8319121650578494,0.8403681541748831,0.8746740612510118,0.8723478264471517,0.8548129791376461,0.8809954446957405,0.9505303169707358,0.8495774904092739,0.8694023047680365
16,0.7882073908482382,0.7013502831443316,0.8601520261007286,0.925875220104697,0.8806132298327789,0.6757970729827114,0.9257979263551759,0.7975084059800441,0.8194126944185882
17,0.746588786762509,0.8140849019759632,0.8890098286040993,0.8413438950367529,0.8736121277269072,0.7773376768896371,0.9049062801083072,0.9611144295863273,0.8509997408363128
18,0.7176958920354825,0.7879183983328063,0.8941798178814697,0.8517324433623419,0.73787852639181,0.829912253151812,0.9046374500506098,0.9164193831394809,0.8300467705432266
19,0.5416669060410372,0.8868240991288877,0.6858250200775163,0.9450459558673355,0.9688707265116119,0.7578496147702976,0.700056053099952,0.571895461088702,0.7572542295731675
20,0.8203572614327916,0.8452532394467659,0.851340996078464,0.6765951798422126,0.6906966912026539,0.9169376569719531,0.8100293153320486,0.8424083530633762,0.8067023366712832
21,0.81070666327137,0.8730340340460977,0.8021675938873665,0.8131922972266715,0.9487089435864008,0.7107508638172778,0.8752220177396749,0.7455068473610756,0.8224111576169918
