Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Average
1,1.0,0.2120648040916695,0.8232359965902792,1.0,0.6835901887940753,1.0,0.5338425527320255,1.0,0.7815916927760062
2,0.5947932992283549,1.0,1.0,1.0,0.8039134742377522,1.0,0.7527670216531436,1.0,0.8939342243899063
3,1.0,1.0,0.6884771643832022,0.1856659355183512,0.7642338899268653,0.010977262254388784,0.8794504193254208,0.9775673621912053,0.6882965041999292
4,1.0,0.6256743350251087,0.789938661665939,0.8878303608981163,0.774258287234926,1.0,1.0,0.4674539962494542,0.818144455134193
5,1.0,1.0,0.8989283069911924,0.7269158671957332,0.65925667954346,0.49881022286588517,1.0,0.8954348170568671,0.8349182367066422
6,0.6980449755549035,0.5321801448199034,0.37967698480011386,0.9541096705754745,1.0,1.0,0.9802756589037585,0.40229290565151377,0.7433225425382084
7,0.387588366899302,1.0,1.0,0.9707246004032859,1.0,0.5172418649241675,1.0,0.6827097900574141,0.8197830777855212
8,0.898161066807983,0.36621547879667354,1.0,0.6824974492230137,0.6271142324709746,0.4084669881562418,0.5039104817181458,1.0,0.685795712146629
9,1.0,0.9430825946575858,1.0,0.7671466679989951,0.595138693160921,0.7836975067070996,0.5549643296988093,1.0,0.8305037240279264
10,0.1947912872533352,1.0,1.0,0.9448232901472783,0.974707820837931,0.7548659351880972,1.0,1.0,0.8586485416783302
11,1.0,1.0,0.42508168025368753,0.8876664460645896,1.0,0.772672923354618,1.0,1.0,0.8856776312091119
12,1.0,0.7629058115211969,1.0,0.7006983551797639,1.0,0.946327341152111,1.0,0.7417460667294152,0.8939596968228108
13,1.0,0.7994923968344178,0.9833687288086592,0.23159231223278198,1.0,0.86079535964102,1.0,1.0,0.8594060996896098
14,0.21346314216583065,1.0,1.0,0.4550967932985305,1.0,0.6430733991525204,1.0,1.0,0.7889541668271102
15,1.0,0.63716912078426,0.8211924760034235,1.0,0.823085685460943,0.9541359861429873,1.0,0.24875708348687484,0.8105425439848111
16,1.0,1.0,0.7326544965519085,1.0,0.2915471986893757,1.0,0.5124815438878435,0.9884835175640064,0.8156458445866418
17,0.4276571823709593,0.8853833340703512,1.0,0.8229171356669823,1.0,0.9769367686937294,1.0,0.5442801042708159,0.8321468156341048
18,0.9430596442688639,0.8560691542688481,1.0,0.9866704032647998,0.7430077340020866,0.4930307214248789,0.8341751181683398,0.8328582157916903,0.8361088738986885
19,1.0,1.0,0.6753007069145907,1.0,0.6675879491423721,0.08366238710529217,1.0,0.4148302978539074,0.7301726676270203
20,0.838620214646126,0.8781257245668591,1.0,1.0,0.8727293902298777,1.0,0.9782543178725257,0.744822961229986,0.9140690760681718
21,1.0,0.6097861911951665,1.0,1.0,1.0,0.8494438849907048,1.0,0.9750899087307474,0.9292899981145772
