t_point,alt_1,alt_2,alt_3,alt_4,alt_5
0.7844484660502471,4.0,2.0,1.0,5.0,3.0
0.8168653283145129,4.0,3.0,2.0,5.0,1.0
0.8232343064786071,4.0,3.0,2.0,5.0,1.0
0.8560669033406298,4.0,3.0,2.0,5.0,1.0
0.8680284296671286,4.0,3.0,2.0,5.0,1.0
0.8752237290657424,4.0,3.0,2.0,5.0,1.0
0.9124279067900146,4.0,3.0,2.0,5.0,1.0
0.9157710425870166,4.0,3.0,2.0,5.0,1.0
0.9565826276942149,4.0,3.0,2.0,5.0,1.0
0.9650283380571472,4.0,3.0,2.0,5.0,1.0
0.9653283033293207,4.0,3.0,2.0,5.0,1.0
0.9739298458853411,4.0,2.0,3.0,5.0,1.0
0.9805651977800004,4.0,2.0,3.0,5.0,1.0
1.0202207757758777,4.0,2.0,3.0,5.0,1.0
1.0275042333174411,4.0,2.0,3.0,5.0,1.0
1.037255091107301,4.0,2.0,3.0,5.0,1.0
1.0376016460512512,4.0,2.0,3.0,5.0,1.0
1.0475460186966012,5.0,2.0,3.0,4.0,1.0
1.101292476850832,5.0,2.0,3.0,4.0,1.0
1.1061665466475963,5.0,2.0,3.0,4.0,1.0
1.1662691632601887,5.0,2.0,3.0,4.0,1.0
1.1792953474439951,5.0,2.0,3.0,4.0,1.0
1.2021152419797878,5.0,2.0,3.0,4.0,1.0
1.2734327544732509,5.0,2.0,3.0,4.0,1.0
1.2889787163834352,5.0,2.0,3.0,4.0,1.0
1.378893823796674,5.0,2.0,3.0,4.0,1.0
