Index,Mean,Var,SD
P,0.43665522098089493,0.05716227308809734,0.23908632978089178
Q,0.6789598126971336,0.11880014982961906,0.34467397614212053
R,0.6012074466240455,0.08751581990111644,0.29583072845990227
F,0.5657781178706511,0.06650138014559637,0.25787861513820093
