Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Average
1,1.0,0.7600918985184257,0.7692826953124672,0.35121831122676195,0.740393444492817,0.7589828889525463,0.9828317474232344,0.7661144265608931
2,0.1652785670494522,1.0,1.0,0.9990872092507566,0.3398250074991655,0.5828470409210859,0.844732664479954,0.704538641314345
3,0.5818938779289629,1.0,0.8899982424828421,0.9209072341507868,1.0,1.0,1.0,0.9132570506517989
4,1.0,1.0,1.0,0.9224345606293829,1.0,0.9666760263873344,0.6947214777350228,0.9405474378216772
5,1.0,0.47555013420908954,0.6739766806876821,0.7561517799316836,1.0,0.7195747145991501,0.9111484131258761,0.7909145317933545
6,1.0,0.5040304832116749,0.47842236816889544,1.0,0.9760931381870351,1.0,1.0,0.851220855652515
7,0.9070982867123162,0.5936459893080315,0.9913945684949297,0.5039762813663325,0.6964108566438411,1.0,0.5945636130662971,0.755298513655964
8,1.0,1.0,0.653855383995681,1.0,0.7722753356201372,0.7432734461062346,1.0,0.8813434522460076
9,1.0,0.5965655547114387,1.0,1.0,0.7118061198985078,1.0,0.6618846616914539,0.8528937623287716
10,1.0,0.7693272485429065,0.6673459736954963,0.6285431654758497,0.7917504287501097,0.8794937824081389,1.0,0.8194943712675001
11,1.0,0.7014189138037622,1.0,0.7900822247300795,0.8664609219518395,0.8789339525641138,1.0,0.8909851447213992
12,0.4592598198941561,1.0,1.0,0.991372839100971,1.0,0.9226439770693962,0.8323153246613032,0.8865131372465467
13,1.0,0.6002494521452606,0.16623449224199005,1.0,0.5760151482853767,0.6862095055178237,1.0,0.7183869425986359
14,0.2996736044897669,0.7670092183230733,0.5791808137272231,0.9164787241717968,0.6112162359341929,0.7823290924459566,1.0,0.7079839555845727
15,1.0,1.0,1.0,1.0,0.7772244748281144,0.9753166323543627,0.6810897952601309,0.9190901289203726
16,1.0,0.807288925135044,1.0,0.9435686358395026,1.0,1.0,1.0,0.9644082229963639
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,0.5610906307574004,0.2496351130720509,0.412157397481015,0.9809375298318292,1.0,0.7442822411573253,0.7068718446142316
19,0.43260638411950325,1.0,0.5379319425051642,1.0,0.8567946373806303,1.0,0.847895467285406,0.8107469187558147
20,1.0,0.13437860074845875,1.0,0.9312357235133797,1.0,1.0,1.0,0.8665163320374055
21,1.0,1.0,0.4178352765521425,1.0,0.7178752765521433,0.7441228439771009,1.0,0.8399761995830551
22,1.0,1.0,1.0,1.0,1.0,1.0,0.9716917266855023,0.9959559609550718
23,1.0,1.0,0.5405734237145393,0.8064220760668885,1.0,0.7544949636458315,1.0,0.8716414947753227
24,1.0,0.9495494831289614,0.5062002780930078,0.6766262123870559,0.5764920429932682,1.0,1.0,0.8155525738003276
25,1.0,1.0,1.0,0.7725881787765212,0.7130596149413756,0.7509657576565759,1.0,0.890944793053496
26,0.9449907079653674,0.8483472837029534,0.9379077484732771,1.0,1.0,1.0,0.7999933480005686,0.9330341554488809
27,1.0,0.1853329825170852,0.9383138613684574,0.1853329825170852,1.0,0.1457247759975147,1.0,0.636386371771449
28,1.0,1.0,1.0,1.0,0.17687944764336302,0.19847157012464992,0.8488942580509158,0.7463207536884183
29,0.5684406254624543,0.7305421206827875,0.9243598440648281,1.0,0.946883861691021,0.8272176004498751,0.5166169582108026,0.787723001508824
30,1.0,1.0,1.0,0.8087204434225753,0.7655220424109509,1.0,0.24407137055088418,0.8311876937692014
31,1.0,0.8419245266390243,1.0,1.0,1.0,1.0,0.8353443834100059,0.9538955585784329
32,0.6513599531948113,1.0,0.8318232239623573,0.8797588124018182,0.5024261712117899,0.20434166494300715,0.7721783127572166,0.6916983054958571
33,1.0,1.0,0.16266286309821132,0.8064485466302304,1.0,0.7992640799861402,1.0,0.8240536413877974
34,1.0,1.0,1.0,0.9462565329313744,0.4166631318778945,1.0,1.0,0.9089885235441812
35,1.0,1.0,1.0,0.9380612065477062,0.8502791535746458,1.0,1.0,0.9697629085889075
36,1.0,0.8234432812362926,0.5418361439720271,1.0,0.8165986886936214,0.5352639411668749,0.8209575896489814,0.7911570921025425
37,1.0,1.0,0.8032728837972466,0.6226214894337861,0.8950895562913171,0.6007539525501462,0.3488556673357188,0.752941935629745
38,0.9642087222982998,0.8172782268874523,1.0,0.7721859334705433,0.4580281644113127,1.0,0.6601394063155607,0.8102629219118814
39,0.7994245921123955,1.0,1.0,1.0,1.0,1.0,1.0,0.9713463703017708
40,1.0,0.19835646762163817,1.0,1.0,0.19833646762163817,0.9632526258361201,1.0,0.7657065087256282
41,1.0,0.8079207102493132,1.0,0.9561003863342493,0.9594234498055242,0.9810931003889519,1.0,0.9577910923968627
42,0.8689154684614742,1.0,0.9056847310754853,1.0,1.0,1.0,0.8998116344472034,0.9534874048548804
43,1.0,1.0,1.0,1.0,0.7047787544420832,0.8568536466890865,1.0,0.9373760573044528
44,0.9383191514683092,0.9964983190082818,0.0,0.6946016825795603,0.9762039455248414,0.5398603958259681,0.956406921516879,0.7288414879891201
45,1.0,0.8962480288214033,1.0,0.3275311128504249,0.8312430840290221,1.0,0.75031589657603,0.8293340174681259
46,0.43929419082710697,1.0,0.7821497620517919,0.2632114226194937,0.908734814400943,0.8632629475193632,1.0,0.7509504482026712
47,1.0,1.0,0.6682965624423644,0.9699136540531855,0.8847371404823386,0.2343731314861458,0.9911229391737706,0.8212062039482578
48,1.0,0.8397652338245476,0.42667985067785663,0.8717482403538762,0.9303719158724371,1.0,0.3664490845024044,0.7764306178901602
49,1.0,0.44303625958595605,1.0,0.8431466185542393,1.0,0.8718321241613808,0.6091753210916615,0.8238843319133197
50,1.0,1.0,1.0,0.8852194553571604,0.7527476011168718,1.0,1.0,0.9482810080677189
51,0.4251407512435057,0.5029554144686366,0.7653864777769157,1.0,1.0,1.0,1.0,0.8133546633555797
52,0.7738115135707535,0.25716471333954327,0.5260258621769387,1.0,0.9793495432756292,0.8799316989471867,1.0,0.7737547616157215
53,0.8805172569874061,0.8669228913928497,0.16591237004985188,0.8732277576684746,0.26653677686321336,0.7194710763459269,1.0,0.6817983041868175
54,1.0,0.8160844912279338,0.9564014010314924,0.7138305747549017,0.9826999247706444,0.7757821474502485,1.0,0.892114077033603
55,0.8965748052699374,0.9564873006959274,0.9076222864827491,1.0,1.0,0.43942957677160843,0.513389493887772,0.8162147804439991
56,0.32395570680946284,2.8421052631899535e-5,2.8421052631899538e-5,1.0,2.8421052631899538e-5,0.7998942161563061,0.9897683480516505,0.4448147905964736
57,1.0,1.0,0.6502938806263903,0.19908857517942302,0.6078856759109679,0.6267478382023974,1.0,0.7262879957027397
58,0.6116726007183226,1.0,1.0,1.0,0.941999079204009,0.7093672206564318,0.9314237358808118,0.8849232337799393
59,0.845824248827455,0.6872361988552955,0.4279421095647507,0.8918751628700119,0.4654019222439758,0.6108620936370582,0.15931104996217998,0.5840646837086753
60,1.0,1.0,0.7394342831077325,0.480044125713929,1.0,0.8056457150517423,1.0,0.8607320176962006
