Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],wL[7],wR[7],Sum_of_Width
11,0.09210050631125406,0.21922271373786079,0.08972819254669803,0.15033482753360367,0.10563597116827206,0.19469088622353997,0.14842920178357563,0.1518976556082364,0.09600849490689758,0.17939244760434678,0.0896962238021734,0.15715712147004585,0.07421495089178781,0.13814820654240767,0.020684781261989235,0.09265781860731108,0.5670033546547044
12,0.09318627908786835,0.18210353864161388,0.1663872256037602,0.23718613211876874,0.08594537130192972,0.16649650460908247,0.11781439056423003,0.12215176365035486,0.09052226684649374,0.12952766680055625,0.08064041305596106,0.18104453369298748,0.04571141711420951,0.16938022336919856,0.03073424828930435,0.10116802525368071,0.5781167762724859
13,0.10812010653657578,0.1560442779579272,0.07467706379505354,0.2989077914530135,0.12404397709515912,0.17900611551532886,0.04700252749013162,0.18668103924225515,0.0780221389789636,0.164217669673169,0.05966870517177629,0.1705995409501455,0.05413686014347444,0.14956170112151512,0.04357564102578752,0.10573484384972352,0.821505959526156
14,0.12235300105768127,0.22662163277668218,0.08446132874919961,0.1846349002968642,0.10426863171900093,0.24470600211536253,0.14202636796916526,0.16216977517320705,0.08108488758660352,0.15348240491415155,0.06670054367204775,0.11417554260907642,0.06077106430102802,0.14948135197356807,0.018601236337162055,0.08446132874919961,0.6394658772162232
15,0.20944068680811204,0.2484468935222329,0.0974797289329225,0.13531752959580698,0.1059655440224897,0.1959351490518838,0.06751510127156707,0.11199612484258176,0.10815567401191509,0.20944068680811204,0.048838744913148505,0.14000518107992532,0.046668393693308455,0.14467904474006288,0.01938464799175809,0.11073086871417268,0.5931029567095569
16,0.1378250226121266,0.239811432657846,0.09582151341779693,0.2382410588874374,0.10476508453426725,0.1970945251318012,0.06514875985915229,0.15433569169648453,0.035134832549114176,0.24167164999485444,0.06959866086713237,0.14384828941318514,0.05960988204591994,0.11987691572749642,0.026947015507157016,0.07026966509822836,0.8102984572146669
17,0.08440142271419383,0.23896565460539365,0.23987453448118629,0.2421588690795185,0.06925196548373212,0.1805894783868227,0.1087429042467287,0.15408767274622195,0.06263245612074925,0.17838424565960315,0.028731028119734603,0.1252649122414985,0.04300292281710913,0.1249308409458734,0.03297524671741602,0.08600584563421826,0.6607750385983002
18,0.11575434360852627,0.2152462378964608,0.11801986664143128,0.1246026487640325,0.1076231189482304,0.15695861022012347,0.10708031854061952,0.2360397332828626,0.07316271850149014,0.14932310909780777,0.0553174466191937,0.14870295684509993,0.1142932538536511,0.12832926155181268,0.03481890922669552,0.11472746640196203,0.547860048120324
19,0.12783632829879824,0.21225649417974343,0.07944969982188076,0.25567265659759647,0.13774803272387903,0.17411846055383218,0.11407481941079527,0.15777469408549094,0.10202523693368393,0.15638942601948413,0.06151688769325196,0.13774803272387903,0.037333759094582544,0.11407481941079527,0.039097356504871034,0.09288329594743619,0.6018357590365149
20,0.08501205795054056,0.2416895350514398,0.11903039675290791,0.19152554633515348,0.08268223317051013,0.2169044485337128,0.1208447675257199,0.1403006117527675,0.09576277316757674,0.17895942524546654,0.055728349849241944,0.17190827340097775,0.04957112096261093,0.12596071135528794,0.05422611213342819,0.06989363681265809,0.6742843769749276
21,0.10436696990393804,0.1778740594030411,0.1251957700410345,0.24082556070967087,0.07847989025991045,0.21843471059498928,0.09080996102435013,0.1268276243614014,0.1268276243614014,0.20881541583614974,0.09289628529545034,0.1066782604565857,0.04262575005774108,0.1251957700410345,0.03640578509916489,0.09774056255413666,0.6047839279140184
22,0.12210010073196295,0.2013547064716427,0.0981208414124049,0.25460912701087707,0.060787137722091794,0.22116374148965576,0.11058187074482788,0.16141011712926548,0.12691306795678486,0.1550378112549627,0.07246888629386175,0.13726558155114105,0.04575519385038035,0.08629462871409255,0.020096700684830437,0.12604048698121786,0.6863524012057103
23,0.11035366288223468,0.14864538176978234,0.15874811266901717,0.24660729836956746,0.13087713286246389,0.22246531866470032,0.08920868865958304,0.13990554507930875,0.0787550584630296,0.15874811266901717,0.07687419515761451,0.11297136813563075,0.043212016261910326,0.13087713286246389,0.06254228683409306,0.08920868865958302,0.49885769242010747
24,0.11274564553125632,0.15295933707776949,0.1492218773367582,0.2132692278493495,0.08993732071664146,0.24516095667439725,0.07852145405072353,0.1798746414332829,0.09416457044079173,0.1427856938663425,0.06827821816180252,0.1809909732168021,0.0593831517546671,0.12066006977963678,0.02358867020423102,0.0884581919055474,0.6483181836062561
25,0.1664658264455906,0.272080466569162,0.07282214621571333,0.21153994344783822,0.11374030336895083,0.16646582644559063,0.07122322658375976,0.18572692738690774,0.07042417094139763,0.14564429243142665,0.06294384324972846,0.14244645316751953,0.08016178740953882,0.11797384234539383,0.03912602986557739,0.08121491412590454,0.6461853318394863
26,0.10504103149933425,0.2122097093986962,0.0758926450932475,0.21502756701992398,0.08684089015860585,0.13748926006684786,0.13405380161869881,0.18319693927933164,0.09803881161348729,0.16873619914425156,0.09081476120463858,0.11489689356481378,0.06503833655974345,0.13340730073012,0.04180861245205418,0.13750724059620473,0.6049422196003799
27,0.13308041395271425,0.2026095411875556,0.15480014900546388,0.23030427068509526,0.07620077213507127,0.16116787152082146,0.1013047705937778,0.1710051760343268,0.06286785695699856,0.15480014900546388,0.0687828114264355,0.17210643526944353,0.041887889517125715,0.07934388620104033,0.051232994446726424,0.1385050120619396,0.6196846839313731
28,0.1807103222392182,0.23743158828731883,0.11284187002607707,0.16821699879662474,0.08250924670866747,0.21316173372294547,0.08901223307964914,0.1473291621886248,0.07172021854852872,0.11999869274455144,0.06625205764430428,0.18567269134936706,0.03999956424818381,0.16601576168544135,0.03011562565084882,0.08901223307964914,0.6536777237090453
29,0.07452546406153464,0.18665241337669763,0.11774287368836114,0.16707362125913008,0.13299998168513757,0.2363613147798285,0.09332620668834882,0.1914902882591424,0.11298673951783306,0.18663722416268347,0.08100215079759461,0.08835075033325197,0.040104058753376484,0.13544961757165258,0.04231055554759416,0.11298673951783306,0.6100039385204392
30,0.1432943374489165,0.2084207328710469,0.12357466813962123,0.21571734403303497,0.10320471193150166,0.1779349194755297,0.10036954952391663,0.11641874197964439,0.08695646322972127,0.14945284500620204,0.08603154261389867,0.1420274649649963,0.07064347954143255,0.1744218420511828,0.044483729868882424,0.057047627320471986,0.4828830354042182
31,0.1135226236151681,0.16550538716324156,0.1595236609474155,0.25559686524705766,0.11822791019366395,0.1376419038574943,0.11279622606627353,0.15637613309199316,0.06186343034977913,0.11906385026673581,0.1376419038574943,0.16664029952656628,0.05212537769733106,0.12615760111031582,0.04137634679081039,0.07594048021865937,0.405845040964128
