Num,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,Average
1,1.0,0.9921402082340448,0.45034029988763363,0.786398487151365,0.8399667976308856,1.0,1.0,0.7551555380839429,0.853000166373484
2,1.0,0.5024798751162002,0.4609200261760604,1.0,0.7188334222789557,0.6319450959150588,0.8156374778440987,0.896577496665449,0.7532991742494779
3,0.8456615593547343,1.0,0.4912081539292893,0.9326282715561997,1.0,0.7982344361725164,1.0,1.0,0.8834665526265925
4,0.7230985015411141,0.5512091699862581,0.6322256970706314,0.850016252895066,0.6909517795702959,0.6556891712264088,1.0,0.5819606693592622,0.7106439052061295
5,0.7201010474752366,0.5284496132568638,0.6550722879118895,1.0,1.0,0.0,0.9973972230606583,0.9708145369878719,0.7339793385865649
6,0.8644475518310142,1.0,0.8216756901375122,0.8945460694039247,0.7335339914172256,1.0,1.0,0.7580458959730324,0.8840311498453387
7,0.7962850956481883,0.5337975521165915,0.6071023569259505,0.7663394406971076,0.9697814670780853,0.4215665768760726,0.9139446118265575,1.0,0.7511021376460691
8,0.7842599254094582,0.9185101330114642,0.808540812465726,0.8327334978553265,0.6277299210122808,0.7964715655627095,0.5773834742243075,0.9095450385270554,0.781896796008541
9,1.0,1.0,0.7845421487595036,1.0,0.6380745378371333,1.0,0.4256989517878708,0.5681534322597974,0.8020586338305381
10,1.0,0.29223723266370727,0.79682341454689,0.7491882323270389,0.8290945655117251,1.0,0.7933951032613343,0.7666977659732861,0.7784295392854976
11,1.0,1.0,1.0,0.5059279869260435,0.9501623055522889,0.8907750338363901,0.7655746380976699,0.9529077935688502,0.8831684697476553
12,0.626629565927314,1.0,0.5849511531311786,0.9182916530942968,0.7631425671656349,0.7110608410265933,0.5393053152551307,0.7937933864501451,0.7421468102562866
13,1.0,0.9157392299814564,0.8889512484783652,0.6340648360328124,0.7711680520776734,0.9258456179305251,0.874985952478245,0.8306727384091125,0.8551784594235238
14,1.0,0.8073335427044313,0.7848258720655482,0.8344622263472731,0.9660936489180101,1.0,0.7602043387302788,0.507501553917337,0.8325526478353599
15,1.0,0.5278283099508057,0.8746278441278277,0.8763381076867821,0.6302203473257584,1.0,1.0,1.0,0.8636268261363967
16,0.7641923656455132,0.5480955227604527,1.0,0.9685243336648501,0.873253149203786,0.6059800418031482,0.8416197092347236,0.6913711511463303,0.7866295341823506
17,0.6275985273315354,1.0,0.644689760098943,0.6468163136968847,0.8416034680803938,0.7014325944559953,0.9203340774229545,0.828080435847018,0.7763193971167156
18,0.7661198704020492,1.0,1.0,1.0,1.0,0.6513471506057359,0.6459383879833693,0.839397684597054,0.862850386698526
19,0.7109105798374776,0.8027903385215841,1.0,1.0,0.8559692929909094,1.0,1.0,0.4863177984971387,0.8569985012308887
20,0.6282572611719891,0.6634437474280502,0.7926748024367659,0.7187206588646228,0.48476417098961866,1.0,0.6083822680171608,0.6012911446987319,0.6871917567008675
21,0.8089547790522236,0.6812367229059925,0.7045968221064507,0.6933851930445132,0.9196970945399744,0.844640113785235,0.9024793857424267,1.0,0.8193737638971019
22,1.0,1.0,1.0,0.4322781306208813,0.7989954694109583,0.4655940362096849,0.6404793085911431,1.0,0.7921683681040835
23,1.0,1.0,0.7266010301835033,0.8087874977916208,0.48880176595164226,0.9341641325250537,0.7279387614286895,0.9499650940864494,0.82953228524587
24,0.8031240528787227,0.8207762585623462,0.615776616941867,0.4998722272901427,0.5389681323092519,0.8255210215305485,1.0,0.7155023278067485,0.7274425796649534
25,1.0,0.710289491641731,0.7383349012548416,0.8213049714213274,0.8001577159550757,0.7920341357284159,1.0,0.5574379949384228,0.8024449013674768
26,0.5543501756107067,0.8053286422507706,1.0,0.4041261558850674,1.0,1.0,1.0,1.0,0.8454756217183181
27,0.4748353819589544,0.6893836092697094,0.9675641025822372,0.37896021960955945,0.8192612184297852,1.0,0.7772286674507946,1.0,0.76340414991263
28,0.7442682389678162,1.0,1.0,0.7660207872666482,0.7981385138811287,1.0,0.6138128045160005,1.0,0.8652800430789492
29,0.7865869833820035,0.7458760449758576,0.9523630678279558,0.8112084373038159,1.0,1.0,1.0,0.754850127416809,0.8813605826133052
30,0.8706931554060554,0.7412926850060705,0.9217663397819601,0.6030981754240224,0.6997213779689643,0.6990234244289719,0.6970790493403244,0.9748363425395674,0.7759388187369921
31,0.7406330088487332,1.0,0.7565257862591204,1.0,0.870711419307878,0.46481125664067807,0.5615264854721083,0.7290565225161266,0.7654080598805805
32,0.0,1.0,1.0,1.0,0.485617616651469,0.7967311328928939,0.750346503713758,0.8711466365906864,0.737980236231101
33,1.0,1.0,0.24743406632011686,0.7806233664328814,0.6560944155329129,1.0,0.9434757001107463,0.7952127833847498,0.8028550414726758
34,0.5896040175617953,1.0,0.8236241468118316,1.0,0.7008052495546337,0.7534799595061829,0.4554207749563666,1.0,0.7903667685488512
35,1.0,0.9847217122947696,0.6917548330806921,1.0,0.6860835196777593,1.0,0.9265579132562686,0.8570903194831356,0.8932760372240781
36,0.9137250117741212,1.0,0.44641551656338474,0.8952075539644825,1.0,0.8833261936112576,0.7005862257609622,0.9233841137820238,0.845330576932029
37,0.8721582598031029,0.5489134484224166,1.0,0.7764487619761713,0.5432603516668756,1.0,0.9500178160161131,0.9600465821802793,0.8313556525081199
38,0.6495434581774872,0.48618612587355026,1.0,1.0,1.0,0.7822638179411041,0.6760030396992072,0.8589818896257968,0.8066222914146433
39,0.045647586141527835,1.0,0.6690947411502745,0.6565954304964327,1.0,0.7498118413170723,1.0,1.0,0.7651436998881634
40,0.6871164453991249,0.3473280074886804,0.8000265704674053,0.7731838752080601,0.8163516880579903,1.0,0.9433875691747087,1.0,0.7959242694744961
41,0.913621346103124,0.9627801338389216,0.6853550747430002,1.0,0.5605575579242494,0.8811085315082514,1.0,0.6972799389951831,0.8375878228890913
42,0.7456381217305371,1.0,0.28238670855143494,0.4725466383790778,0.8279441234967737,0.8175198810271803,0.7112831814803348,0.8070024277733182,0.7080401353048321
43,0.7012254782573303,0.8856583369894827,1.0,0.7729524873937288,0.9957657673312758,0.7375343871282222,0.7394364405655054,0.9410456923931348,0.8467023237573349
44,1.0,0.36518312129788827,1.0,0.0,0.9951866381512373,0.5484405614146738,0.600990136086095,0.7099299285358177,0.652466298185714
45,0.6646420307504609,0.7025597938334381,1.0,0.38806789473875913,0.9223728485010525,0.8736058583770725,0.9520587423664648,0.8661403617671607,0.796180941291801
46,0.7040682551372854,0.5563754875313689,1.0,1.0,1.0,1.0,0.8188276131891292,1.0,0.8849089194822229
47,0.7092307691784078,0.6089454209152939,0.6396545348124004,0.7126479239887691,0.7591621571317978,1.0,1.0,1.0,0.8037051007533336
48,1.0,0.5688857028374498,0.8409855766619899,0.5076869820448466,0.647282641215486,0.8760101905304718,1.0,0.8526307783634081,0.7866852339567064
49,0.36886537812418646,1.0,0.6571696401563341,0.9265382765617894,0.9549659848573187,0.7130537282460342,0.6003855841730686,0.8827390410786728,0.7629647041496755
50,0.6757575420991798,0.3776724558954217,1.0,0.7810027841980605,0.7406318887297692,0.7503829131820337,0.9454188513561251,0.6329897037737346,0.7379820174042906
51,1.0,0.6444560440266364,0.5271644477383371,0.9900041884522984,0.7360343214082992,1.0,0.6722105766542422,0.9390102484014646,0.8136099783351598
52,0.8591702640848585,1.0,0.6669417234010794,0.83080462435331,0.6148514728496516,0.7156670121857448,0.5688872639209815,0.7126438399114842,0.7461207750883888
53,0.991727419339767,0.021164534431356873,1.0,0.6715169016675867,0.7839805926142095,0.676503722806984,1.0,0.9039590202892992,0.7561065238936505
54,0.8348196721005249,0.7629055841545499,0.8199467107767816,0.7837698084183394,0.7669215658182836,0.6402451279254359,0.9203277344056134,1.0,0.816117025449941
55,1.0,0.446895048404971,0.18017486814170064,1.0,0.804779008256544,0.6288024025883268,0.879425901169775,0.8669514971966883,0.7258785907197507
56,0.83928391228037,0.5580532274311224,0.44526392338102166,1.0,1.0,0.8929946127626682,0.7313573096832332,0.772441363947377,0.779924293685724
57,0.7253513437784029,1.0,0.918163312298232,0.8356555213248644,0.7833279653042585,0.6684761555134556,0.6122392560559936,0.9117605258522852,0.8068717600159366
58,0.801725926209641,0.54805519190087,0.6879469468338424,0.5295354508277272,0.9102213455523603,0.8582185836739488,0.97170023500538,0.959196854483866,0.7833250668109545
59,0.6352794007221656,0.5080839273414652,0.4527618565401093,0.5354871504637275,1.0,0.6822990310821425,1.0,0.7857798190433858,0.6999613981491245
60,1.0,1.0,0.4300143151817962,0.5844000736645767,1.0,1.0,0.626821801237516,0.5227067689941722,0.7704928698847575
61,0.8807119920234542,0.8020313344314185,1.0,0.43983823046929243,1.0,1.0,0.8355947439822285,0.7587470674484773,0.8396154210443589
62,0.7405964582605813,1.0,0.4083583947436921,1.0,0.8785008394051881,0.7671900320502709,0.9601834818414294,1.0,0.8443536507876452
63,0.6568095350714411,0.6785236333693071,0.8797091028422647,0.7573806044883032,0.6272060424378441,1.0,0.759140080546328,1.0,0.7948461248444361
64,0.3178354962653077,0.8154735847248101,0.6555494812869292,0.6797610498990102,1.0,1.0,0.4029188043930617,0.9203210687107104,0.7239824356599788
65,1.0,1.0,0.807625093494231,0.6224128588238789,0.528089105295326,0.8300968400876777,0.8957452957310936,1.0,0.8354961491790259
66,0.6057518984665461,0.2133034257336293,1.0,0.774356536129998,0.7783754420818606,1.0,0.7513296602368759,0.9800255638947415,0.7628928158179564
67,0.6939130860929555,0.96385823604678,1.0,0.67613126090634,0.4588403011630306,0.6351854927192119,1.0,0.8951651003216229,0.7903866846562425
68,0.6666927738676424,0.17538632285560815,1.0,1.0,0.6703392192792392,0.9678110362662455,0.8824992864850331,1.0,0.7953410798442211
69,1.0,0.37882482481741103,0.5872504489234657,0.82551406878294,0.8495455016621223,0.9638261467556454,0.8738046694256802,0.8932963394326422,0.7965077499749883
70,0.9620047519412758,1.0,0.8860412123400652,0.7445012763941808,0.8630466392213735,1.0,1.0,0.7503127237851446,0.900738325460255
71,0.3543397626754351,0.9705294134283664,0.8410833272669723,0.6637843976257072,0.8902624707953022,0.746917443090708,0.9507889851457298,0.795267980766873,0.7766217225993868
72,0.6112035987338155,0.837068005936883,0.7645891832140638,0.553971138770039,0.742525289096737,1.0,0.7805228213076414,1.0,0.7862350046323976
73,1.0,1.0,0.8565368870729425,0.0,0.38978534702874523,0.62336701375888,0.4442024300976589,0.4379541360422212,0.593980726750056
74,1.0,0.5370657242041713,1.0,0.6163760254429889,0.6239830775383934,1.0,0.9865093198815992,0.8171161924247512,0.822631292436488
75,0.6952727787194791,0.8500619703856066,1.0,0.547183058368946,0.8196064060206847,0.713818339430414,1.0,1.0,0.8282428191156413
76,0.3766133780912976,0.5196433925013897,1.0,0.8943640413581089,1.0,1.0,0.7891632611481416,0.9308638381850699,0.813830988910501
77,0.7565492907754021,0.6229072252921841,0.9956319235213501,0.7329688108172209,0.6865304850276025,0.710078620658747,0.7902852367731376,1.0,0.7868689491082056
78,1.0,0.5025393119599033,1.0,0.837144738569588,0.9627273346501384,0.7985061180368216,0.6274883875907139,1.0,0.8410507363508957
79,0.6552293792328203,1.0,0.6775102413959923,0.6942307065466669,0.810750727532266,0.8480388661334288,1.0,1.0,0.8357199901051467
80,0.9418421428940185,1.0,0.47754608375567664,1.0,1.0,0.8719950314004337,0.717364954829519,1.0,0.876093526609956
81,0.7681421452231351,1.0,0.9832948577445315,0.8399670679515432,1.0,0.9054095962064749,1.0,0.7129350849547061,0.9012185940100488
82,0.7114197120547434,0.4575200698442196,0.9218081134712458,0.8736614198527669,0.48872028375411586,1.0,0.8981853141109225,0.9907368070804835,0.7927564650210623
83,0.582655671153155,1.0,1.0,0.5590098772286878,0.7764870956225253,1.0,0.7349127425430094,0.8143747479329569,0.8084300168100419
84,0.595750846396532,0.9099157909536135,0.5707892753885242,1.0,1.0,0.6892633021442541,0.8366443881314253,1.0,0.8252954503767936
85,0.4812754533691553,1.0,0.4291175392719021,0.8027819957147929,0.6699551828843863,0.6655400646667141,1.0,1.0,0.7560837794883688
86,0.8251257676345538,0.0,0.828404325412895,0.8915770885802654,0.553170082089556,0.8286462868971843,0.7705038053700207,0.6521064360257088,0.6686917240012731
87,0.6784242070217863,0.7769007399053557,0.7091178094728375,0.9324021880555163,1.0,0.7319383426610991,0.3881796677819375,1.0,0.7771203693623165
88,0.9482028613495028,1.0,0.5928747521492528,0.5099988262983325,0.906286991351262,0.6686119848992373,0.4692045261075736,1.0,0.7618974927693951
89,0.34379889165737504,0.5424952273525979,0.9946570267968323,0.9062344084234263,1.0,0.9671568079894867,0.7326450840253985,1.0,0.8108734307806397
90,0.7855982683340894,0.6853818225039704,0.09457605813744742,1.0,0.6738336635860002,1.0,0.8807816478820154,1.0,0.7650214325554403
91,0.39580164718236527,0.9771544680284542,0.7280527181427667,0.8135881767635721,0.8787326295133634,1.0,0.8221237557153692,0.6936037967727889,0.7886321490148349
92,1.0,0.4793330664399902,0.8895510031415192,0.8291784274678601,0.24451873724399675,1.0,1.0,0.5090329441477035,0.7439517723051337
93,0.4055402499248087,1.0,0.7483334567350151,0.9147221825513668,0.713019702305632,0.8534271253704492,0.861362214527766,1.0,0.8120506164268797
94,0.8880422390648414,0.4307588040996674,1.0,0.43941290095361357,0.5925778332574934,1.0,0.8748482954210298,1.0,0.7782050090995807
95,0.7863701995071185,0.8174516057007525,0.7906142710740417,0.899798140292469,0.7703060280828793,1.0,0.6837190430025456,0.9879061650943547,0.8420206815942701
96,0.8376146777333996,1.0,1.0,1.0,0.6734939409146389,0.6714964614946736,0.8900580412459654,0.6652013610112498,0.842233060299991
97,0.7970855000344699,0.7721609799816912,0.7116589366317824,0.9778239848874181,0.8453384220489722,0.7037117882103586,1.0,1.0,0.8509724514743365
98,0.556208456212325,0.32333972494059265,0.728856515367484,0.8083002186196379,1.0,1.0,1.0,0.816334822261098,0.7791299671751422
99,0.6573217590707181,0.5423004133152778,0.5676799846774389,1.0,1.0,0.9864888976767855,0.8360924740416017,0.7855200905287685,0.7969254524138237
100,1.0,0.8818065832961786,0.8144533518753673,1.0,0.6424615523397579,0.7462557611824887,0.6726426925620121,0.8761170236521229,0.829217120613491
101,0.42454141490390035,0.750628282629787,0.7095061319088927,1.0,1.0,1.0,1.0,0.9022527807408608,0.8483660762729301
