Num,Q_1,Q_2,Q_3,Q_4,Q_5,Average
1,1.0,1.0,0.8368854330561465,0.6263833066216001,0.35231636914586456,0.7631170217647223
2,0.9592150785226183,1.0,0.3063463916948106,0.3174503807099757,0.464530638284464,0.6095084978423737
3,1.0,1.0,0.9734778814498846,1.0,0.87347739346326,0.9693910549826288
4,1.0,1.0,1.0,0.5896655189941115,0.6624909226325452,0.8504312883253313
5,0.0,0.120190576179657,0.6838220991877392,0.7950198985399504,0.3166022093316325,0.38312695664779584
6,1.0,1.0,1.0,0.8609509841344776,0.5446013383640527,0.8811104644997061
7,0.07500114209677186,0.23613489010971686,0.5356582614654032,0.9918929872402916,0.6009845160941268,0.48793435940126206
8,1.0,1.0,1.0,0.48170016589356734,0.6433626515623786,0.8250125634911892
9,1.0,1.0,0.21132932931967663,0.9894771883374857,0.40607304400019634,0.7213759123314717
10,1.0,0.8895626238220493,1.0,0.5887504720496595,0.3093803753897066,0.757538694252283
11,0.3053879329555661,1.0,0.6754624434532125,0.3843368755859287,0.3356652085172892,0.5401704921023993
12,0.15736384128305544,1.0,0.5599561529795823,0.7759289309855861,0.7396074407981256,0.6465712732092699
13,0.4995834848991891,0.0,0.10199394514042226,0.4470689716360425,0.4052557936086972,0.2907804390568702
14,1.0,1.0,0.422635063940377,0.8340398267377894,0.45132786239291545,0.7416005506142164
15,0.5127239354522705,0.7962920252662404,0.39314935618271707,1.0,0.4303217257403287,0.6264974085283113
16,1.0,1.0,1.0,0.1296933504932679,0.9132554138083485,0.8085897528603233
17,1.0,1.0,1.0,1.0,0.32496072596958436,0.8649921451939168
18,1.0,0.2796546985833225,1.0,0.43927860402558083,0.5938248652717169,0.662551633576124
19,0.6939010190824334,0.9741079950898944,1.0,1.0,0.7247473922993902,0.8785512812943436
20,1.0,1.0,0.3000496352078824,0.9382542710179413,0.3476040792095984,0.7171815970870844
21,0.0,1.0,1.0,1.0,0.2045624285588488,0.6409124857117698
22,1.0,1.0,1.0,0.6325073128759876,0.9008991884324093,0.9066813002616794
23,1.0,1.0,0.9505434846794993,1.0,0.49561979539825113,0.8892326560155501
24,1.0,0.0,0.4805518628628369,0.5001384777504787,0.15476111177395127,0.4270902904774534
25,1.0,1.0,0.5864899880917795,1.0,0.5740631547896964,0.8321106285762951
26,1.0,0.4481599659986701,1.0,0.9007310700539016,0.16161305035741755,0.7021008172819978
27,1.0,1.0,0.6007922298233914,0.29950208974842407,0.8140619363751377,0.7428712511893907
28,1.0,1.0,0.3819371314370751,0.6658062420258997,0.4927580286746508,0.7081002804275252
29,1.0,1.0,0.9907945173240656,0.6942377427426932,0.5864122230678704,0.8542888966269258
30,0.0,1.0,1.0,0.808290172191211,0.536839702041114,0.669025974846465
31,1.0,1.0,0.7402835445175195,1.0,0.6943533375209429,0.8869273764076926
32,1.0,0.5133063639653064,0.5350907813587819,0.9684745311290148,0.7852277835137759,0.7604198919933759
33,1.0,1.0,0.9453172324282824,0.08397922538591063,0.4216388054879691,0.6901870526604323
34,1.0,0.6845647263163409,1.0,0.6425996941117588,0.5559939240275668,0.7766316688911333
35,1.0,1.0,0.9799672232280884,0.8766907091153666,1.0,0.971331586468691
36,0.0,0.6584725738864342,0.3273700503700533,0.7372087843361406,0.5044210945683534,0.4454945006321963
37,1.0,0.5497997859534082,1.0,0.6920674568433215,0.6890459855587062,0.7861826456710872
38,1.0,1.0,1.0,0.9768209647715976,1.0,0.9953641929543195
39,1.0,0.7527705454102055,1.0,0.6782022154636999,0.38699010390017907,0.7635925729548169
40,0.0,0.28261191551127895,0.24842234177222144,0.3271473834559812,0.22223324105169331,0.21608297635823498
41,1.0,1.0,1.0,1.0,0.7927372629062241,0.9585474525812447
42,0.0,0.8339204022986315,0.0,0.8934120424808945,0.49377754193829015,0.4442219973435632
43,0.0,1.0,0.42486700558667073,0.709442663663403,0.47316321628095376,0.5214945771062055
44,0.8681673203103304,0.42056779385337495,1.0,0.9223220174781698,0.9480761848637365,0.8318266633011223
45,1.0,1.0,0.398922384351352,1.0,0.6945287916670759,0.8186902352036857
46,1.0,1.0,1.0,1.0,0.719383449327062,0.9438766898654125
47,1.0,1.0,1.0,1.0,0.7388358943481071,0.9477671788696215
48,1.0,0.038802684948974216,0.6177570265828777,0.040666061507718676,0.2255006046434021,0.3845452755365945
49,0.784253788087865,0.4371782164231155,0.6707352240937244,1.0,0.8962732187876215,0.7576880894784652
50,1.0,1.0,0.4649464196812064,0.9970652579615068,0.4977187201871972,0.7919460795659822
51,0.661616580156015,0.5611525293584331,1.0,0.710997246103103,0.805610272386032,0.7478753256007167
52,0.7687309887080801,1.0,0.9206507550736539,0.3584155555366691,0.6397988748966328,0.7375192348430072
53,0.5704947777671203,0.5358540408462152,1.0,0.773982323893528,0.37568192375687864,0.6512026132527484
54,1.0,1.0,0.9772531720313956,0.5106648015024073,0.7023333668794827,0.838050268082657
55,1.0,1.0,1.0,0.8615334592617884,0.3759530002975234,0.8474972919118624
56,0.4060525923032604,1.0,0.3015809866093694,0.30378529366705265,1.0,0.6022837745159364
57,0.0,1.0,0.5599541290721712,0.1279675228217505,0.23695012364007847,0.3849743551068
58,1.0,1.0,0.2950410594245034,0.8413838252484734,0.35971185825632834,0.6992273485858611
59,1.0,1.0,1.0,0.7867703486001038,0.43745341595266646,0.8448447529105539
60,0.0,1.0,1.0,0.6948581850303316,0.529917690278065,0.6449551750616793
61,1.0,0.5540080962678818,1.0,0.8646584539340171,0.7593491393070196,0.8356031379017838
62,1.0,0.5416002503236914,0.16416745041723024,0.8254347497682055,0.5861863584348425,0.6234777617887939
63,1.0,1.0,1.0,0.4650029959505961,0.41297146488467523,0.7755948921670542
64,1.0,0.0,1.0,0.6867013747423852,0.9792288940933014,0.7331860537671373
65,0.5885277446472419,1.0,0.5288003663318621,0.5163947633622361,0.6202867305840609,0.6508019209850802
66,1.0,1.0,0.2254877301050251,0.7122975809069216,0.3410171526938391,0.6557604927411572
67,0.9558611802634713,1.0,1.0,0.5964030542692208,0.40872012572876143,0.7921968720522907
68,0.46606451461357334,1.0,0.8567294760601607,1.0,0.6424638648351463,0.793051571101776
69,0.9128683344141871,1.0,0.9383086843503824,0.336862033580417,0.12649184229874305,0.6629061789287458
70,0.8640228189350063,0.21630265993462172,0.7502029513784727,0.8364308302266024,0.36962664609446977,0.6073171813138346
71,1.0,0.9014132307620921,1.0,0.7854596786525466,0.811396762597083,0.8996539344023443
72,0.7049369221204527,0.5897402964475139,0.45835536876361216,0.3843375819663833,0.17917633994097315,0.46330930184778707
73,1.0,0.9267671393529282,0.8538613237696315,0.4297387778174532,0.3962504611125225,0.7213235404105072
74,0.6485703409329857,0.28101061552423817,0.6933020913546086,0.46283241476675363,0.764425967871119,0.570028286089941
75,1.0,0.9681384101501688,1.0,0.3345056335400924,0.9674948187333924,0.8540277724847307
76,1.0,1.0,1.0,1.0,0.387661101252365,0.8775322202504731
77,0.0,0.0,0.2444800548355855,0.2191546168641837,0.404290594906164,0.17358505332118662
78,0.9152414326844346,1.0,1.0,0.3458574744146792,0.6004482252160341,0.7723094264630296
79,1.0,0.8946665480195499,1.0,0.42322218267318323,0.7272512335715228,0.8090279928528512
80,1.0,1.0,1.0,0.889590684619893,0.9225884588117185,0.9624358286863222
81,1.0,1.0,1.0,0.8751564850250281,0.4416477077281776,0.8633608385506412
82,1.0,0.5401344396840383,0.0,0.2930068444628016,0.13375206138000392,0.39337866910536873
83,1.0,1.0,0.7228706110496469,1.0,0.29347280757784305,0.803268683725498
