Num,P_1,P_2,P_3,P_4,P_5,Average
1,0.3170349190049225,0.42272215990588574,0.5242041242605452,0.6263833066216001,0.31612096945517915,0.4412930958496265
2,0.3579285521656066,0.40814905521409406,0.2879131317497226,0.3174503807099757,0.464530638284464,0.3671943516247726
3,0.22519585919791385,0.5237657672808246,0.6668184077670629,0.5745227258861936,0.7228406538996555,0.54262868280633
4,0.38582371109990254,0.3805093048510026,0.6657254182134884,0.5167151466956055,0.6624909226325452,0.5222529006985088
5,0.0,0.06123351500600547,0.6838220991877392,0.6402699944406897,0.3166022093316325,0.34038556359321337
6,0.1897937495269361,0.24623233862746566,0.3441716116408855,0.4919771449802678,0.5446013383640527,0.3633552366279215
7,0.06049233511259373,0.23613489010971686,0.46557596860243067,0.9784569524408675,0.6009845160941268,0.4683289324719471
8,0.1703779059553459,0.43343859104126714,0.2836299695375333,0.3436919613585578,0.6433626515623786,0.3749002158910166
9,0.34900336654783654,0.3929466217710344,0.21132932931967663,0.8122887300707888,0.40607304400019634,0.4343282183419066
10,0.43291084918061357,0.8561136409874712,0.8114710335311968,0.5887504720496595,0.3093803753897066,0.5997252742277295
11,0.19425256911449182,0.5999562649157179,0.6754624434532125,0.3843368755859287,0.30017880039466305,0.43083739069280275
12,0.08922388169556193,0.45493337826356967,0.37595904987517886,0.7759289309855861,0.677896119595104,0.47478827208300006
13,0.42351864890741764,0.0,0.07110124781726644,0.4470689716360425,0.4052557936086972,0.26938893239388473
14,0.5219441009089089,0.494231088804403,0.24473443897626748,0.6207863642943073,0.45132786239291545,0.4666047710753604
15,0.34454303408655623,0.6056652876181863,0.325628913048818,0.7322079849761185,0.41161562415339015,0.4839321687766138
16,0.25968859143075407,0.4299553944967881,0.49321649077593077,0.10114941847500723,0.6602413999640312,0.38885025902850223
17,0.3573284553521923,0.28731772348714213,0.3594229270477524,0.5392568519963737,0.32496072596958436,0.373657336770609
18,0.528658947607114,0.20652501128574208,0.6436493213931717,0.43927860402558083,0.4926451784269859,0.4621514125477189
19,0.20203490822753567,0.3873150656348706,0.3037055874190321,0.7587791038100696,0.6096021122064129,0.4522873554595842
20,0.26456885019217924,0.3586925523380648,0.3000496352078824,0.8698559087350858,0.3476040792095984,0.4281542051365621
21,0.0,0.2938914567147953,0.42835878061791244,0.5782643920625278,0.2045624285588488,0.3010154115908169
22,0.4734768179670973,0.4996361315695302,0.5250578268937198,0.6118736355226714,0.8401484980223307,0.5900385819950699
23,0.25628980135639035,0.4124253627558108,0.5856143200006595,0.6557868448243633,0.49561979539825113,0.48114722486709505
24,0.553578369675249,0.0,0.4805518628628369,0.39546527027794687,0.15476111177395127,0.3168713229179968
