Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Average
1,1.0,0.0,0.21437821621215009,1.0,1.0,0.804008240820292,0.8721328229778869,0.864872775199833,0.7194240069012703
2,1.0,1.0,1.0,0.6644907029239736,1.0,0.6673327049710156,0.7563925001451348,0.9215981789473645,0.8762267608734362
3,1.0,0.3454558850104989,1.0,0.9524201054273119,1.0,0.786128993604912,0.1806898248583428,0.6596511757632195,0.7405432480830356
4,1.0,0.9426950973800039,1.0,0.9540231740073063,0.9693995146802822,0.7156454771019835,1.0,0.7265222142353698,0.9135356846756182
5,1.0,1.0,0.8582242706216098,1.0,1.0,0.8601751779253459,0.8776482604192881,0.7636244354210014,0.9199590180484057
6,1.0,0.8400361791938062,1.0,0.40626662420508186,0.8136064381780322,1.0,1.0,0.7687100365757458,0.8535774097690833
7,1.0,1.0,1.0,1.0,1.0,0.763749031364644,0.3144002706929773,0.9272593625877323,0.8756760830806692
8,0.4569008955581373,0.46819801707971215,0.99275167804124,1.0,0.9388678774064709,1.0,1.0,0.5617741281084457,0.8023115745242507
9,1.0,0.804378987042053,1.0,1.0,0.7665177121565566,0.6966111649436693,0.6683724349499983,1.0,0.8669850373865347
10,1.0,0.3130959298223443,0.8207840110696163,1.0,0.9564022088556928,0.41785039640945565,0.8258307619323814,0.5496044848415272,0.7354459741163772
11,1.0,0.7291679006987233,1.0,1.0,1.0,1.0,0.6392676090545509,0.7495751865731204,0.8897513370407993
12,0.7217955397454883,0.6067122728192234,1.0,1.0,1.0,0.4474371380982013,1.0,0.2778015800895003,0.7567183163440516
13,0.7379201458784665,1.0,0.6788409388717159,0.9134114662985098,1.0,0.581968279467199,0.20224054545241685,0.6119700045944148,0.7157939225703405
14,0.4247832034585934,1.0,1.0,0.3085610746027126,1.0,0.9128180682539032,0.8898867301586789,0.6078664160074903,0.7679894365601724
15,0.2727782514442131,1.0,1.0,0.8110773612111911,1.0,0.07592351686692951,0.9142131788979766,0.7641191489447977,0.7297639321706385
16,1.0,0.7122039289135992,1.0,1.0,1.0,0.47033824437226934,0.2918722894397293,0.8769600104464972,0.7939218091465119
17,3.3333333333366674e-5,0.8186108488734035,1.0,1.0,0.9855882055798322,1.0,1.0,0.6725966150269521,0.8096036253516902
18,1.0,0.9015981126462896,0.5148406869687762,0.6041877140592251,0.8853807586182052,0.76706310632873,1.0,0.9267919297618576,0.8249827885478854
19,1.0,0.9613837254947099,1.0,0.7517680260549359,1.0,1.0,1.0,1.0,0.9641439689437057
20,0.34963493017794817,1.0,1.0,1.0,1.0,0.7347872270372328,0.9024613513603443,0.9885654465990927,0.8719311193968271
21,0.9649180522571151,1.0,1.0,1.0,1.0,1.0,0.7891538777718676,0.7483259457244901,0.9377997344691841
22,0.14070309926120517,0.6060496375963549,1.0,1.0,0.7367906416705563,0.3963136620222038,1.0,0.31834990638491156,0.6497758683669039
23,0.8768773896798047,1.0,1.0,0.40446721672277036,1.0,1.0,0.8562521210559512,0.8644616310105719,0.8752572948086373
24,1.0,0.42080575687983096,1.0,0.7796629742231943,0.9180252252059395,1.0,0.5723601037524171,0.756772166588781,0.8059532783312703
25,0.6902106510622221,1.0,0.0,0.39472589164357874,1.0,0.9729044783071641,0.819873532743738,0.6375622143723336,0.6894095960161297
26,1.0,1.0,0.13123164870267465,0.9711573412870531,0.6975483765872598,0.9594093354864179,1.0,0.7067743434289794,0.8082651306865481
27,1.0,1.0,1.0,0.6965956275244239,1.0,0.814039889730038,0.4549409342964774,0.8215831564402678,0.8483949509989008
28,1.0,0.8542261175406282,0.5265549266876978,1.0,1.0,0.766855964132871,0.4011567651190371,0.8919173190344238,0.8050888865643322
29,1.0,0.8195804453588293,1.0,1.0,1.0,0.7688271715869884,0.9649329334923997,1.0,0.9441675688047771
30,0.0,1.0,0.30309111367403613,0.5883644905761273,1.0,1.0,0.6582543424313508,0.48292265748599333,0.6290790755209384
31,0.2941653211956478,1.0,1.0,0.07397499212268135,0.8223180758833637,0.9995047669331427,0.6911716820427954,0.8523061024901301,0.71668011758347
32,1.0,0.6621194600445415,1.0,1.0,0.9566210201407284,0.8790993010807672,0.8358843696932339,1.0,0.916715518869909
33,1.0,1.0,0.885320766740076,1.0,1.0,0.4997003843847647,0.5942284362821483,0.9517391931346343,0.8663735975677029
34,1.0,0.44507656203411194,1.0,0.853995553660123,1.0,1.0,1.0,0.49455820937391143,0.8492037906335184
35,0.9741933047582895,1.0,1.0,1.0,0.90923415164396,0.9347966975289439,0.5829235464078001,0.6534448120687398,0.8818240640509667
36,0.5972124267391401,0.5004898631756155,1.0,1.0,0.709178561417704,1.0,0.4991723090053077,0.9259878326224499,0.7790051241200272
37,1.0,0.7511149358469553,0.8798641597076119,0.5206936436155984,0.8046697851485332,0.9224993903762341,0.45582896920843863,0.604337173982029,0.742376007235675
