Num,F_1,F_2,F_3,F_4,F_5,F_6,Average
1,0.2917388653980767,0.4075792860979145,0.5294191683989197,0.7128283354375615,0.8834334083261252,0.8484271415657045,0.612237700870717
2,0.4180691342996691,0.4115678133647867,0.6245553129752873,0.7598188134404605,0.5158311658965113,0.759116325366152,0.5814930942238111
3,0.3275683030882903,0.3991758634858846,0.5373681282429182,0.6023561743409234,0.6198080083686207,0.8409747876005346,0.5545418775211953
4,0.26070360362558553,0.41578122586694377,0.4435756723303757,0.6411749629120779,0.7171651926880115,0.8065784121634865,0.5474965115977468
5,0.26513877970410543,0.46473360980126055,0.5671483742428217,0.5633096405353017,0.6617886885324865,0.7462834348713878,0.5447337546145606
6,0.3491200627719784,0.4282659017983912,0.4256532015017886,0.559121583920212,0.7825192738622115,0.8749600895577697,0.5699400189020586
7,0.3517443167913517,0.4365036892019977,0.5992044476102076,0.6503626348102235,0.7446288545429357,0.8304744218686921,0.6021530608042347
8,0.36527393222280746,0.4194356892459257,0.6228087148263263,0.7493721066146265,0.902684473960422,0.802763857367023,0.6437231290395218
9,0.34557406997419493,0.4493488914610882,0.5250356216856419,0.6742530051547443,0.6888591859550404,0.9246158351779855,0.6012811015681159
10,0.3849537937241107,0.5328980439930345,0.5990456567521372,0.6476200034651488,0.7525453358881571,0.914021626306741,0.6385140766882216
11,0.358567469614682,0.5508285971134871,0.5840107282766936,0.8074413247150947,0.8363532464756783,0.857114937355167,0.6657193839251337
12,0.3915776855530049,0.4330596273440184,0.6102270457988203,0.6546519176424694,0.7415040567659611,0.6831259361816828,0.5856910448809928
13,0.33189298011153245,0.5463368153521052,0.6502667735386902,0.6315838991311122,0.8632019381311151,0.8623334027644547,0.6476026348381684
14,0.32040983799820427,0.4131162086652786,0.6404385251787733,0.6647238902244619,0.8764623860044137,0.7887599830339312,0.6173184718508439
15,0.40356510286803693,0.5279215103674569,0.6474882277595775,0.6230405166781503,0.7250904055597144,0.8247626760060314,0.625311406539828
16,0.47420600784460454,0.635919768128488,0.7166509482517914,0.8803265657466498,0.9415039139584301,0.9466875250093536,0.7658824548232195
17,0.3493055389485571,0.5737669924521422,0.7099232600806527,0.7333954324962775,0.7833270297269916,0.9341807589592055,0.6806498354439711
18,0.3153926168422806,0.41201751373838563,0.5441081168614079,0.5860330539790695,0.5840943114261642,0.8211585607826704,0.5438006956049963
