Num,Q_1,Q_2,Q_3,Q_4,Average
1,6.66665611104289e-5,2.857138333304096e-5,2.559519756893471e-5,5.9722127660847654e-5,4.513881741831306e-5
2,1.0,0.9443779598806208,1.0,1.0,0.9860944899701551
3,0.0,0.0,2.7142816428587278e-5,0.0,6.7857041071468195e-6
4,0.1640705213568905,1.0,0.8373210397926746,1.0,0.7503478902873912
5,0.2222516953269203,1.0,1.0,1.0,0.8055629238317301
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,0.7358327865589617,0.9339581966397404
8,1.0,1.0,1.0,1.0,1.0
9,0.4138117706857949,1.0,1.0,1.0,0.8534529426714488
10,1.0,1.0,1.0,1.0,1.0
11,1.0,0.6611052779421747,0.7242346743787264,1.0,0.8463349880802252
12,0.6351835590478694,0.4586863774150265,0.7308401006529559,1.0,0.706177509278963
13,0.0,0.6041204151671472,0.2589609944073332,0.8193933625880381,0.4206186930406296
14,0.7118216220543835,1.0,0.5474188771358207,1.0,0.8148101247975511
15,0.2222516953269203,1.0,1.0,1.0,0.8055629238317301
16,1.0,0.8809395716899041,1.0,1.0,0.970234892922476
17,1.0,0.6611052779421747,0.7242346743787264,1.0,0.8463349880802252
18,1.0,0.7736494411984892,1.0,1.0,0.9434123602996223
19,0.6852224165868855,1.0,1.0,1.0,0.9213056041467214
20,1.0,0.6611052779421747,0.7242346743787264,1.0,0.8463349880802252
21,1.0,1.0,1.0,0.9695584616129123,0.9923896154032281
22,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0
25,0.0,0.6041204151671472,0.2589609944073332,0.8193933625880381,0.4206186930406296
26,0.7118216220543835,0.7619619373732949,1.0,1.0,0.8684458898569196
27,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0
29,6.66665611104289e-5,2.857138333304096e-5,2.559519756893471e-5,5.9722127660847654e-5,4.513881741831306e-5
30,1.0,0.7808837973010956,1.0,1.0,0.9452209493252739
31,0.0,2.8571377549572018e-5,2.8571377549572018e-5,5.9523703231182765e-5,2.91666145825817e-5
32,0.0,1.0,0.7154795063347044,1.0,0.678869876583676
33,1.0,1.0,1.0,1.0,1.0
34,0.2222516953269203,0.7321547835665317,0.5833279076482455,1.0,0.6344335966354244
35,1.0,1.0,1.0,1.0,1.0
36,1.0,0.9495301080947842,1.0,0.8942231425921825,0.9609383126717417
37,1.0,1.0,1.0,1.0,1.0
38,0.4494174968030655,1.0,1.0,1.0,0.8623543742007664
39,0.2222516953269203,1.0,1.0,1.0,0.8055629238317301
40,1.0,1.0,0.6092089877435156,1.0,0.9023022469358789
41,6.66665611104289e-5,2.857138333304096e-5,2.559519756893471e-5,5.9722127660847654e-5,4.513881741831306e-5
42,1.0,0.7736494411984892,1.0,1.0,0.9434123602996223
43,1.0,1.0,0.6092089877435156,1.0,0.9023022469358789
44,0.5949366661399068,0.42733353727107765,0.6557528500068364,1.0,0.6695057633544552
45,1.0,1.0,1.0,1.0,1.0
46,1.0,0.9350667766047941,1.0,1.0,0.9837666941511986
47,0.4898059681880044,1.0,0.9243038395520892,1.0,0.8535274519350234
48,1.0,0.5833340360542603,1.0,1.0,0.8958335090135651
49,1.0,1.0,1.0,1.0,1.0
50,0.2222516953269203,1.0,1.0,1.0,0.8055629238317301
51,6.66665611104289e-5,2.857138333304096e-5,2.559519756893471e-5,5.9722127660847654e-5,4.513881741831306e-5
52,1.0,1.0,1.0,1.0,1.0
