Num,P_1,P_2,P_3,P_4,P_5,P_6,Average
1,0.34382725481577364,0.4979728981147183,0.6543411293363182,0.5353363573116645,0.4949727029606479,0.7878777032421349,0.5523880076302095
2,0.24916561555433006,0.6097343586567555,0.48313722457333735,0.3260906238832619,0.43974727058937546,0.33663521594228923,0.40741838486655824
3,0.6545347739326559,0.5880619135850234,0.8730581902850592,0.7574074490239444,0.11811878300310948,0.2796978517575405,0.5451464935978888
4,0.8454627606241691,0.23040827837569666,0.3843274870717904,0.9589520435445792,0.6577883389057976,0.7185214427004205,0.6325767252037422
5,0.3342778077859437,0.5054201968369675,0.45550154850036945,0.7602963207935216,0.6101871585551262,0.4786611047122297,0.5240573561973597
6,0.601645118904081,0.875151541642317,0.5241961783522836,0.6294736402645935,0.6481799431625932,0.3414275813624109,0.60334566728138
7,0.7095132672978325,0.8321926807779042,0.4347409763133081,0.5434262203916351,0.827428891115916,0.4988061032030894,0.6410180231832808
8,0.8118198991041864,0.5707752798450811,0.8495153373400259,0.7905490753080294,0.5550048760757429,0.8561815230222732,0.7389743317825564
9,0.729666236305221,0.6143596464402306,0.8072536557561787,0.6095535606588264,0.40431186846955985,0.434240996921835,0.5998976607586419
10,0.5803594741122974,0.487552577800016,0.7601045008943972,0.6707599114768975,0.8348622841686406,0.28252228452220934,0.602693505495743
11,0.3166985543248398,0.3851093713472004,0.05088391092463096,0.5913270816796025,0.2685144227254573,0.8164736956187367,0.40483450610341126
12,0.7362167053306368,0.8507204459180459,0.5314102217754122,0.7598341142894875,0.5698755857171154,0.0003514295635713585,0.5747347504323782
13,0.4776490846374485,0.792996243043894,0.4501087253160283,0.038330862698918874,0.5588856297660567,0.5689323817772819,0.48115048787327136
14,0.31179308283503887,0.4614967662042191,0.743580135942585,0.16967648096579,0.5635274455364181,0.3277448897628875,0.4296364668744898
15,0.7842780321819384,0.5921360251601437,0.5049841171997242,0.40292600026407943,0.1798502689748415,0.3797120585780255,0.47398108372645886
16,0.7313224603668198,0.46393010355193887,0.2668542595707876,0.6849577633158066,0.07659466252326627,0.3005320614747839,0.4206985518005672
17,0.4719458936896713,0.8974151516234723,0.6425030353503566,0.6591997092137449,0.3653079432126687,0.6302530764563721,0.6111041349243809
18,0.555866818275079,0.8886404874635082,0.7153880990972672,0.4195149161526254,0.3499307812855801,0.4342298764913828,0.5605951631275737
19,0.6089972830487176,0.5402376972514717,0.6900447028852387,0.40151769843697355,0.7075794031644299,0.9356513248313711,0.6473380182697005
20,0.6154327006257004,0.46827697752065955,0.7264956892785257,0.7341786210308903,0.5616685287973157,0.654612644898058,0.6267775270251916
21,0.8061716730776475,0.5960260923327666,0.8047731422622514,0.6580817808900739,0.5566139539384808,0.43852949727322416,0.6433660232957408
22,0.6858974308987897,0.5501234772985383,0.6529685532117485,0.49963773056278854,0.568699098228035,0.6896697724800301,0.6078326771133217
23,0.38138686857591225,0.5826817427614175,0.8249722779325181,0.5660288801684326,0.675882886361223,0.6674270200078466,0.6163966126345584
24,0.7586981762159615,0.3842641035883742,0.3967368384853866,0.48421567370733487,0.6725528808636765,0.5566610399103963,0.5421881187951884
25,0.7851501635964906,0.39690077710444727,0.7581343388103381,0.5853455242369524,0.39690077710444543,0.379805498968508,0.5503728466368636
26,0.6450228643478969,0.6878197154588371,0.7436018551038398,0.7594782929489141,0.5190032655736266,0.4118558184843803,0.6277969686529158
27,0.2663760493745718,0.8942909932962539,0.5428595408220003,0.23307904320275033,0.4748724441222534,0.342912840752207,0.45906515192833947
28,0.8616489389204566,0.20802223884861226,0.5920187452939242,0.3120333582729184,0.616096248371145,0.3240113380615094,0.4856384779614276
29,0.016677309476265674,0.47256820417314044,0.7254269960486429,0.4444926890747572,0.9488794210633691,0.5160343697738394,0.5206798316016691
30,0.6318502458565892,0.8074869993494644,0.5993249744550434,0.40785516108934433,0.5356458463879974,0.4479316646020546,0.5716824819567489
31,0.5317532890994402,0.5912763320328861,0.5255064853868209,0.8809994161228644,0.501889361112066,0.599575442588074,0.6051667210570252
32,0.7313609390987272,0.9100395020887168,0.7561625634903287,0.7648924331669794,0.38500775451793073,0.3587079185372941,0.6510285184833294
33,0.7561401541558644,0.6592402383693033,0.23895017388672957,0.40057741754908804,0.5688642161800039,0.5433528130110478,0.5278541688586728
34,0.6309748756319461,0.05472776286874598,0.21865851597748945,0.5257079766915381,0.53678068659965,0.4968155593667098,0.4106108961893465
35,0.5384264404619431,0.7928961878721671,0.6521865277489408,0.7460068069172457,0.46865119885445194,0.4770238745990809,0.6125318394089717
36,0.3683160018564679,0.5357915153556262,0.5948233389161552,0.4000799597392098,0.48744367165933644,0.7023003055463456,0.5147924655121902
37,0.6562987070582161,0.2584249431041084,0.7478097427148801,0.7242502309045376,0.847868629783901,0.3876374146561604,0.603714944703634
38,0.5949873770407234,0.5052285789434295,0.7319192896662331,0.607488260598761,0.7016260225321701,0.5453066773081237,0.6144260343482401
39,0.8788811872040622,0.9913683022769679,0.6715057188288923,0.5749915771590354,0.6475021866350942,0.5393527596496694,0.7172669552922869
40,0.8977668929679571,0.5803753979348897,0.5138291760752486,0.6965957498579491,0.7346723647558837,0.4469194157697267,0.6450264995602758
41,0.2804922070361635,0.428995129136854,0.5389066501482261,0.8761364825872128,0.5680870903012711,0.5578773088979538,0.5417491446846135
42,0.8164703909085768,0.29302792371544073,0.20156035295634617,0.724043194228477,0.31987821148316997,0.3449078337485248,0.44998131784008916
43,0.8990477831718661,0.5729525916286989,0.6236322840480742,0.5613053602790449,0.260592695272219,0.17724512430873104,0.5157959731181057
44,0.24484798610950426,0.5314475496461589,0.7847335484076253,0.849744457948696,0.5220043984184258,0.6794815025098397,0.6020432405067083
45,0.761773631558698,0.8462279626530097,0.6212112384036299,0.43953944232224634,0.34261740602295154,0.5220718885834773,0.5889069282573355
46,0.7258518863831289,0.6182160643845063,0.8881451128676514,0.9681738671717819,0.29954696787082236,0.41059499570250657,0.6517548157300662
47,0.6649107699100724,0.6058517736193128,0.6275498413896582,0.5481762708048358,0.3925233875416658,0.6539826793257356,0.5821657870985467
