Num,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Average
1,0.6390453217308224,0.7676924624589774,1.0,0.44247499342965046,1.0,0.49878466881645667,0.9114440670333045,0.7513487876384588
2,1.0,0.7959477513179909,0.831832450028317,0.7741832370810651,1.0,0.7515165631667086,1.0,0.8790685716562974
3,0.5286409306318107,0.3399634122929454,0.8594562161034932,0.8409075737449017,0.9958396830690877,1.0,0.8942985057180783,0.7798723316514737
4,1.0,0.5542364829231541,1.0,0.9312323788827589,1.0,1.0,0.9859658623411022,0.924490674878145
5,0.9633304621982773,0.6544496641720186,1.0,0.9771779133016412,1.0,0.6750758517301864,0.971072725861673,0.8915866596091139
6,0.7846464801449267,0.7845205844117092,0.9874370600415077,1.0,0.9509041951256719,0.9600652695186035,1.0,0.9239390841774883
7,0.7582101367966454,0.8510582481913037,1.0,0.9910840253589756,1.0,0.7081486441132094,1.0,0.9012144363514478
8,0.32404220844924336,0.7725568212665473,0.542021977991596,1.0,0.8964714611394874,0.8735206163745542,1.0,0.7726590121744897
9,1.0,0.7057464203231945,0.6013453242196446,0.6003915774463784,0.8760184011181308,1.0,1.0,0.8262145318724784
10,0.6155054729314741,0.6040068330336608,1.0,0.9986294093931025,0.6819933995924093,1.0,1.0,0.8428764449929496
11,0.39597549814591565,0.5876711002830196,0.6498415342137566,0.9115982218814026,1.0,1.0,1.0,0.7921551935034421
12,0.41208813284944046,0.8822704183738753,1.0,1.0,1.0,1.0,1.0,0.899194078746188
13,0.8152678569365722,0.5894541793511461,0.572944892358997,1.0,0.9409638448941187,1.0,0.9752763784921179,0.8419867360047073
14,1.0,1.0,0.5808536794721626,0.49979219429866995,0.5039656631240484,1.0,1.0,0.7978016481278402
15,1.0,0.5246232565898259,0.7619780226864832,1.0,0.9824426236564174,0.960079520432194,1.0,0.8898747747664171
16,1.0,0.870989165414756,0.7435791439321684,0.769427247182962,1.0,1.0,1.0,0.9119993652185551
17,1.0,0.6065841177152487,0.6491500422250912,0.8567673085905515,0.8549389299042828,1.0,1.0,0.8524914854907392
18,0.6833560332819506,0.6272697410054249,0.9270385853056359,0.9073385300205354,0.8487323460105611,1.0,1.0,0.856247890803444
19,0.841206829941316,0.8799140904827005,0.7181754036506142,1.0,0.987440222850283,1.0,1.0,0.9181052209892735
20,1.0,1.0,1.0,0.6590305271043495,0.8950453439447154,0.9118452385558005,1.0,0.923703015657838
21,0.5997221703811757,0.6576618151624481,1.0,0.44333345215194053,1.0,1.0,0.8057181700321753,0.78663365824682
22,0.6258384291913299,0.8628292971012353,0.4094901202283321,1.0,1.0,1.0,1.0,0.8425939780744139
23,1.0,0.6505393773498356,0.715049874529743,0.890552126703663,1.0,0.7321999273729558,1.0,0.8554773294223139
24,0.8888117335057644,0.7152229226720604,0.7436452170099911,0.8520966289465706,0.9614560430310637,1.0,0.71222629422906,0.8390655484849301
25,0.637281715892138,0.0,0.8720686578864519,1.0,1.0,0.8701480206704049,1.0,0.7684997706355706
26,0.693305150990468,0.6987041765469936,0.5235788725414309,1.0,0.8631432666691887,1.0,1.0,0.8255330666782973
27,0.4044155021331311,0.6654732741847552,0.8660119193034301,0.7527465812708266,1.0,1.0,0.947180881605954,0.8051183083568709
28,0.6563195446624048,0.7960542636643003,0.9346925784565434,0.9488446914280513,1.0,0.9564154494840686,1.0,0.8989037896707669
29,0.806870753821937,0.913276341972745,0.6783177535698189,1.0,1.0,0.8638641548348769,1.0,0.8946184291713397
30,0.21127713749737448,0.826505224388046,0.7946579185474968,1.0,0.8055645114176588,1.0,1.0,0.8054292559786538
31,0.3930830316962084,0.6104994953810812,0.530671037076345,0.7144733621813161,1.0,0.9076567547148878,1.0,0.7366262401499769
32,0.0,0.9162126575143521,0.6463854998920257,0.750844255075419,0.9542767511754277,1.0,1.0,0.7525313090938892
33,1.0,0.25662048698819045,0.7337359234334814,0.8686716610320397,0.9860226063175886,1.0,1.0,0.8350072396816144
