Num,R_1,R_2,R_3,R_4,R_5,Average
1,0.7668094824434042,0.7486950843891117,0.7445832910195,1.0,0.9063148069990522,0.8332805329702136
2,0.7810937583200788,0.7588489967328294,0.565652169149035,0.8272958207273948,0.39571914848026496,0.6657219786819206
3,0.5838695855443146,0.6927989980900989,0.6182421729551114,0.5129682235526176,0.5773300800797635,0.5970418120443812
4,0.941970167267842,0.5895918513188833,0.8204352175400422,0.5103769445088346,0.8675496488795703,0.7459847659030345
5,0.2188271334372805,0.2547502410152432,0.9461857464340662,0.8699652829173696,0.6688249765047981,0.5917106760617515
6,0.0,0.6162144640595555,0.8152751885219767,0.7458450333223111,0.8056931926383383,0.5966055757084363
7,0.5779669274382914,0.6734229834765579,0.7280702628146074,0.6058414351666658,0.8175618645835991,0.6805726946959444
8,0.6704952824120187,0.7212983295793703,0.5140828504710822,0.5757638961977062,0.4947955218349015,0.5952871760990157
9,0.7706985010522462,1.0,0.7885783986703103,0.6676760344624376,1.0,0.8453905868369989
10,0.880177436034522,0.8967095505231492,0.8424758648042412,0.9822513036143828,0.6686862784380515,0.8540600866828694
11,0.7639829609745016,0.658277149534178,0.6228580377742052,0.26760312955249554,0.7347742632843586,0.6094991082239478
12,0.6435810135971999,0.7287208795747522,0.5209499657758065,0.7010052800884119,0.5475347265610642,0.6283583731194471
13,0.5251038369034137,0.4816683418969802,0.4935302203327542,0.6503080633573057,0.685975614091802,0.5673172153164511
14,0.7998790288076363,0.600148123502788,0.48611582677763593,0.8950112100034544,0.5994859039885019,0.6761280186160034
15,0.8399995050653145,0.9604319358013056,0.8077723737837561,0.5337158915391199,0.5316426446675728,0.7347124701714137
16,0.8632452509713133,0.9877411647981967,1.0,0.20656174093723523,1.0,0.8115096313413492
17,0.5692915950065252,0.7229976138877688,0.45873924710412833,0.4069351675217324,1.0,0.6315927247040309
18,1.0,1.0,0.7682324290799062,1.0,0.8703722655520636,0.927720938926394
19,0.43744185255392243,0.7016927621899343,0.7668616377826106,0.672115267786337,0.5005717988295779,0.6157366638284765
20,0.6300359529963775,0.5920975547340638,0.8993834372438131,0.5323664490042822,0.727143958260988,0.6762054704479048
21,0.8978927645074213,0.6061909818093278,0.5149914640631622,0.5923003685800933,0.5582916722750948,0.6339334502470199
22,0.6397218131156844,0.8798443058777043,0.6954473607145603,0.4350133321706901,0.3973852553031483,0.6094824134363575
23,0.7220380957491578,0.7381709096369831,0.6868137696335961,0.6481069244090646,0.7029541096311479,0.69961676181199
24,0.9341729113500434,0.5875713948745672,0.8691601011648359,0.5618284959263626,1.0,0.7905465806631617
25,0.6981386219657736,0.7166972107910372,1.0,0.7208232171573067,0.9564380853097243,0.8184194270447683
26,0.6936030697063293,0.7699858948647454,0.6814906760490943,0.6895470158644087,0.6740135177272731,0.7017280348423701
27,0.7113294520205355,0.6561335340682817,1.0,0.13368490752601095,0.5764408922156231,0.6155177571660903
28,0.7426838610948955,0.7333878830536034,1.0,0.5591243325086983,0.8444263557127668,0.7759244864739927
29,0.9566235132011691,1.0,0.7006312574502015,1.0,0.7590342748076058,0.8832578090917952
30,0.5877638649356893,0.8773129076551558,0.9424235767776579,0.6219214672113142,0.5799715263386749,0.7218786685836984
31,0.5844976835270861,0.8393824947862929,0.5270866933539042,0.4523670640957025,0.5009627696299856,0.5808593410785943
32,0.733743410653846,0.6845097543179843,1.0,0.49382321680843677,0.6587024826777417,0.7141557728916018
33,0.7306117261571807,0.7253211272920187,0.8150659934657283,0.7695298771494162,0.6213493037745336,0.7323756055677755
34,0.6332237722854791,0.7366957467588702,0.5843572302717194,0.6646950232378183,0.40013595269639773,0.6038215450500569
35,0.710830565534148,0.6373618891551416,0.6030470667336496,0.6773951164842442,0.4923261105370295,0.6241921496888426
36,0.0,0.3944677069624464,1.0,0.7458450333223111,0.8056931926383383,0.5892011865846192
37,1.0,1.0,0.7682324290799062,1.0,0.8703722655520636,0.927720938926394
38,0.6520739278568923,0.4442891440160997,0.7527127982697828,0.37375988873583565,0.4387511503624512,0.5323173818482123
39,0.7756713552564285,0.7533072619244393,1.0,0.7025818192449073,0.7015760955060467,0.7866273063863644
40,0.6140528385222463,1.0,1.0,0.2800953319826477,0.8742324844286146,0.7536761309867017
41,0.6254199400662763,1.0,0.49142749793896395,0.6460337555573159,0.6734610116748911,0.6872684410474894
42,1.0,0.6781376793445436,0.9133792330350532,0.7119503832052946,1.0,0.8606934591169783
43,0.6470603775129949,0.8154820626838363,0.5356873091154928,0.5257464827889,0.6233890246172615,0.629473051343697
44,0.5514511704475049,0.6572184467983991,0.7739530826362253,0.40631634864501043,0.4204752031207882,0.5618828503295856
45,1.0,0.7909577618377921,0.8257152531236547,0.455335436477084,0.7643451637335527,0.7672707230344167
46,0.5224589494701949,0.8264196647597405,0.4956887127952507,0.8139723706454948,0.6549840146511052,0.6627047424643573
47,0.43948138849581414,0.5896463199672959,0.6228485923254218,0.3528188622273826,0.6932749720523429,0.5396140270136514
48,0.9905787289199504,0.9973165725923445,0.6321357521952691,0.46584611994794145,0.8245197003468167,0.7820793748004643
49,1.0,0.9737233623203964,0.7414629501512001,0.5766711712147166,0.36329302153267723,0.7310301010437981
50,1.0,0.8371663447489925,1.0,0.6867837879818827,0.8371677293011945,0.872223572406414
51,0.6183143390505526,0.823394162083462,0.601189349200845,1.0,0.9054115845562233,0.7896618869782166
52,1.0,0.8259534388319943,0.9125481106470807,0.47752119692567363,1.0,0.8432045492809497
53,0.6864303304316146,0.6366525064129165,0.5847775062441247,0.7280830467088375,0.8147807466043908,0.6901448272803767
54,0.8258493388694633,1.0,1.0,0.6975569106341544,0.9720234229394172,0.8990859344886071
55,0.8694283095342581,0.8847081269002268,0.6113250512966945,0.658813786407372,0.49104770410106424,0.7030645956479231
56,1.0,1.0,0.6731538014983115,1.0,0.7177196462235444,0.8781746895443712
