Num,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,Average
1,0.5796897066343752,0.5493211576195869,0.41357031206603845,0.28034240666995874,0.3308240670842127,0.39187016029880417,0.5385216592145985,0.6196533203909655,0.46297409874731754
2,0.6439368695986117,0.5216899890538466,0.39011047691242057,0.33368700408897234,0.3883292292243585,0.4182541312551178,0.5370168218867317,0.6570973527869988,0.4862652343508822
3,0.5524903686667437,0.5112203248284277,0.36812344271346914,0.29341969493873754,0.2784679763500159,0.3806993789022418,0.45098325745640316,0.5687699155051297,0.4255217949201461
4,0.5672825597738455,0.5058417646127282,0.4116301061595873,0.2889317002028154,0.2933210267531802,0.3995854286218453,0.5282844551061875,0.675602194582197,0.4588099044765483
5,0.5535836369831021,0.4945851228006506,0.39198162644911655,0.2781419389032667,0.2833482020684449,0.3859659876385658,0.436426489029502,0.5925757522906868,0.42707609452041695
6,0.6366398781280488,0.5499129136792479,0.40865363903673896,0.3428012389478636,0.315528786635728,0.4054085381809893,0.5890257501444187,0.6178642723156249,0.4832293771335826
7,0.5570991099059328,0.5196948172392125,0.5211806895720461,0.28455198775143387,0.2720603168978467,0.36564576711676233,0.4960751537783939,0.5671166680553643,0.4479280637896241
8,0.5671505039029879,0.49935365080744154,0.41269406350175214,0.2836580530975071,0.2897223779166402,0.3655037640559585,0.4750974845063769,0.5612147199123725,0.43179932721262954
9,0.6169598114490721,0.559875105573694,0.43050368557881374,0.3033561171183178,0.30404280538503287,0.42230416131605286,0.48153179347125635,0.6474997257139884,0.4707591507007785
10,0.6318342230763826,0.5647325722726741,0.3804742910332036,0.3039012798908131,0.3008539666448177,0.4118771183370418,0.5164382305867271,0.6171002626368148,0.4659014930598094
11,0.5960567484935889,0.5093944764693026,0.440563283405466,0.2914591954017965,0.3099005739791408,0.43300839141485337,0.5120195228163393,0.6764548016102067,0.47110712419883677
12,0.6132990104160662,0.5309150640712764,0.46149076307560105,0.28622903367443664,0.30503980669892405,0.4231077461231708,0.5199929507809988,0.5764142337692796,0.46456107607621916
13,0.5654921134986288,0.5141657861962755,0.382920074669805,0.29512586852762085,0.2672324235833447,0.36544346852309884,0.5778585872145404,0.5737311823766688,0.4427461880737479
14,0.6499354726920954,0.5278098174622158,0.45274916730010745,0.27449034767485686,0.2893107896772374,0.4256055618057717,0.5367651382187,0.5680264152591227,0.4655865887612634
15,0.5974704067360248,0.5226554373350372,0.4291930772917871,0.2912339262434591,0.30393833553905436,0.4447570275845975,0.5471732177025712,0.6899370328971893,0.478294807666215
16,0.559544494294987,0.4987694524434156,0.40312592286715965,0.298805989690043,0.3059180314933259,0.3698196323809363,0.4656108947982834,0.6768224017777777,0.44730210246824104
17,0.5763137048569442,0.44356694136326674,0.4385061904404906,0.2885853000409066,0.28603173153303335,0.45415528736472177,0.5194778181839044,0.6483768915981031,0.45687673317267136
18,0.6322083790941987,0.5046497932842068,0.3940399510439432,0.36514281434694795,0.3453550628757513,0.4194356088878245,0.5013544052708628,0.6194378592426582,0.47270298425579915
19,0.6510717288846595,0.5865289428410317,0.4110725319493715,0.2868203560729423,0.2764281503754042,0.4060902906405884,0.5594056233902992,0.6518771631032629,0.47866184840719495
20,0.5357735798327394,0.4695746213949717,0.441368128632319,0.28098489384919423,0.2820209926955556,0.4396021409780844,0.49061102973432663,0.5677048418868171,0.438455028625501
21,0.5900578043503906,0.5487568898396752,0.4230487107799908,0.30387204207638757,0.30780001398564105,0.37596965566482576,0.5548541465254953,0.65467347653791,0.4698790924700395
22,0.6336856966154908,0.5295122010581137,0.38724893002139926,0.28590164113670774,0.27168546871726507,0.38146344605305643,0.4752965337098815,0.7068860605275582,0.4589599972299341
23,0.5783604178529907,0.6188690322799765,0.46629444218839067,0.3368764242815456,0.35605200669672915,0.4160334063317649,0.5729985396394333,0.62357437540662,0.4961323305846813
24,0.5938845605190854,0.4960715943421892,0.4391152775995705,0.39585409386490183,0.30031366537464127,0.4072599674596433,0.4923545029302215,0.5585082258208063,0.46042023598888243
25,0.6121289051951521,0.5352825980125036,0.4050479611257058,0.3134556502689843,0.3302265777284797,0.41249712105330594,0.49589070017345654,0.581907852044357,0.46080467070024317
26,0.6564255714948936,0.5642885874355245,0.3970175386407819,0.3186123906354213,0.34187481745373455,0.38906844293418136,0.5173859730743049,0.6659508312397542,0.4813280191135745
27,0.6212777626866488,0.5064516597628395,0.42292464244904526,0.31277070306174604,0.28621198899995076,0.4250174916326524,0.5237170602876701,0.655441495535816,0.46922660055204607
28,0.5790372868210296,0.5540920845458471,0.43050766920986344,0.29227194884634755,0.2935962841007617,0.43441866137158813,0.5223269243927038,0.6014258325279311,0.463459586477009
29,0.4807270813051396,0.4820350308321732,0.4098039158228626,0.306086652992375,0.3062819739332121,0.37641830317998304,0.5145498692169098,0.700283606680807,0.4470233042454328
30,0.7000879331611828,0.6355943733526486,0.49784089809938437,0.3156108863479852,0.36481459738922273,0.4595827565316854,0.6585848205794642,0.6284301728794608,0.5325683047926293
31,0.6873241323330123,0.6832460019977822,0.47594517446831114,0.39606353342707873,0.3594728130657862,0.4629645844675592,0.6285996324004222,0.6802871534125462,0.5467378781965623
32,0.6027056474659744,0.5622218342529195,0.438456452772746,0.27281858197826137,0.2782437338434189,0.35506184835626886,0.49800090291253196,0.6109466995200012,0.45230696263776526
33,0.600123568636562,0.4478764972094439,0.3778167544664251,0.28546893811448615,0.2779606268764702,0.36318762594137705,0.5067002769551471,0.6002315240996905,0.43242072653745023
34,0.6075672178484895,0.5262569100575765,0.4411572833515891,0.3503462599084319,0.2798484436832804,0.4112708371703626,0.5332529419275714,0.6607144397560618,0.47630179171292036
35,0.6039252039834146,0.492127380163192,0.41708365997413166,0.2759483533271605,0.2925150596575601,0.38932687841942204,0.4748786763104572,0.6280345340515203,0.4467299682358573
36,0.6091819705418542,0.5622860637425261,0.3669686747970789,0.3185001881467629,0.35113145164280396,0.3838129915684528,0.5622563534083507,0.6381457849297044,0.47403543484719174
37,0.6365574830004972,0.47454305547016457,0.40719713957489123,0.32195769730250007,0.29890674600707906,0.37680575159115676,0.5725018724599547,0.5820136380179067,0.45881042292801877
38,0.4944234457389952,0.5142149849140473,0.4009221551435073,0.353361005974086,0.26515915118404904,0.3698058456095147,0.4739803892551152,0.5864200338663123,0.43228587646070343
39,0.5886651065440387,0.46379239670856803,0.3779753500525738,0.2921529490804558,0.2904993718586633,0.3994141520435,0.5250437224359359,0.5668396271816291,0.43804783448817064
