Num,P_1,P_2,P_3,P_4,P_5,Average
1,0.6029309231393772,0.6213929621662728,0.7115975258108547,0.7096800688734913,0.7967470102755707,0.6884696980531133
2,0.7791402385467566,0.46575062958222463,0.484612456612069,0.8240034146770291,0.1422940938156454,0.5391601666467449
3,0.7129830271065529,0.6654643709044837,0.6734135168910368,0.7481845759782387,0.6017841025799839,0.6803659186920592
4,0.34282973600226435,0.5627016322598932,0.8171171787570499,0.5690866304738982,0.8934033714489256,0.6370277097884063
5,0.0,0.10867139153102576,0.4683522797224629,0.6780385930544485,0.7495484735420499,0.4009221475699974
6,0.0,0.28959780559294007,0.6244050372074104,0.42286573162200525,0.7353910970260277,0.4144519342896767
7,0.3691921523579724,0.6462427357859245,0.6478404513235322,0.8650133397383825,0.4810183040438399,0.6018613966499304
8,0.47600248473651247,0.8041527234168607,0.9190725300562345,0.7999852303304356,0.5437830853783368,0.708599210783676
9,0.664168843875796,0.6075210410174876,0.6827167361854319,0.894186356681313,0.6198318103040371,0.6936849576128131
10,0.555551287936166,0.4508561005267096,0.5984754158800509,0.8618060302489754,0.9667648040361058,0.6866907277256015
11,0.6403458269413668,0.690069492155657,0.48806815664190817,0.04164468133629862,0.6181077535140542,0.4956471821178569
12,0.6042036291861378,0.7492435243071575,0.46137758763537234,0.6319295710429436,0.7071931905558593,0.6307895005454941
13,0.7322321052124986,0.7755621428024743,0.43843498975936956,0.7062166391034251,0.26990046586494304,0.5844692685485421
14,0.6936262727312266,0.34943177468813785,0.2574963234354402,0.8863580920944747,0.7971949155537301,0.5968214757006018
15,0.6197338772266391,0.6066333210598192,0.4327803088927686,0.7785792430062756,0.775596337903546,0.6426646176178096
16,0.4367857253756436,0.5200870344265326,0.5657941736171501,0.2524881144672782,0.40651178930739046,0.43633336743879897
17,0.734617112318538,0.6579712400109551,0.42313781826662566,0.6331385751698604,0.6162792707544336,0.6130288033040825
18,0.3760126843382284,0.3948359689679363,0.911294941635479,0.5758090692400276,0.781696170048691,0.6079297668460725
19,0.09621385167192817,0.47621085928190765,0.6131673862773565,0.537166555085934,0.2390771025997922,0.3923671509833837
20,0.8454372809445133,0.43793699156136695,0.691003892541332,0.7923611250058445,0.7166690149509874,0.6966816610008089
21,0.47006427408153884,0.8859281962818821,0.7950836922057813,0.5979149522792967,0.9153634444314869,0.7328709118559972
22,0.7028435653411641,0.6240430026458503,0.9010536697680184,0.5551736600481684,0.6391847196759287,0.6844597234958261
23,0.8052190441958915,0.5545083117807773,0.6657152037487226,0.965251699848914,0.44946813390016627,0.6880324786948944
24,0.4484987487953828,0.2771408307233694,0.4776359318651133,0.3145446962493092,0.5104266729777279,0.40564937612218055
25,0.6957162752450936,0.5688738123962572,0.6684778692222606,0.8046679139747754,0.7388447883944362,0.6953161318465646
26,0.5562673896565037,0.5250554820363338,0.7872320607676586,0.7540395675991696,0.8997278929461299,0.7044644786011591
27,0.3938939279889828,0.851746491564125,0.7014501238541939,0.37899034445740665,0.48698567337877813,0.5626133122486973
28,0.8122777913769142,0.3797533091480725,0.5120288451253776,0.6199399170244705,0.6493966501394125,0.5946793025628494
29,0.5207861163487569,0.40873186199609274,0.7951443064553132,0.769952302238079,0.7487423713409317,0.6486713916758348
30,0.02168168430079538,0.42393566618377915,0.6081182912641514,0.46672017581326586,0.7559176432010918,0.4552746921526166
31,0.7652959631599021,0.7795614250162994,0.525661712134483,0.45887152115966495,0.8594352505607319,0.6777651744062163
32,0.8179275441914492,0.5789925560837402,0.6157978737653543,0.6066292519857719,0.6194769887200314,0.6477648429492693
