Num,R_1,R_2,R_3,R_4,R_5,Average
1,0.475899597271433,0.846253058843733,0.6340237232848387,1.0,0.9162204612724795,0.7744793681344968
2,0.34833737837062834,0.5294567270312354,0.8958648969646604,1.0,1.0,0.7547318004733048
3,0.5024211560456024,0.7707006249940309,0.7984771233392519,1.0,0.9623213664929778,0.8067840541743726
4,1.0,0.4772156923025574,0.7241346490687155,0.9944473473780774,1.0,0.8391595377498702
5,0.0,0.013727098670078475,1.0,0.8311264161325492,1.0,0.5689707029605255
6,0.020428782995724374,0.38047100389483485,0.6780862974382561,0.559662125982538,1.0,0.5277296420622706
7,0.0,1.0,0.8153542183576947,0.9967114300774321,1.0,0.7624131296870253
8,0.5051150406071616,0.5663481117970784,0.524926939714286,0.5570287403825639,1.0,0.630683766500218
9,0.30060111153143054,0.5711461489144399,1.0,1.0,1.0,0.774349452089174
10,0.5942742697029163,1.0,1.0,1.0,1.0,0.9188548539405833
11,0.17277926767766072,0.6714689928625762,1.0,1.0,0.7811224399854735,0.7250741401051422
12,0.0,0.5624805571202275,0.5404498338213299,1.0,1.0,0.6205860781883115
13,1.0,0.0,0.13461066592947346,1.0,1.0,0.6269221331858947
14,0.5943019837369504,0.5671750879629582,0.09405282800722432,0.8595626705269034,1.0,0.6230185140468073
15,0.517896318604343,0.7796922801948067,0.9935057404769448,0.7954311514086648,1.0,0.8173050981369518
16,0.5447618503930722,0.6252019748470242,0.5609182122109488,0.13483824599788943,0.944941482040193,0.5621323530978255
17,0.48317677966742567,0.4395415816498421,0.5133342582630508,0.6641298966332614,1.0,0.620036503242716
18,0.9467988571373834,0.34548414390400534,0.6950840091854885,1.0,0.8762268952957981,0.7727187811045351
19,0.0,0.3199358920017163,0.9375194815681216,0.8585284796686796,0.8986809547504092,0.6029329615977853
20,0.3165992142164292,0.6039671912018006,1.0,1.0,1.0,0.784113281083646
21,0.0,0.7975310160744543,0.5098581052908707,0.7580463697496426,1.0,0.6130870982229936
22,0.5948837618681074,1.0,0.6892957728273975,1.0,1.0,0.8568359069391012
23,0.5909120025501589,0.6538189049168885,0.6821309576283846,1.0,1.0,0.7853723730190864
24,0.9005837938034472,0.0,1.0,0.6757252645098591,1.0,0.7152618116626612
25,0.3275484225081597,0.6572451585707006,1.0,0.9446712258480097,1.0,0.785892961385374
26,0.8041000727025183,1.0,0.7982773652856805,0.9208336510155533,1.0,0.9046422178007504
27,0.323004685188638,0.5510795364218245,1.0,1.0,1.0,0.7748168443220924
28,0.22976155081339125,0.517688390394464,1.0,1.0,1.0,0.7494899882415711
29,1.0,0.9661592999717211,0.7288027426835763,1.0,1.0,0.9389924085310595
30,0.0,0.5062794888868598,1.0,0.8595067562132132,1.0,0.6731572490200146
31,0.24912842697902088,0.8652086441618237,0.9700933152594047,0.8624618135479468,1.0,0.7893784399896393
32,0.4306201425124474,0.8559685097795947,1.0,1.0,1.0,0.8573177304584085
33,0.6581924130033979,0.859047817490599,0.4619681745446471,1.0,1.0,0.7958416810077289
34,0.4016091660554374,0.3675267259500444,0.6460049821036729,0.7693223890130946,1.0,0.6368926526244498
35,0.15701897232450998,0.39167102995360115,1.0,1.0,0.9626709590890884,0.7022721922734398
36,0.0,0.42373831511988114,1.0,0.6184684875397949,1.0,0.6084413605319352
37,1.0,0.6239502800642782,0.7143853009759028,1.0,0.994661768789635,0.8665994699659633
38,0.4373846442246185,0.5253426999904036,0.7622990380487603,1.0,1.0,0.7450052764527565
39,0.2653164719166468,1.0,1.0,0.5273172393157155,1.0,0.7585267422464724
40,0.0,0.7024505308596702,1.0,0.6284935759185862,1.0,0.6661888213556513
41,0.32115935374980986,1.0,0.5294045097331627,1.0,1.0,0.7701127726965945
42,0.0,0.7522000389884951,0.0,0.9665097045480691,1.0,0.5437419487073128
43,0.0,0.5946700248328204,0.6399832547366097,0.8379629518207241,0.9293017706820627,0.6003836004144434
44,0.32280051927959263,0.0,0.7767006379497149,1.0,0.9631328564815087,0.6125268027421632
45,1.0,0.6012750821143965,1.0,0.7440079468565338,0.8168511874142063,0.8324268432770273
46,0.29606436427821703,0.5598477570212329,0.5791878907595861,1.0,1.0,0.6870200024118072
47,0.2243581351739418,0.7516440974239569,0.6704412671793167,0.7044499296543016,0.9712717855460008,0.6644330429955037
48,0.6220371138215622,1.0,0.7384261632761888,1.0,1.0,0.8720926554195503
49,1.0,0.9053215319772404,0.7386374028919857,0.7842449397243046,1.0,0.8856407749187062
50,0.9246471886669206,0.6561948757826491,1.0,0.5733388870188679,1.0,0.8308361902936875
51,0.26547435003757397,0.09092909657498088,0.45208171068491304,1.0,1.0,0.5616970314594936
52,0.2962628523161463,0.6953670940909122,1.0,1.0,1.0,0.7983259892814117
53,0.0,0.6406198844988835,0.9512894366754272,0.9491920747189924,1.0,0.7082202791786607
54,0.5667545366105755,1.0,1.0,0.6767914741213752,1.0,0.8487092021463901
55,0.5188751482004313,0.6595071966392729,0.8069284052373571,0.7193974525030254,0.7231908489820107,0.6855798103124195
56,1.0,0.5160842898200311,1.0,1.0,0.9878045743346991,0.9007777728309462
57,0.0,0.8573555230399242,0.6371733954047425,1.0,1.0,0.6989057836889334
58,0.21121448929538317,0.38302567141601973,1.0,0.6205373838717608,1.0,0.6429555089166328
59,0.3196092345487236,0.6969326763498347,1.0,0.6695941572689471,1.0,0.7372272136335012
60,0.0,1.0,0.8778246843614707,0.5139652939311806,1.0,0.6783579956585302
61,0.5342029423265003,1.0,0.6837978650337582,1.0,0.9301054758037068,0.8296212566327931
62,0.4657512152208372,0.5143475906333266,0.1062610214764437,1.0,1.0,0.6172719654661215
63,0.6185695220071932,1.0,0.9013270760685121,1.0,1.0,0.9039793196151411
64,0.8023661941877461,0.0,0.6626096993301264,0.7945162178200214,1.0,0.6518984222675788
65,0.0,0.6844790490960726,0.6413507140594484,1.0,1.0,0.6651659526311042
66,0.07235656618177787,0.5132890718734342,1.0,0.48470604599460504,1.0,0.6140703368099635
67,0.8397386981854801,0.37587088563090365,0.525135338222564,1.0,1.0,0.7481489844077895
68,0.48852873016218334,0.364593649499937,0.4435787806998276,0.7886449035992618,1.0,0.6170692127922419
69,0.36534368279283475,0.8309250099415448,0.6091716388868078,1.0,0.7223749107322709,0.7055630484706916
70,0.6083432846637398,0.5520254945029027,0.690529514583365,1.0,1.0,0.7701796587500015
