Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],Sum_of_Width
1,0.3291829134657742,0.333611685911693,0.3291829134657742,0.3336116859116929,0.15818513406586904,0.236148502892576,0.10548560061067025,0.17459156367595027,0.15592687678382441
2,0.3397720803058289,0.3996723859890538,0.1953874987755414,0.36335684499047094,0.1698858703412333,0.26802573691437287,0.0685117791823557,0.19538780350114332,0.45288554279008164
3,0.2944611940882333,0.39909020785754673,0.19760256779121632,0.29446134881283875,0.19173257267877325,0.21545976804630906,0.19173257267877328,0.21545976804630917,0.24894218552600758
4,0.27263075360051225,0.43944182834340434,0.20026667444666657,0.2839945578364309,0.20026667444666651,0.28399455783643107,0.08788822596418594,0.23151672752570254,0.47789534308393755
5,0.3127576639552691,0.3964457339301935,0.25751915573759393,0.3127577358770573,0.19320912567608364,0.27418590295984296,0.12436506232848213,0.12875961953547752,0.22429798460514247
6,0.29452102776259026,0.41591901788177077,0.2021425929198589,0.2945210277625903,0.20795950894088536,0.2653080130102031,0.11748537911430601,0.20214343260779521,0.3557829825247189
7,0.4027167091064641,0.4285108924459085,0.20636070397573875,0.28791645756150863,0.21425543777997813,0.23692096421622433,0.0859255574886087,0.13739327742556878,0.18148318329842056
8,0.4268504905615539,0.4268504905615539,0.21342506319794569,0.2555675228826042,0.1622893410037178,0.2223538286141103,0.1245208269217373,0.168142436256777,0.1458285566300907
9,0.2955594052326487,0.4388505126086462,0.21942477293763554,0.38008211620933,0.18728822397643824,0.32555947599628043,0.06989094389818926,0.08334454914083167,0.4556733079101767
10,0.3287698209451657,0.34894807132293365,0.24671889312112558,0.35612890292037447,0.1694736232473641,0.24671900529591195,0.11376764958565849,0.18947403356146608,0.2825400262013723
11,0.2796695641860291,0.336718575864729,0.18877308459763747,0.29529459146242676,0.2796695641860292,0.3367185758647289,0.09438232914311018,0.1887737146953094,0.3150109157743881
12,0.2644337402713655,0.3376973820124664,0.3238084365392109,0.39289067342058376,0.1912906496124319,0.2670490116521683,0.10793611035172636,0.11489399614004697,0.2250621264505308
13,0.297998720069011,0.3579245777861554,0.23472538517164848,0.30546143277850935,0.2979987354333654,0.29877644066192477,0.08596901635722018,0.12114569174216555,0.16661628593750996
14,0.2936913173646832,0.314419008391123,0.2936913173646831,0.3144190083911229,0.2578597597090937,0.298593299109869,0.0983960258082087,0.1289302638612163,0.11272315950666252
15,0.2959925253786386,0.381346144558218,0.27594699852210997,0.29951384416556065,0.190672951446058,0.30361003977607,0.09083657803776768,0.16208091811557726,0.2931018932308517
16,0.30595018556957665,0.4255168263465045,0.20741796663934026,0.3059502486970534,0.21275825067335286,0.24744715667666595,0.08137927397339688,0.21358009142410966,0.3849886462886669
17,0.2796695641860291,0.336718575864729,0.18877308459763747,0.29529459146242676,0.2796695641860292,0.3367185758647289,0.09438232914311018,0.1887737146953094,0.3150109157743881
18,0.32274967317782643,0.4087676927530418,0.23464298060269473,0.3227496731778263,0.17009521180772447,0.23464298060269476,0.1362558975843473,0.17009589029384414,0.2725124736548141
19,0.3692468858486988,0.4369764807924277,0.21848819512549206,0.3407880564087886,0.16139776449132293,0.20885860298353054,0.07962057142538981,0.18462344292434943,0.3424931662181927
