Num,R_1,R_2,R_3,R_4,R_5,R_6,Average
1,0.6180062568063959,0.4753201532771731,0.3784850687349046,0.2884077422299962,0.5478902151894057,0.5754271226483848,0.48058942648104336
2,0.44788572266206833,0.49236500979049685,0.39488658663662696,0.29810799162741214,0.3276999791163468,0.9722972416841098,0.4888737552528435
3,0.4624051932107605,0.4570092007278762,0.29174264805043704,0.2795851578092588,0.3914358487212516,0.8466380766802043,0.45480268753329806
4,0.5302842574749375,0.4939017813215978,0.20788501182024444,0.2555209198069824,0.4488145281789513,0.7360628271945435,0.44541155429954277
5,0.5748142480436468,0.46274075464949527,0.33388849787728303,0.24651109575536445,0.4377280247844876,0.6325214427490989,0.4480340106432293
6,0.5132233710138396,0.45751340552806447,0.21892257968008264,0.2379667228664874,0.4937431074191033,0.77458758660988,0.4493261288529096
7,0.38418962832185516,0.46473829680559015,0.2690190478070123,0.2583971725469459,0.4256075495293668,0.7125540652271879,0.419084293372993
8,0.6906336971344325,0.4395023967969953,0.29280076957834084,0.344368401952992,0.6918987614000445,0.6126493630970106,0.5119755649933025
9,0.6862879980091812,0.509007703402629,0.2678977844584211,0.3118150937845081,0.4047582549410564,0.7181982089628042,0.48299417392643335
10,0.7877098835220789,0.6053862875845288,0.3206987042293737,0.2873245708119845,0.5027205647482392,0.8416573004103964,0.557582885217767
11,0.7645676081226348,0.6334983287878928,0.38563914783827286,0.4062397975624276,0.5989455447874151,0.7499572488695017,0.5898079459946909
12,0.6265935077835091,0.46062125794229325,0.32931298811479404,0.291962471078244,0.4909988392311049,0.518748113392816,0.4530395295904602
13,0.696373443994038,0.6263908782561147,0.3796637094507451,0.3758345269536684,0.6327728490845739,0.7579842854311342,0.5781699488617124
14,0.5109460580089267,0.5687866462344994,0.3370274290124248,0.2919714865541332,0.681629781065994,0.7691099983148206,0.5265785665317998
15,0.7164300066207391,0.6657771286544423,0.3662792534368555,0.2683914285796843,0.5659866003577855,0.7817489605893438,0.5607688963731418
16,0.8277579303503141,0.4927834135404467,0.42458942517945386,0.39800560474922014,0.5531364752832255,0.7040195767102687,0.5667154043021548
17,0.7406394188426667,0.6704923499125245,0.412721529336136,0.3474148686870838,0.5365225830783582,0.9031240241572549,0.6018191290023374
18,0.6361130255745705,0.4370568380084962,0.2643552205173424,0.24307387822233023,0.3676036955479141,0.8001745583784122,0.4580628693748443
19,0.48357985625500294,0.5348054633924497,0.2786308928609903,0.23940833408690373,0.4038250875971621,0.7391454692532519,0.4465658505742935
20,0.6585031115192885,0.48315792197416807,0.3527631579326506,0.2818707063450525,0.48839287062661796,0.7328239338907466,0.4995852837147541
21,0.6954541864021017,0.5272795892467539,0.31711230230995496,0.3163677535480518,0.5032018170085683,1.0,0.5599026080859051
22,0.7731044433547863,0.44203718236777956,0.3514660190381967,0.4961761904772641,0.44093554446707933,0.9944590445850879,0.5830297373816989
23,0.5813192641759316,0.5412576500190629,0.30436680501283725,0.32284733022833806,0.5042275745753626,0.5893024301024087,0.47388684235232353
24,0.5643456481083067,0.42419500661640475,0.2646766758060227,0.27483785488422846,0.5350183813078676,0.8941800795285034,0.4928756077085556
25,0.5214054348936439,0.6248435738595646,0.38474935592381204,0.3589114321731628,0.5815161838175184,0.7864666186887002,0.5429820998927336
26,0.6187635322139933,0.46056273459909725,0.29600787329147443,0.28382469074418865,0.4895843736788527,0.8430660801679234,0.4986348807825882
27,0.618509940395188,0.5656415354986014,0.33120185626964044,0.2632385006633388,0.5152084721872883,0.8715564457176952,0.527559458455292
28,0.7200977674123159,0.46345291811660094,0.386189981937641,0.24338478220107887,0.6777108302541092,0.8157896793500221,0.5511043265452947
29,0.629195152509333,0.5173470943292918,0.41125369834033504,0.3892963165650738,0.732020870246447,0.9484428877855061,0.6045926699626645
30,0.6032696264942232,0.46461577110742774,0.24690035161590299,0.22981819057303485,0.3983449405774513,0.7031296968270442,0.44101309619918067
31,0.5867840882740732,0.3734276607195664,0.29187419699188494,0.37155252727846144,0.5166669752564463,0.672202313510002,0.46875129367173907
32,0.560294308353757,0.5842952238032546,0.28239190201279984,0.2601902304911627,0.3928216405535848,0.8902416371326689,0.4950391570578713
33,0.6208645261963762,0.47137401372891713,0.2599475977462337,0.23871879877707178,0.5413770967516368,0.8181268428358194,0.4917348126726759
34,0.6331234760149174,0.4055831985695767,0.2722326350541918,0.24622065561799653,0.3879341791569278,0.7846076373933426,0.4549502969678254
35,0.8994392139476832,0.6309603468375551,0.34649753961721286,0.3500906296073025,0.5934142923761105,0.6918994872577947,0.5853835849406098
36,0.5719580973714071,0.4483418957651837,0.3355762852497706,0.29686455407549767,0.6758264005519213,0.8471048951380697,0.5292786880253083
37,0.5807380579353297,0.45987107449901377,0.3008462307856506,0.3527074897565372,0.43540443126485184,0.5444702169744108,0.445672916869299
38,0.584867465226839,0.4231382239404394,0.2540275140842164,0.255173523150568,0.3890248421719263,0.7534259223447016,0.4432762484864485
39,0.7543925718140383,0.5526384959196519,0.28886076075299905,0.32341836299779925,0.4705892432542284,0.6231633344876116,0.502177128204388
40,0.6033599012025193,0.4815655252495753,0.3218925109091768,0.3044317514029971,0.5980758611827306,0.7755101150018436,0.5141392774914738
41,0.73514225996199,0.2888335314119782,0.37695877995667204,0.35075896645965615,0.5774091668912962,0.8153999911641642,0.5240837826409596
42,0.8526778424832887,0.6265720471984162,0.35070708419477653,0.47506007864447647,0.5418012254799626,0.8057033379630562,0.6087536026606628
43,0.6237898207189887,0.4570747945983195,0.24683744373987235,0.2557799557811023,0.3487838065430999,0.9446343477900715,0.4794833615285757
44,0.5351394894615031,0.5618828837375345,0.29336310491844425,0.2557614920276896,0.5624617779079902,0.7598143422911641,0.49473718172405423
45,0.6066130328524993,0.41959354195398485,0.31159805378009314,0.2752316968449217,0.4528553534338991,0.5833658026407168,0.4415429135843525
46,0.30769590122380397,0.4356439042770511,0.257920544739308,0.25234126099629545,0.39450150306586695,0.8289331756353476,0.4128393816562788
47,0.6147120652908653,0.49683865243780456,0.29304062996833097,0.3764371408356525,0.5034002151592254,0.8327080464214874,0.519522791685561
48,0.4986267848823822,0.4513393157866525,0.3208015390038924,0.36298590699711997,0.49890422358174835,0.7107826597234557,0.47390673832920854
49,0.4630659030914474,0.47467809928811616,0.26515956293158016,0.3295212434541494,0.49839673101122606,0.6795141959491418,0.4517226226209434
50,0.6377525710098284,0.5507317465314276,0.26849369977366955,0.2646073063449418,0.5031109818860126,0.9032184505945215,0.5213191260234002
51,0.7235341170095516,0.46009436285539823,0.2990970792820984,0.34780991790326443,0.5337879282952678,0.5951556944259964,0.4932465166285962
52,0.697982536713821,0.4923843302476034,0.35088471457199466,0.26567685839442695,0.433642133440684,0.9174227602671636,0.5263322222726156
53,0.5608958573816667,0.41932486123949936,0.26274400030739425,0.2583115077530652,0.4167115630584863,0.6830977173829049,0.43351425118716946
54,0.6326343968948078,0.44535402660139717,0.29233749029907624,0.24208999756276192,0.5501346563540486,0.6287383908812845,0.4652148264322294
55,0.3800606847240533,0.40371085696494097,0.2800252731912772,0.29293369281516346,0.37788554567336463,0.8657127389247936,0.4333881320489322
56,0.6744107176691945,0.45988033001681666,0.30269785559944995,0.35462555398524764,0.6853411389265769,0.6628954102383064,0.5233085010725986
57,0.7921392397275496,0.6776186140147917,0.34141473802482725,0.27630668296690886,0.4743760921276945,0.7415835730870552,0.5505731566581379
58,0.44301325797019947,0.5912065324878322,0.2828536231097666,0.25324066817279633,0.44507310868057715,0.7011196296142373,0.4527511366725682
59,0.6932172467188695,0.6571279402706193,0.28368183723610296,0.3800695477737517,0.6466502434993591,0.8740652390645557,0.5891353424272097
60,0.6812893766963669,0.5467126974331236,0.28621026293820784,0.2791029074746288,0.5544925231627967,0.896705037662879,0.5407521342280005
61,0.7915961473222786,0.443070069586144,0.28279465122733694,0.48006006150675706,0.3941526432968902,0.9335017413431232,0.5541958857137549
62,0.5221762438799965,0.5217591599113351,0.26229305244202666,0.34761333295219704,0.4731095767344827,0.6098028370696129,0.4561257004982752
63,0.5310383808418632,0.4966753394695132,0.2761409005654113,0.23390016778041892,0.4531400716754326,0.8285522398065494,0.46990785002319807
64,0.6029848717886123,0.46246011703901907,0.3307685095981517,0.24959371185194232,0.46062547290970624,0.7329249568038576,0.4732262733318815
65,0.8540676519166741,0.5763315959076971,0.40057848343510916,0.3240522090943188,0.5298216407622984,0.922206361192245,0.6011763237180571
66,0.7367522429386105,0.5040295220791162,0.2930408756420165,0.3422978266040778,0.4953558004343274,0.79483343387697,0.527718283595853
67,0.6011001846281209,0.4410132423809452,0.25149555191055983,0.25537203625307153,0.5801669148066021,0.7351455181912118,0.4773822413617519
68,0.5397617646829018,0.47060919609649177,0.2895624628499578,0.3036875773192209,0.5448955214092406,0.8356835246126636,0.4973666744950794
