Num,Q_1,Q_2,Q_3,Q_4,Q_5,Average
1,1.0,0.8509213759015224,1.0,1.0,1.0,0.9701842751803046
2,0.8509943050429889,0.4841837898893998,1.0,1.0,0.7834621407410608,0.82372804713469
3,0.5671500535378942,1.0,1.0,1.0,1.0,0.9134300107075788
4,0.8059896242623047,1.0,1.0,1.0,0.9921964597446034,0.9596372168013817
5,0.566361641107733,1.0,1.0,0.7643931521303149,1.0,0.8661509586476095
6,0.770923047048341,1.0,1.0,0.6710659378611045,0.8006349428053549,0.8485247855429601
7,1.0,1.0,1.0,0.8771993699848532,0.9072160076992869,0.956883075536828
8,0.8820460450951709,1.0,1.0,1.0,1.0,0.9764092090190342
9,0.8060618260939233,1.0,1.0,1.0,1.0,0.9612123652187847
10,0.7125046385087663,1.0,1.0,1.0,0.9759493357910383,0.9376907948599609
11,1.0,1.0,1.0,0.5349356538352187,0.7535759768487637,0.8577023261367964
12,1.0,0.9298314610710148,1.0,1.0,1.0,0.9859662922142028
13,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,0.8023203224159661,1.0,1.0,0.7852585340983121,0.9175157713028556
15,0.7365980921215605,1.0,1.0,1.0,1.0,0.9473196184243122
16,0.9773219572390308,0.7791154646412265,1.0,1.0,0.7733786549790965,0.9059632153718707
17,1.0,1.0,1.0,1.0,1.0,1.0
18,0.5616083390296034,0.9720994976549049,1.0,0.9860497488274522,1.0,0.903951517102392
19,0.7139365302874289,1.0,1.0,1.0,0.8948968950404995,0.9217666850655857
20,0.7625992840307935,0.9719003290693992,1.0,1.0,0.9740388337666745,0.9417076893733733
21,0.9883122558803021,0.7792686172355309,1.0,0.8800590328818233,0.8034709734054103,0.8902221758806134
22,0.9708524435940707,1.0,1.0,1.0,0.8732688386291347,0.968824256444641
23,0.7412040595538313,1.0,1.0,1.0,0.9746541004057743,0.9431716319919211
24,0.6248014721648674,0.421811306959365,0.8968303116799207,0.47651825307443163,0.815605521342959,0.6471133730443087
25,1.0,0.9745933304068013,1.0,1.0,1.0,0.9949186660813603
26,1.0,1.0,1.0,0.8960673065890029,1.0,0.9792134613178007
27,0.9774152222499641,0.9732347681144229,1.0,0.9563660069857077,0.7825977858200783,0.9379227566340347
28,1.0,0.5262164173801605,1.0,1.0,1.0,0.9052432834760321
29,1.0,1.0,1.0,1.0,0.8942106996521877,0.9788421399304376
30,0.3912502217723899,0.41086294446623634,1.0,0.7189542907629998,1.0,0.7042134914003253
31,0.679534226632616,1.0,1.0,1.0,1.0,0.9359068453265232
32,0.9726621932014967,1.0,1.0,1.0,0.8046988037550595,0.9554721993913112
33,0.9019859674260408,1.0,1.0,1.0,0.9799619067775498,0.9763895748407181
34,1.0,1.0,1.0,1.0,0.9810561287412523,0.9962112257482504
35,1.0,1.0,1.0,1.0,1.0,1.0
36,0.7508333266583821,1.0,1.0,0.5812160713238514,0.8581078938050372,0.8380314583574542
37,0.6344038873293872,0.9478628073532516,1.0,0.9739314036766268,1.0,0.9112396196718532
38,0.8344041736439468,1.0,1.0,1.0,0.8522258432840811,0.9373260033856056
39,0.7796659199408829,1.0,1.0,1.0,0.884312694373175,0.9327957228628115
40,0.6311137365338306,0.45864956006345003,0.9448222883697659,0.18579580648692404,0.7191123922919602,0.5878987567491861
41,0.9547538011243777,1.0,1.0,1.0,1.0,0.9909507602248755
