Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Average
1,1.0,0.2611831720276292,0.26455737857587,1.0,1.0,1.0,0.7911249316651034,0.5190002002798351,0.7294832103185547
2,1.0,1.0,1.0,0.39072946553414817,1.0,0.6162051070908651,1.0,1.0,0.8758668215781267
3,1.0,0.1935574048459508,1.0,1.0,1.0,0.8763577234618078,0.2468618577674452,0.8904338535200457,0.7759013549494063
4,0.9056407268796817,1.0,1.0,1.0,1.0,0.9424792259597713,0.9541846361855866,0.7436627486677099,0.9432459172115937
5,1.0,0.9860751071434045,0.9772321316764208,0.7732980362175195,1.0,0.9859998679625376,0.8472593417086536,0.6290896951504812,0.8998692724823771
6,1.0,1.0,1.0,0.5578635166967744,0.7099074148716239,0.9974902508819012,1.0,1.0,0.9081576478062874
7,1.0,1.0,1.0,0.6877975100801468,1.0,0.7593492068770213,0.3761899427682904,1.0,0.8529170824656823
8,0.38802633160218614,0.7825845271613159,0.7622687493209201,0.8615154823994211,1.0,1.0,1.0,0.5300885565101591,0.7905604558742503
9,1.0,0.7359833748310369,1.0,1.0,0.6864346177463122,0.6453267682381418,0.5638095223950099,0.9305288090577892,0.8202603865335364
10,1.0,0.3188188399034961,0.9263161912271263,1.0,0.9723629646575976,0.4936564370720725,0.9246547453074441,0.5425166888286517,0.7722907333745486
11,0.7410610416008231,0.8640548124929869,1.0,1.0,1.0,1.0,0.4644592501266308,0.7703184503367965,0.8549866943196548
12,1.0,0.3614229199515853,1.0,1.0,1.0,0.8436388804242296,1.0,0.3192820775738913,0.8155429847437133
13,0.9862251921685184,1.0,0.816911351359154,1.0,1.0,0.824213522629516,0.6036704814869908,0.7583059355698147,0.8736658104017493
14,0.6128507783126833,1.0,1.0,0.4722313069215367,1.0,0.9822892881563711,0.7146013598641601,0.7017655945336243,0.810467290973547
15,0.5976173743260177,1.0,1.0,0.7958589102117546,1.0,0.3201464779972606,0.8126002489522308,0.819549894518447,0.7932216132507139
16,0.8943107894971912,0.45446007440185493,1.0,1.0,1.0,0.3678310074808804,0.24687969976445212,0.9781981355439267,0.7427099633360383
17,0.4765946897150412,1.0,1.0,1.0,1.0,0.9739495639571772,1.0,0.9715236736307642,0.9277584909128728
18,1.0,1.0,0.8609640956632167,0.6831512536996962,0.9826138561819271,0.8586221547736759,1.0,0.9993842499044293,0.9230919512778683
19,1.0,1.0,1.0,0.6225866237716873,0.9738321925436974,1.0,1.0,1.0,0.9495523520394231
20,0.22851561388241942,1.0,1.0,0.954115047023199,1.0,0.7013486815539394,0.5825854020509067,0.9925867123932984,0.8073939321129703
21,0.946920834536726,0.7890142068928803,1.0,1.0,0.7018053957920983,1.0,0.7008323865158458,0.5357722276721184,0.8342931314262086
22,0.23733573506293423,0.6800176469389868,0.9721038487517363,1.0,0.9204861194333448,0.6221123549379828,0.9800274087468931,0.362462092706831,0.7218181508223387
23,0.686588954813959,1.0,1.0,0.44369105234095485,1.0,0.7234758389255048,0.7529708017420307,0.7925810921483326,0.7999134674963477
24,1.0,0.6453409259837634,1.0,0.6818654475178392,0.8757509747275724,1.0,0.5856105784973796,0.8797984707316004,0.8335457996822694
25,1.0,1.0,0.0,0.40720037638658046,1.0,0.8943760347897485,0.9247933601967226,0.6990594549388669,0.7406786532889899
