Num,R_1,R_2,R_3,R_4,R_5,R_6,Average
1,0.5152902520786624,0.5218946786263248,0.3551057922076376,0.6357388483202723,0.7507321648371907,1.0,0.6297936226783479
2,0.0,0.4165315359129517,0.6321480595239282,0.6661986306099147,0.4490489446962767,1.0,0.5273211951238452
3,0.17536131503867167,0.6092304036925272,0.864130628458031,0.6854718521438359,0.7953297593318716,0.9424012781396703,0.6786542061341013
4,0.33464797570049815,0.391257624975695,0.36234342490717864,0.5621772665034667,0.7735367434362691,0.8417114638449014,0.5442790832280014
5,0.21387108607907948,0.4740473343676178,0.5660140418343317,0.5804800564500122,0.5142951770659605,1.0,0.5581179492995002
6,0.2772035522943726,0.43133768127480093,0.8445196441689184,0.7353631832656234,0.9505165288188339,0.85221887614749,0.6818599109950066
7,0.2385640706938688,0.3862111996386036,0.9581659224901136,0.6599899774251212,1.0,0.8451560573953933,0.6813478712738501
8,0.36417986162635985,0.2553973367467978,0.45466531719917447,0.63642228650361,0.9217885232327984,1.0,0.6054088875514568
9,0.47792308506217746,0.6670821824414278,0.7321619618490582,0.736474489534238,0.8883348604213337,0.7666020658024792,0.7114297741851191
10,0.34213634826917455,0.3616745992468466,0.9169831481807307,0.9236226907921558,0.7320919237243846,0.8840433532187076,0.6934253439053334
11,0.4636044902753478,0.447315425072168,0.48215278936532935,1.0,1.0,1.0,0.7321787841188074
12,0.31925937177679187,0.7276891516467648,0.4110486116240417,0.7266908044067806,0.5906798142000917,0.923366392257857,0.6164556909853879
13,0.1890532633279266,0.8047675962270636,0.6330256959918128,0.6066208225990166,0.7855550993613044,0.9942200372122968,0.6688737524532368
14,0.42060249270824623,0.885562534929447,1.0,0.5945252348078024,0.7458490669030517,0.9415283355181769,0.764677944144454
15,0.26364245074422893,0.7224267174117035,0.5641004562875924,0.7419146681681643,0.8135739016906874,0.8406300621526965,0.6577147094091789
16,0.42993337183513763,1.0,0.4107885300671529,0.9021217124729591,1.0,1.0,0.7904739357292083
17,0.2836061545649949,0.4867215461557908,0.6313566344995178,1.0,0.9889513409194901,1.0,0.7317726126899656
18,0.2923672416030415,0.491120202349345,0.5766593255687839,0.7241380161194683,0.8779797982916225,0.571703195477473,0.5889946299016223
19,0.5143057832234947,0.32043398217540026,0.5247912870769299,0.9862341765821997,1.0,0.8756172309030958,0.7035637433268533
20,0.21271874991129258,0.1715913224099235,0.5581205663435131,0.7680133948124326,0.7546751941803949,1.0,0.5775198712762594
21,0.28044027630835056,0.7431685246028562,0.8681323313882374,0.6397374194780827,0.8906896196393091,1.0,0.7370280285694726
