Num,Q_1,Q_2,Q_3,Q_4,Average
1,1.0,0.4870426851870979,0.5007807879268983,0.8339799927982813,0.7054508664780693
2,1.0,1.0,1.0,1.0,1.0
3,2.1999966999808322e-5,0.0,3.7999943000022185e-5,1.8999971500288648e-5,1.974997037502979e-5
4,0.7917593789150782,1.0,1.0,1.0,0.9479398447287696
5,0.8301861775350536,0.8687639999618643,1.0,0.9499907360086746,0.9122352283763981
6,1.0,0.9154800165747725,1.0,0.9187141998175593,0.9585485540980829
7,0.5491286399757848,0.5697872606682616,0.8303969430020375,0.43354566867537747,0.5957146280803653
8,0.221411494038694,0.5401702617478329,0.68690009818932,0.6819730359319143,0.5326137224769403
9,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,0.9180642655884282,1.0,0.9795160663971071
11,1.0,0.827773890489816,0.49982302026792186,0.990408635315953,0.8295013865184228
12,0.5766957772828405,0.6464792146727488,1.0,1.0,0.8057937479888974
13,0.5762813621102212,0.6741656588590206,0.0033522443871925045,0.32558916093030466,0.39484710657168476
14,1.0,0.78665470901738,0.7350247055122019,1.0,0.8804198536323955
15,0.6567677890298882,1.0,1.0,1.0,0.914191947257472
16,1.0,0.9174042634804299,1.0,1.0,0.9793510658701075
17,1.0,0.827773890489816,0.49982302026792186,0.990408635315953,0.8295013865184228
18,1.0,0.9700599466787709,0.8235302285192794,0.8801275043528108,0.9184294198877153
19,1.0,0.8674789291379378,1.0,1.0,0.9668697322844845
20,0.8836435656678023,0.826439764534341,0.5007614874711377,0.9895596430564898,0.8001011151824426
21,1.0,1.0,0.8656074464059995,0.7751502663374401,0.9101894281858599
22,1.0,0.7118443855838615,1.0,1.0,0.9279610963959654
23,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,0.9180642655884282,1.0,0.9795160663971071
25,0.7033838862726086,0.7139655993827287,0.6596693993957314,0.27026702168407857,0.5868214766837868
26,0.8301861775350536,0.8687639999618643,1.0,0.9499907360086746,0.9122352283763981
27,1.0,0.9700599466787709,0.8235302285192794,0.8801275043528108,0.9184294198877153
28,0.46098577876973784,0.7485952756019056,1.0,0.7742845753638994,0.7459664074338856
29,3.999993666625733e-5,0.0,0.0,3.5833276596231034e-5,1.895830331562209e-5
30,0.8858217715343844,0.7836235857401241,0.873046322918656,0.6545079749879629,0.7992499137952819
31,0.34674517446539643,0.602338412018798,0.2631910887532929,0.6023503062083287,0.453656245361454
