Num,R_1,R_2,R_3,R_4,Average
1,0.7626565316268499,0.3714462850390197,0.5350464347591443,0.8275206383672921,0.6241674724480765
2,0.40491940388192693,0.4855140399299932,0.4271476528690174,0.5377690157723644,0.46383752811332546
3,0.5000000000063081,0.0,1.0,0.5000000000073042,0.5000000000034031
4,0.4176229316049466,0.37879348076006397,0.37879348076006397,0.44582953438049705,0.4052598568763929
5,0.5948239525843724,0.8128820404291365,0.7213431897950546,0.5700221011422003,0.6747678209876908
6,0.5592771540690515,0.5694204360504591,0.6219781391823527,0.5353100345522522,0.5714964409635289
7,0.5488993599933449,0.5518341385216059,0.5588482723873499,0.6181089629420452,0.5694226834610865
8,0.1860797142723886,0.5680764440025876,0.7021957886721875,1.0,0.6140879867367909
9,0.44128441006548863,0.4917993817055131,0.41706682751759333,0.34840977284034047,0.4246400980322339
10,0.4996216251776983,0.5676720473880309,0.7221745695706132,0.6017234725799334,0.5977979286790689
11,0.47274351468505765,0.5166297590647236,0.2362880913219581,0.5946830906058767,0.455086113919404
12,0.4024517232406637,0.5433566876989089,0.8218054858217574,0.5776553734586886,0.5863173175550046
13,0.6551379550002632,1.0,0.003810955336893837,0.5587820286134514,0.5544327347376521
14,0.6280114556455293,0.5495597465725639,0.4719323802623861,0.5510637612910015,0.5501418359428702
15,0.5388124433574855,0.6215899117795022,0.619859377925858,0.5460898590380986,0.5815878980252361
16,0.5581580883252166,0.5303774922849651,0.4372095801096304,0.482942099024498,0.5021718149360775
17,0.47274351468505765,0.5166297590647236,0.2362880913219581,0.5946830906058767,0.455086113919404
18,0.637923654364374,0.6799920467048135,0.7353960830768541,0.5094695131744462,0.640695324330122
19,0.5310927782174182,0.5300195663611285,0.3715704226737345,0.4174566395752957,0.4625348517068942
20,0.5246027753366723,0.48876381826564663,0.23683276465327308,0.870409279053583,0.5301521593272938
21,0.6894057556102909,0.6519733472680416,0.5643529842534614,0.6302861047968068,0.6340045479821501
22,0.520587665858459,0.4333104011865555,0.40819009118006444,0.5718429726031399,0.4834827827070547
23,0.6179459285496083,0.4313675348992472,0.6591672819600123,0.5013288187373571,0.5524523910365562
24,0.4996216251776983,0.5676720473880309,0.7221745695706132,0.6017234725799334,0.5977979286790689
25,0.629511084314024,0.5038114447116275,0.6195523338533169,0.47871930335998497,0.5578985415597383
26,0.5948239525843724,0.8128820404291365,0.7213431897950546,0.5700221011422003,0.6747678209876908
27,0.637923654364374,0.6799920467048135,0.7353960830768541,0.5094695131744462,0.640695324330122
28,0.27097912401369345,0.585256979224451,0.6624048234396345,0.6979623533216063,0.5541508199998463
29,1.0,0.0,0.0,1.0,0.5
30,0.6411407966189018,0.7840715530828599,0.6987565236855481,0.7719603544179763,0.7239823069513215
31,0.381065343234993,1.0,0.2892412352292851,1.0,0.6675766446160696
32,0.5246027753366723,0.48876381826564663,0.23683276465327308,0.870409279053583,0.5301521593272938
33,0.1860797142723886,0.5680764440025876,0.7021957886721875,1.0,0.6140879867367909
34,0.5388124433574869,0.46322021429312243,0.37114717356527316,0.5460898590380984,0.47981742256349524
35,0.4313675348992474,0.5392096891569362,0.6591672819600123,0.5013288187373577,0.5327683311883884
36,0.5236459702623348,0.392611224648139,0.5606097011601887,0.6448375493774567,0.5304261113620299
37,0.4996216251776983,0.5676720473880309,0.7221745695706132,0.6017234725799334,0.5977979286790689
38,0.3441684806792727,0.3539459238606694,0.5940899043605318,0.29172372196007673,0.3959820077151377
39,0.5388124433574855,0.6215899117795022,0.619859377925858,0.5460898590380986,0.5815878980252361
40,0.39460086711887005,0.6062029211670499,0.22334296719010036,0.4416056105531014,0.41643809150728045
41,1.0,0.5476738424689698,0.6383573762901694,1.0,0.7965078046897848
42,0.637923654364374,0.6799920467048135,0.7353960830768541,0.5094695131744462,0.640695324330122
43,0.4934643374989373,0.6553644032427584,0.5262204852090072,0.5331742956112433,0.5520558803904866
44,0.47062601126264786,0.6006628242995526,0.70953675083441,0.4778214834850465,0.5646617674704142
45,0.6862640434958652,0.7412898298775914,0.5521565740983627,0.4195818653868536,0.5998230782146683
46,0.5258708827760614,0.5253724019793694,0.4259840667646979,0.7744902282134429,0.5629293949333929
47,0.4774634468912972,0.5598038657626206,0.770530482176848,0.516232823132808,0.5810076544908935
48,0.19466458710903273,0.6621535859350453,0.5277056341254628,0.43251216405058324,0.454258992805031
49,0.44611723730745156,0.3893337690203447,0.511326101110707,0.35245890015762565,0.42480900189903226
50,0.644851343300915,0.6292195861622434,0.7705304821768478,0.5162328231328087,0.6402085586932037
51,1.0,0.0,0.0,1.0,0.5
52,0.644851343300915,0.6292195861622434,0.7705304821768478,0.5162328231328087,0.6402085586932037
53,0.0,1.0,0.0,1.0,0.5
54,0.637923654364374,0.6799920467048135,0.7353960830768541,0.5094695131744462,0.640695324330122
55,0.5160999453320245,0.13449423175084763,0.6987565236855491,0.771960354417976,0.5303277637965993
56,0.7165969560602561,0.5592958485115884,0.5268287966515343,0.5219923581738548,0.5811784898493084
57,0.6301235488400015,0.5821049485991396,0.873631653260104,0.811752246330122,0.7244030992573417
58,0.6301235488400015,0.5821049485991396,0.873631653260104,0.811752246330122,0.7244030992573417
59,0.7597579328245784,0.6992286683266916,0.6232650788985143,0.5513529665361845,0.6584011616464922
60,0.31153055879052793,0.33055182223992696,0.7221745695706128,0.6017234725799327,0.49149510579525013
61,0.5388124433574855,0.6215899117795022,0.619859377925858,0.5460898590380986,0.5815878980252361
62,0.5488993599933449,0.5518341385216059,0.5588482723873499,0.6181089629420452,0.5694226834610865
63,0.5592771540690515,0.5694204360504591,0.6219781391823527,0.5353100345522522,0.5714964409635289
