Num,F_1,F_2,F_3,F_4,F_5,Average
1,0.7867271201078627,0.7072450397781876,0.6563787030399031,0.9488818534884762,0.5653003198402973,0.7329066072509454
2,0.628166980310014,0.6872421830747834,0.15583530356682865,0.5124536792753944,0.6425440118722623,0.5252484316198565
3,0.6627860115997461,0.7834733293351319,0.657070082110546,0.7670224034747622,0.825267108714231,0.7391237870468835
4,0.9304820477402329,0.6063012985120918,0.5818411575234563,0.6115987781009269,0.7101044465140192,0.6880655456781455
5,0.16414512127097253,0.1564989408854616,0.8800817746320679,0.8132051426915061,0.5544119032883242,0.5136685765536665
6,0.13082733932603124,0.14597230674518014,0.569282351317356,0.6631667801770781,0.7595496231678742,0.4537596801467039
7,0.633986752501125,0.7877028226127313,0.6799740380313585,0.8467622440324251,0.7435916994151411,0.7384035113185562
8,0.660194415557398,0.6166758382382328,0.3646871584247143,0.5487759076422045,0.8610671081368555,0.610280085599881
9,0.7927391574653923,0.8622179326356629,0.5539565731126744,0.8033127814869551,0.7509547962168829,0.7526362481835135
10,0.8514114704594056,0.9467264042737636,0.6780032125152231,0.8991768884150295,0.4946830639874713,0.7740002079301787
11,0.8564047406599058,0.5752802513858861,0.5901450095121521,0.5921445902455059,0.5075881145826636,0.6243125412772227
12,0.32156957930932606,0.8019424972679419,0.46065339295420604,0.9027540961996559,0.5946294881827783,0.6163098107827816
13,0.6848405773644416,0.4937245817546941,0.35854043920438844,0.45021347601319434,0.8774262531678833,0.5729490655009204
14,0.897462606756197,0.6936812975582081,0.5321738882831176,0.8580640063965185,0.6271563551919019,0.7217076308371887
15,0.7295489660100621,0.7715438604995619,0.5541195378514308,0.7225745294943218,0.5888537846014665,0.6733281356913687
16,0.7370091325743938,0.6816358629966588,0.39578733586985243,0.13980299265694254,0.7600584988931047,0.5428587645981905
17,0.773569105471938,0.4219726449755562,0.45742381673579796,0.7301688827927546,0.6667742637724953,0.6099817427497084
18,0.8376295419180353,0.4969609778796956,0.5845520450510141,0.7969134328314659,0.6787851446340555,0.6789682284628532
19,0.4549811014751283,0.597232892795452,0.3091399003810366,0.7910106195434845,0.7245549278869949,0.5753838884164193
20,0.6811950269174042,0.6306990885947169,0.5601465658353078,0.9484382003916862,0.557397621761249,0.6755753007000729
21,0.7060281368311144,0.6627419615134785,0.18066783400522438,0.5872069068971284,0.39688969385581707,0.5067069066205525
22,0.7609505749821023,0.7719553786416498,0.5239904618777231,0.6641296821749663,0.9564851779666861,0.7355022551286254
23,0.8563290428477368,0.6268571368218195,0.5550586522610458,0.7997466483108712,0.48126248510441344,0.6638507930691774
24,0.7621898424698665,0.05533969320307872,0.6013585289582496,0.6146083758526414,0.17725957814404983,0.44215120372557726
25,0.6727584494927206,0.6441738824113687,0.6514723498447776,0.8228444640214599,0.6499900325149391,0.6882478356570532
26,0.7809635043577909,0.5565814625513781,0.6047272962154268,0.8642558013964744,0.23095151253719887,0.6074959154116539
27,0.6681720450968291,0.7814824983627832,0.8894566699888741,0.3805114698859805,0.8029253099361128,0.704509598654116
28,0.49025386339859406,0.6486154545337941,0.23418892551851178,0.7498816920998511,0.6117554979006998,0.5469390866902901
29,0.9431509068041244,0.8641640088144956,0.5204452449154899,0.884757087017009,0.6917035723136677,0.7808441639729574
30,0.12290051919193215,0.7194610101571788,0.7366829120433513,0.7927011470776846,0.6785457824626563,0.6100582741865607
31,0.6421483318647601,0.7959828970198917,0.652732332594414,0.5565863446732116,0.788273686171166,0.6871447184646886
32,0.729436193600841,0.6167210128716233,0.6637437104832216,0.7697855130766501,0.9356517262649962,0.7430676312594664
33,0.7698410962348735,0.8394808096651023,0.44495579183062184,0.2935972649048415,0.5474576810607871,0.5790665287392451
34,0.5860699401515108,0.7981644893997261,0.7917582218495031,0.7587237090606344,0.586004013922002,0.7041440748766753
35,0.6931104547817929,0.4989596212285288,0.6253096421230843,0.774787087223783,0.9931983353720499,0.7170730281458477
36,0.086231390226714,0.6055616513795656,0.6564890123433162,0.6856791880350982,0.7607893446989937,0.5589501173367376
37,0.8054292985749131,0.4776453713784699,0.5857738079690537,0.8021216667816109,0.7101950886112941,0.6762330466630683
38,0.7892436798240532,0.0,0.44931404297339755,0.5947319049528006,0.9765773329163359,0.5619733921333174
39,0.6997448440237901,0.8099841497836646,0.6034157956088946,0.5753844081556486,0.7740143712146825,0.692508713757336
40,0.18902332957674373,0.5179393197293085,0.6121042665042087,0.3732632106501948,0.3686528140686839,0.41219658810582793
41,0.6362491180060273,0.8340732066516761,0.3883530187818839,0.8333692144195077,0.8274746648243849,0.703903844536696
42,0.8374719726260608,0.5675724573124549,0.05563862870370171,0.9451206965513191,0.3554535923136322,0.5522514695014337
43,0.44523378743112424,0.7394914757034031,0.297498761453672,0.663418956794554,0.5934198599637392,0.5478125682692985
44,0.3861338720835825,0.7581653596588906,0.6249489652073624,0.680232411162224,0.8439258660614778,0.6586812948347075
45,0.7555235451619016,0.7804038577343215,0.2617081878799145,0.6194884393281678,0.7023762792628093,0.623900061873423
46,0.7226224644131003,0.9086621689017678,0.37078443854713067,0.7614179627233837,0.6783459364046392,0.6883665941980043
47,0.5269180180576836,0.372028904895989,0.5191351650867421,0.5727137265864402,0.9288723847215815,0.5839336398696873
48,0.8377886292112221,0.37195622826809976,0.5931183956664607,0.0,0.37303438642393955,0.43517952791394443
49,0.5105049394776732,0.7932942627807495,0.6659756090308254,0.677848041647255,0.9293476822237128,0.7153941070320432
50,0.5024224791848562,0.6959233975268109,0.41583490977754406,0.5380506218751129,0.7500275112562486,0.5804517839241146
51,0.5401886939572254,0.530190570725358,0.5424062636479684,0.8927081738305637,0.7494636350124411,0.6509914674347114
52,0.6887383952273446,0.8016749379914118,0.7836173962809084,0.42262109012432053,0.7631166232866516,0.6919536885821274
53,0.6932611064164647,0.6209815852765331,0.5609306348269404,0.8369981618565212,0.5607141120407663,0.654577120083445
54,0.6580747115132303,0.7422544756515949,0.6028558212358388,0.6056909358073921,0.7963092944656965,0.6810370477347505
55,0.810293330552775,0.8286683908600978,0.4366764265022139,0.7532022316061393,0.5145921426977571,0.6686865044437965
56,0.4881191617872716,0.6687802989423741,0.6149709006746986,0.6622292106499473,0.641195672686301,0.6150590489481186
57,0.0,0.9085978301955959,0.4759804860078426,0.2685834607538157,0.3687149835647306,0.40437535210439696
58,0.6893104969956881,0.6609662124995594,0.45906834089545434,0.6591603673607576,0.3696688263180706,0.567634848813906
59,0.884087131321508,0.8256239592356635,0.5933514023459827,0.5594368082635203,0.5748572532027216,0.6874713108738792
60,0.3973054817172379,0.6265573210706451,0.6557548774671195,0.5502165681503469,0.7111313297343784,0.5881931156279456
61,0.719888734059941,0.5081512869613106,0.38358096787945906,0.46490983741321984,0.8177786366546226,0.5788618925937106
62,0.6544643856467489,0.7795031730309744,0.5258016611478914,0.8054689908975118,0.8719746741254503,0.7274425769697154
63,0.9073490202891099,0.9485981679838693,0.5216224354691654,0.8603840509517776,0.531900635821267,0.7539708621030379
64,0.7652373701303811,0.13723399660761898,0.5514508574468789,0.7622985412868232,0.9417254678850879,0.6315892466713581
65,0.686048642043969,0.7320638148987408,0.42415236144142504,0.8500925225764311,0.9500993732038925,0.7284913428328916
66,0.5714883983789142,0.6470523735547249,0.6760284324000754,0.6866212412898647,0.47993274158326954,0.6122246374413698
67,0.6611687250119117,0.7174653514897634,0.34816583825934894,0.7324906242541251,0.6646061209835644,0.6247793319997428
68,0.5921740704893613,0.5659159865874823,0.5417717415152724,0.559701910108668,0.7076312415072414,0.5934389900416052
69,0.7251388759648523,0.6785214912039449,0.7440066309094253,0.6599469776979433,0.1651041709986684,0.5945436293549669
70,0.514377068470076,0.5763999035898331,0.5910407205223662,0.7789512555040286,0.7708016334649151,0.6463141163102437
71,0.950053085095273,0.4788374824770056,0.7835317759458634,0.7409907505894157,0.732454845669697,0.737173587955451
72,0.6659058675937023,0.4227254704005539,0.16821458918286933,0.5833261165176467,0.27352027942577806,0.42273846462411
73,0.4167810954875987,0.7288741429146319,0.5740474633597569,0.5245408787087719,0.5717043071029728,0.5631895775147464
74,0.45246897760070093,0.7073307961812326,0.6096233923543549,0.6039765983148296,0.6309682077637797,0.6008735944429795
75,0.5788011350425987,0.48868649416221904,0.32485941911491306,0.8633545327270618,0.9000709768050679,0.6311545115703721
76,0.5796347264789286,0.5657170737168778,0.29426821545312126,0.5635052460464445,0.5366510326869142,0.5079552588764572
77,0.28107435081727017,0.0,0.10908048024155834,0.2052447234068135,0.35485888848500974,0.19005168859013036
78,0.740210364860732,0.6093878329616397,0.4466316953606509,0.5501416693911902,0.7303301984428212,0.6153403522034068
79,0.6394072841793454,0.22778249659361313,0.4239020369719222,0.7337161541329477,0.6580084790425863,0.5365632901840829
80,0.6136697032188576,0.6750868409649249,0.35920882676557836,0.8612045259335651,0.9125008263830932,0.6843341446532039
81,0.6265538723310883,0.5766343768685673,0.45110113731924506,0.9851677244168412,0.5840929415231381,0.644710010491776
82,0.8374035341456068,0.8729228566581797,0.16675903151452603,0.7012698821797196,0.5284797676632984,0.621367014432266
83,0.8628265208010262,0.8797057215289493,0.8988335566279229,0.8084326318120251,0.4568762181687739,0.7813349297877396
84,0.7786948602830228,0.8396032638061558,0.550120830854972,0.403322602135756,0.537882748623316,0.6219248611406446
85,0.7370623690150989,0.7736414913469661,0.4461856031291852,0.6931624876613923,0.7035759115057965,0.6707255725316877
86,0.7822403115927616,0.8547423288994699,0.6073113901371706,0.798848018475451,0.3594495327744435,0.6805183163758592
87,0.8294046805610413,0.6614300866668797,0.11425539648068829,0.807505308279622,0.22217880419727176,0.5269548552371006
88,0.5385812528485765,0.6134033408314027,0.06026688811007738,0.6792114157434214,0.7324450943723072,0.524781598381157
89,0.5035231009441071,0.2972946202446728,0.44773182197930395,0.5065899026191172,0.7255474647478322,0.4961373821070067
90,0.45069783763100707,0.6349772105217928,0.7032630385188426,0.7153057989812679,0.6343645760716201,0.6277216923449063
91,0.7979408932434885,0.6668237060865011,0.49732431055896303,0.29014816687284495,0.5352501369362092,0.5574974427396013
92,0.36795086157694096,0.0,0.6848762072536839,0.7359716986620317,0.3670549134642216,0.4311707361913756
93,0.8460993508078786,0.504697839755016,0.478211354330979,0.9605251335180174,0.9083667593463358,0.7395800875516454
94,0.4757563046110975,0.575303554170594,0.4709065923130619,0.9238428263240153,0.8037426027145518,0.649910376026664
95,0.7951116678556664,0.8240457577229142,0.6751460161440703,0.5024984842263077,0.46436448952925974,0.6522332830956437
96,0.6868008182245369,0.5567111135515413,0.4041036686019465,0.6091959899760997,0.6270093652353099,0.5767641911178869
97,0.438979837675612,0.713800761272754,0.46970675069037837,0.6628722771638712,0.1990076557311063,0.4968734565067443
98,0.9544375145370824,0.5370582674106771,0.0,0.6120276859441887,0.7435467920853175,0.5694140519954531
99,0.7370869110191649,0.22222543504558706,0.46478709876607177,0.768186100346103,0.6787703151245439,0.5742111720602942
100,0.8231007162821063,0.6329783167328059,0.8155518615043487,0.6938497283520875,0.5177707381642325,0.6966502722071162
101,0.5942453497516079,0.4803414990758108,0.5499700026010447,0.5509890929382568,0.7016252299665581,0.5754342348666557
102,0.1637636396735709,0.0,0.734554545977605,0.9319294927282475,0.532821674001679,0.4726138704762205
103,0.4991868271250761,0.8441392857548323,0.6573586602970048,0.7136139981079868,0.08480856277280498,0.5598214668115411
104,0.5885099127180204,0.505703241969562,0.8309348193549865,0.6891874885771507,0.6538316889491216,0.6536334303137682
105,0.5860489976968836,0.6775222624512577,0.4130372556710312,0.4974649314007521,0.7390126279382258,0.58261721503163
106,0.263655030794095,0.7397182764424391,0.23919290675656255,0.7794478113621356,0.5739804249984612,0.5191988900707388
107,0.6234249075635083,0.7448511539169149,0.5538645708537897,0.6922509489098778,0.6891906172089636,0.6607164396906108
108,0.3420058566395699,0.0,0.217309636183674,0.7362105767658714,0.8385866561100047,0.426822545139824
109,0.7962859596632038,0.551987289396759,0.5010941956169015,0.6535050117248836,0.31168387025365457,0.5629112653310805
110,0.7490851923417362,0.7013846509450198,0.5387464495157513,0.7097035948562159,0.7488333723931021,0.6895506520103651
111,0.5377730167848633,0.8712902555796006,0.2451853094173972,0.2084399849964364,0.385631413426506,0.4496639960409608
112,0.6725811086919111,0.4802361956329894,0.5504445036731956,0.6012373861561778,0.37293672839730585,0.535487184510316
113,0.7306860893305392,0.6859502895474419,0.48950670375224986,0.9614492192620482,0.6695455608264941,0.7074275725437545
114,0.8667970822983398,0.5534357991079148,0.6133075560138062,0.5759918941345731,0.8964928517326476,0.7012050366574563
115,2.8571020413229668e-5,0.3737092521685768,0.5072594592586805,0.6722651419186393,0.6285605668301744,0.43636459823929685
116,0.6042438026901035,0.6240361448927709,0.480236538932203,0.624036144892771,0.6588019625780523,0.5982709187971802
117,0.6926316990195349,0.7073209428497711,0.6136316344645997,0.5275305463390905,0.550434004951178,0.6183097655248349
118,0.6008514936480286,0.560418923980819,0.3932446778728977,0.7589584813696375,0.8505463285846703,0.6328039810912106
119,0.5582202016584155,0.7300912010762162,6.666444451858273e-5,0.09175976775018309,0.7520896653719882,0.4264455000602643
120,0.7594701508155397,0.5861786168323089,0.7550718512874437,0.7947411521101616,0.5429368886381342,0.6876797319367176
121,0.8839830231376944,0.5003841177233538,0.5116317425840708,0.7398811577697928,0.5775930520510127,0.6426946186531849
122,0.7435192836390889,0.6304897604609131,0.49748314702970786,0.7789823630766429,0.7913924511466114,0.6883734010705929
123,0.0,0.6640477814326697,6.666444451858273e-5,0.6130378453788703,0.48872144730258466,0.3531747477117287
124,0.6000512090276175,0.5074459907489854,0.5215324868294905,0.6222861742133957,0.9023765780737624,0.6307384877786503
125,0.8345646832728412,0.6732274623619227,0.3855326378784713,0.7139882784834327,0.6770508642731395,0.6568727852539615
126,0.7184915255268383,0.7015702761504975,0.28434585277772934,0.8808562560290383,0.7297852315450946,0.6630098284058397
127,0.8923135622111654,0.4044427608819631,0.35465121198878735,0.45378059506369434,0.7796464633907144,0.5769669187072649
128,0.9379079733101972,0.27543026170234913,0.7370077542605243,0.3244995690487276,0.8602502418585486,0.6270191600360693
129,0.5119525380913978,0.6060027362012971,0.7208639677799727,0.78639587733634,0.24042493913009239,0.57312801170782
130,0.8419218519357623,0.0,0.6802436143799534,0.7922185920421836,0.5422170049851838,0.5713202126686167
131,0.26939199405572195,0.7485228933194176,0.32117804762829794,0.8764699594852619,0.19082912772985458,0.4812784044437108
132,0.32223920338315637,0.2570645037463776,0.6734786088717676,0.6965065972236613,0.4648994548412294,0.48283767361323837
133,0.5511380951118863,0.6246119190625675,0.5167976563623863,0.8838886118024519,0.7691149378739285,0.6691102440426441
134,0.5452920864992025,0.6428814201831009,0.48531254046131783,0.5454246390730095,0.8153742949896338,0.6068569962412529
135,0.46757772673637815,0.5944472156592833,0.6909193702207684,0.509222594792734,0.6066082884856101,0.5737550391789548
136,0.7811592096496632,0.6931130611587747,0.4899881278810615,0.7983934343262621,0.20181823729173703,0.5928944140614998
137,0.7525739462538075,0.6841852460052911,0.661437736766134,0.710662024520183,0.9164837954162374,0.7450685497923305
138,0.7044913543212734,0.6099621376829977,0.46598413950107925,0.5578271534656998,0.7482355059597351,0.6173000581861571
139,0.4445530722626161,0.25363956277885896,0.760589428925445,0.6488205663342115,0.8695269607938115,0.5954259182189886
140,0.7840891574228097,0.9150331406703501,0.6701787193433475,0.33706437759698044,0.8018237806632822,0.7016378351393541
141,0.7920585019151831,0.6796068669752171,0.6983424712924695,0.7477201321756097,0.32153995945696856,0.6478535863630897
142,0.8429622593748344,0.5876254879621698,0.0,0.3739620662912487,0.5197119913937903,0.46485236100440863
143,0.5667433673178818,0.4237202688344378,0.437383877029743,0.7328346561442187,0.7197183999545255,0.5760801138561613
144,0.7126266783007132,0.6801805948702914,0.3341392618640266,0.6236011349801592,0.6812314383212921,0.6063558216672965
145,0.48962761223571916,0.546068906306355,0.010686341030120436,0.0,0.6017843735936863,0.3296334466331762
146,0.7955831407079534,0.5673742788098037,0.6482334707634051,0.6237103810881509,0.2896350785265715,0.5849072699791769
147,0.619562223095893,0.6573409026669897,0.4145336432021353,0.8617298429803124,0.9716008895548797,0.704953500300042
148,0.6868607614482625,0.6780929890362715,0.5317299625684666,0.5360827188663498,0.792365570474285,0.6450264004787271
149,0.865489875413769,0.7858252481861269,0.46383193029437036,0.5264880419632295,0.6611343188066723,0.6605538829328336
150,0.3250344399213751,0.6294905692864694,0.4389787951061981,0.6958039385782953,0.8006953567951265,0.5780006199374929
151,0.7843324880207194,0.506443409079698,0.7601281638283867,0.6587914593177188,0.6651208691555268,0.67496327788041
152,0.34122304899315303,0.595638937084003,0.04340867012485958,0.5563655027887925,0.6678994210061051,0.4409071159993827
153,0.040797565903268856,0.5557371529891083,0.7940895362283524,0.5881688420439163,0.5386290496979721,0.5034844293725237
154,0.6826755732117112,0.5030884437548917,0.48532779164326917,0.8199412843219924,0.5170656891414704,0.601619756414667
