Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Average
1,0.636965462491067,0.5218842235102658,1.0,1.0,0.6634241872134465,0.4406523550077184,0.7104877047037496
2,0.22886860146682828,0.9710267744554812,0.7533648906246795,0.2692551292050936,0.16155307752305614,0.5319133872286069,0.48599697675062425
3,0.8678532652063173,0.6854255806360978,1.0,1.0,0.8056805969046207,0.6511727818693985,0.8350220374360724
4,0.5881642633418145,0.7225412308384329,1.0,0.9754164880501828,0.804837667295603,0.8266724552479788,0.8196053507956687
5,0.4932024393749576,0.8386518779828491,1.0,1.0,0.5935881329597616,0.7893071673834406,0.7857916029501681
6,0.8358916167198074,0.8431722472601327,1.0,1.0,0.8910398793539763,0.7567452427238633,0.8878081643429634
7,0.9221757300337529,0.6400467383430447,1.0,0.6308778208967123,0.5977874156111745,0.5913631448654079,0.7303751416250154
8,0.8194479502017742,0.4844788475684614,1.0,1.0,0.7406287850068246,0.5834045004282168,0.7713266805342128
9,0.8477754192781215,0.7736206464558532,1.0,1.0,0.8850086365958539,0.7036530811119489,0.868342963906963
10,0.5514038596418294,0.6207186696107139,1.0,0.8858842451093881,1.0,0.6061009532201576,0.7773512879303482
11,0.33944698265296713,0.48838229751251766,0.37043297359378446,0.8914836875656793,0.6411313731464728,0.45623878900408876,0.5311860172459183
12,0.5879364306634476,0.7720867100918668,1.0,1.0,0.7982223342730228,0.7042853040441382,0.8104217965120792
13,0.6101510393587828,0.573131054260565,0.7440119369940125,0.056750787116569466,0.7212806306070173,0.4405821766444769,0.5243179374969039
14,0.4090561546719861,0.7567194674034172,1.0,0.0,0.8928826106637247,0.5562507051056783,0.6024848229741343
15,0.6596242039495068,0.5431490270339603,0.8389923157474171,0.32391786882078705,0.5365145357479075,0.6291308137436915,0.5885547941738783
16,0.4786602152531471,0.7128266892706014,0.13586488212997036,0.9208464463249809,0.5478168358407558,0.393373850228303,0.5315648198412931
17,0.35078781251887725,0.7009335418032869,0.6897103802265983,1.0,0.6874271265186237,0.5705269543293674,0.6665643025661256
18,1.0,0.8797706354701496,1.0,1.0,0.8249118568736462,0.8733843654948409,0.9296778096397729
19,0.9654530357754597,1.0,1.0,0.9317393753758304,0.817316626224756,0.6330222804389342,0.89125521963583
20,0.6139269189353784,0.2320180902695021,1.0,0.9140334525646138,0.7576448071895541,0.5811910343365022,0.683135717215925
21,0.8268942541009695,0.5697525638311318,0.9444305285629521,0.5881335353243778,0.5322595544043589,0.5820356312485434,0.6739176779120556
22,0.5253778941584518,0.5049594333285342,1.0,0.9005354193261396,0.5434278276749668,0.5450544233285891,0.6698924996361136
23,0.658869687974602,0.7858401721746235,1.0,1.0,0.6437820627891693,0.6879935202755612,0.796080907202326
24,0.7796179327654992,0.05044847141970149,1.0,0.8469585245260929,0.9292438800569218,0.6709751145331037,0.7128739872168864
25,0.32856214310629756,0.5493503095067648,0.4821586079452952,1.0,0.7065612843034357,0.5057020105750645,0.5953890592394763
26,0.45043353522570595,0.6560646073079757,1.0,1.0,0.7219676963460122,0.6382459638691743,0.7444519671248114
27,0.4101906348388769,1.0,1.0,0.957955734287289,0.9004386278762415,0.709670970061311,0.829709327843953
28,0.38115521597406693,0.6810114024489566,1.0,0.0,0.5169235083961364,0.5167159452863056,0.5159676786842443
29,0.0,0.39373203359625186,0.5262290937090288,0.8055938915313722,0.6636349687790801,0.4884864671562503,0.4796127424619973
30,1.0,0.820756025876165,1.0,1.0,0.8722167263532181,0.8355778530027804,0.9214251008720272
31,0.6123598194520354,0.5657406339531229,0.5051736596292475,1.0,0.8406634203740303,0.5618925831752712,0.6809716860972846
32,0.8247483108899428,0.9628778386966147,1.0,0.9100010421183774,0.5159472076181086,0.7120175522472486,0.820931991928382
33,1.0,0.7330225014933395,0.37042712690242285,1.0,0.8345567903432515,0.7018700038900209,0.7733127371048392
34,0.9612167703566891,0.46760974494256924,0.966008002466542,1.0,0.8392359788475214,0.6368493961269557,0.8118199821233797
35,0.5308516807014437,0.7795488333783984,0.9624707599387865,0.9477467884871678,0.6699551501647315,0.5308180567727343,0.7368985449072104
36,0.5917334247392794,0.7482834395610721,0.8422100066943203,0.34222667336098744,1.0,0.675092689604758,0.6999243723267362
37,0.7742206581263038,0.6572720576775861,1.0,1.0,1.0,0.7310652701704125,0.860426330995717
38,0.6614777863615127,1.0,1.0,1.0,0.4978026639736461,0.6438849669352755,0.8005275695450723
39,0.6336638087690817,0.747622655244668,1.0,1.0,0.9079182617961333,0.590907798818828,0.8133520874381185
40,0.6606954991396208,0.6203731599577944,1.0,0.6793862103781038,0.8806314714908117,0.6601074654304523,0.7501989677327972
41,0.33359324045821337,0.4840565262536914,0.1932391229105148,0.960071422442451,0.7095892018695381,0.4839299439709556,0.5274132429842274
42,0.39725684403683353,0.4642554605260413,0.9084311555703772,1.0,0.08051243069084196,0.4288003811292142,0.546542711992218
43,0.946367041136514,0.8288409296929452,0.8812454807096406,1.0,0.8032265083127298,0.7439745082766536,0.8672757446880804
44,0.3398228289443362,0.5878420078468072,1.0,0.7154103625003776,0.8734950869592677,0.6282760720827323,0.6908077263889201
