Num,P_1,P_2,P_3,P_4,Average
1,0.1174554698724406,0.0,0.5609914692947207,0.38017807886989013,0.26465625450926283
2,0.1468646816135973,0.43374547863236523,0.5279688503681536,0.7598391178380475,0.46710453211304087
3,0.5344773962467247,0.4276652543016702,0.09985489851680275,0.08558634158583124,0.2868959726627573
4,0.222533683056085,0.14815158492437047,0.4469881126864027,0.8623573828399927,0.42000769087671275
5,0.6076758420972691,0.944945062693472,0.4157597074276495,0.05875524165338997,0.5067839634679452
6,0.42925931778125564,0.4569784591030711,0.33463127694651706,0.46357999738995476,0.42111226280519964
7,0.0,0.4180974549797179,0.11288889415142313,0.34839448703307263,0.21984520904105342
8,0.0,0.08354532711594718,0.3516443465963474,0.35740896619248347,0.19814965997619452
9,0.4695469149593731,0.4046718532330259,0.5804311600185268,0.0,0.36366248205273144
10,0.25123173958655487,0.4830103054118859,0.7285715820779942,0.3513667805755765,0.45354510191300285
11,0.0,0.44751822515301637,0.0,0.6494276023701447,0.2742364568807903
12,0.15773476487139065,0.0,0.7321556526816966,0.0389350730796531,0.23220637265818508
13,0.3622738448346711,0.7036572374181981,0.0,0.26102942176385213,0.33174012600418035
14,0.0,0.13306671292179353,0.2082765755860703,0.23041180840041575,0.1429387742270699
15,0.4742791887558783,0.09166172724129061,0.4895944682975251,0.2347746418913344,0.3225775065465071
16,0.40134121359471625,0.4883350772057884,0.048500484245186465,0.3869449798758544,0.3312804387303864
17,0.0,0.44751822515301637,0.0,0.6494276023701447,0.2742364568807903
18,0.6250332713796334,0.8636523431865863,0.6496687897992351,0.26865188397693995,0.6017515720855987
19,0.3076436528586418,0.479982190862411,0.0376235942361594,0.6498815653252277,0.36878275082060996
20,0.456785393695544,0.3582615978269291,0.058824551480152185,0.6734111111289773,0.3868206635329007
21,0.5748319149489632,0.38259122908827203,0.7656961350335003,0.38961949559493625,0.528184693666418
22,0.25123173958655487,0.4830103054118859,0.7285715820779942,0.3513667805755765,0.45354510191300285
23,0.5006729306242819,0.09822928320564686,0.602622670069589,0.4312597605997626,0.40819616112482004
24,0.07675221144112603,0.5458471254245156,0.6907816202893066,0.21973708613851933,0.38327951082336686
25,0.653619494655293,0.04713046650982599,0.2869631136842172,0.2772144039328144,0.3162318696955376
26,0.48393227879825584,0.7544895666979713,0.5319669747523507,0.31903123629671826,0.522355014136324
27,0.6250332713796334,0.8636523431865863,0.6496687897992351,0.26865188397693995,0.6017515720855987
28,0.0,0.5831187118649496,0.39106021161814797,0.5006083811231484,0.3686968261515615
29,3.3333333332441484e-5,0.0,1.666666666668333e-5,1.4285714285728571e-5,1.6071428571213348e-5
30,0.15560692791754435,0.37375913546805956,0.1903991195056358,0.4452688709186287,0.2912585134524671
31,0.0,0.13306671292179353,0.0,0.23041180840041653,0.09086963033055251
32,0.36465476056741913,0.39054893874071145,0.006793444514458501,0.5856230976047935,0.33690506035684564
33,0.6250332713796334,0.8636523431865863,0.6496687897992351,0.26865188397693995,0.6017515720855987
34,0.0,2.499999999933111e-5,0.0,1.4285714285728571e-5,9.82142857126492e-6
35,0.0,0.048481313180984045,0.5793811849316965,0.14050795541741962,0.19209261338252503
36,0.19460864657357269,0.15240978110527897,0.7164198065371635,0.5670120483340169,0.407612570637508
37,0.1638868118436945,0.34495109808266355,0.7163060198495416,0.49584292095706456,0.430246712683241
38,0.36328604278440074,0.5621083839116533,0.773247256454295,0.07079097493615555,0.44235816452162613
39,0.6076758420972691,0.944945062693472,0.4157597074276495,0.05875524165338997,0.5067839634679452
40,0.0,0.7996122283246467,0.277448433758575,0.007727232853184979,0.2711969737341017
41,0.6235422562425663,0.052959377124101044,0.10893152442399844,0.34308919112200065,0.28213058722816664
42,0.6250332713796334,0.8636523431865863,0.6496687897992351,0.26865188397693995,0.6017515720855987
43,0.034297943365024786,0.0,0.12442287170626158,0.20190581283010345,0.09015665697534746
44,0.3428652032438877,0.0,0.12869075985858897,0.3128911640909627,0.19611178179835984
45,0.16603975426173387,0.8282091482866212,0.6563282050086826,0.05623491802726992,0.4267030063960769
46,0.30536373577779674,0.5970905434510994,0.07041120987299766,0.7578323608665887,0.4326744624921206
47,0.06123304481742754,0.14853470735619773,0.7656961350335024,0.38961235273779515,0.3412690599862307
48,0.3874338033392829,0.4522675510964728,0.1503502903097045,0.42053153573427693,0.35264579511993427
49,0.2605434263449706,0.0,0.1375059251927,0.2019608298917341,0.15000254535735116
50,0.5748319149489632,0.38259122908827203,0.7656961350335003,0.38961949559493625,0.528184693666418
51,0.2656666792010638,0.0,0.10893152442399882,0.34308919112199915,0.17942184868676544
52,0.4217815477616643,0.2661218711839384,0.8250625425928622,0.5199591622249039,0.5082312809408421
53,0.0,0.6693453405443138,0.0,0.23041180840041495,0.2249392872361822
54,0.6250332713796334,0.8636523431865863,0.6496687897992351,0.26865188397693995,0.6017515720855987
55,0.4374830990634218,0.0,0.2559331393228933,0.32274963467315604,0.2540414682648678
56,3.3333333332441484e-5,0.0,1.666666666668333e-5,1.4285714285728571e-5,1.6071428571213348e-5
57,0.0,0.0,0.6695736451059923,0.45627550687386115,0.28146228799496337
58,0.0,0.0,0.6695736451059923,0.45627550687386115,0.28146228799496337
59,0.18465136183061043,0.0,0.415520772253769,0.18704900197469795,0.19680528401476935
60,0.46369903281205943,0.0,0.7285715820779948,0.3513667805755765,0.38590934886640765
61,0.542272651865112,0.08848494187889965,0.6964351194315636,0.07860395242650363,0.3514491664005197
62,0.0,0.5659222378013988,0.5236866077327131,0.3407789823328599,0.357596956966743
63,0.536683766723402,0.3939556380357837,0.46797517312975545,0.6686594689726484,0.5168185117153974
64,0.6250332713796334,0.8636523431865863,0.6496687897992351,0.26865188397693995,0.6017515720855987
65,0.3622738448346711,0.7036572374181981,0.0,0.26102942176385213,0.33174012600418035
