Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Average
1,0.3423098692079938,0.2606222124690175,0.5804442421662903,1.0,0.7946915646095926,1.0,0.5518132290358073,0.6471258739269573
2,1.0,0.29922867006748344,0.8534812348016498,0.9121987098344276,1.0,0.7517298570125629,0.7536129772907113,0.7957502070009764
3,0.8913713332430557,0.4894070004041633,0.6897617482542259,0.3860037777305129,0.4470014795026887,0.8631720033229097,0.0,0.5381024774939366
4,0.9068233940504544,0.5960375557263292,0.1897423142179101,0.4775049568087375,0.3152901099938553,0.08139281608676371,0.6036971978097309,0.4529269063848259
5,0.7607193933136018,0.8159935339243458,0.5999597559527527,0.6017630486468734,0.4476415405426919,0.5988671263774347,0.6515696781855188,0.6395020109918884
6,0.9445597465157514,0.5113739376603641,0.5478909766437076,0.3575292810556835,0.7003456166834938,0.6563009312069821,0.2995574124918917,0.5739368431796964
7,0.8001032270409562,0.9192022931705688,0.7999920506462865,0.15530387209777896,0.693031286024098,0.8050362501897076,0.749550282890872,0.703174180294324
8,0.38470454046282665,0.980938430600793,0.6419163457960475,0.19180054076746847,0.6530633597039637,0.0,0.844226418466181,0.5280928051138971
9,0.5814421891097985,0.19436198595710721,0.09827968530445193,0.2239910935929662,0.5638543531542993,0.17794160010687585,0.9732188522461429,0.40186996563880595
10,0.9938436004068356,0.14685749827291436,0.22397745692921525,1.0,1.0,0.8740574193113427,0.7657165132304836,0.7149217840215416
11,0.43402503174533463,0.34916974278636614,0.558923613254886,0.4486989232250066,0.27588556842993167,0.4388944146104542,0.6713014889093922,0.45384268328019595
12,0.6129500691395509,0.5633454520656261,0.9970991867417796,0.4385070768243973,0.8284351787281957,1.0,0.9921078801225166,0.7760635490888665
13,0.8305087151639743,0.8973038462450941,0.42015314193552505,0.7685236228378245,0.7496916952325905,0.7085117991232586,1.0,0.7678132600768953
14,0.7242233178084349,1.0,0.7207185529033591,0.7605315359855145,0.9206719954479473,0.2899893823671248,0.8326207918583348,0.7498222251958165
15,0.9252719459652752,0.5349941872132417,0.418532279033478,0.2451621296150966,1.0,0.5154771538621736,0.4207412050537363,0.5800255572490002
16,0.8457986776686494,0.6098570443822463,0.6963649026407469,0.3490012255612268,0.09176359280407678,0.9745732167402293,0.7085013452390171,0.6108371435765989
17,0.8405777304721452,0.6927210890356688,0.9441158577648732,0.3083697529820936,0.6073509567458844,0.6516949598780337,0.7674609658741367,0.6874701875361194
18,0.5102235340865474,0.8210030542683694,0.8524070289419157,0.4147963348779568,0.8098204015236464,0.6941723596203344,0.4815040195101344,0.6548466761184148
19,0.8136494487970549,0.5409764957091143,0.8553606286473496,0.9902803068403868,0.7729920791755414,0.8621678680904089,0.0,0.6907752610371223
20,0.6947678355904414,0.5234075005055837,0.45163801248402347,0.6174514344705351,0.4710816857125896,0.1158182463572058,0.9049876608378394,0.5398789108511741
21,0.3700546137816882,0.7797267594323536,0.5126921093652587,1.0,1.0,0.9354001763683851,0.6330437792650239,0.7472739197446728
22,0.5159295765528459,0.6074254614705803,0.2321379956257912,0.4935823078601556,0.11432767079719577,0.5853316693958098,0.37817120900796086,0.4181294129586199
23,0.7906601871679626,1.0,0.9641129268714237,0.5662161403335658,0.5604492260798231,0.2682905709912489,0.31382586766178855,0.6376507027294017
24,0.6675416340585887,0.46956351588717454,0.6779339760687342,0.9564139541848111,0.8233780514824822,0.7215773784756642,0.07034454724335476,0.6266790082001157
25,0.6286669865019668,0.8762649947196819,0.9765827301529009,0.3511842356785094,0.6082284885732887,0.7544827678252292,1.0,0.7422014576359396
26,0.6616790375017844,0.714328016443478,0.30687664725476443,0.6788153048275541,0.3750714577558225,0.49295155015116243,1.0,0.6042460019906523
27,0.6598255498688037,0.5625296003814767,0.4731015585843713,0.2665158933958353,1.0,0.6156343804771879,0.6553371313742704,0.6047063020117065
28,0.5211064694734991,0.9665462933083152,0.720224758909988,0.7359890748888646,0.5488013541640918,0.5875902800187637,1.0,0.7257511758233604
29,0.0,0.725888787485262,0.5464354081772683,0.9049484536556011,0.7731005808807744,0.7328693484562369,0.9507665005570369,0.6620012970303114
30,0.91571589401477,0.8473127793003256,0.7304902634588895,0.541941235699694,0.0,0.5250049472175755,0.723518726888202,0.6119976923684938
31,0.8771860109194699,0.09474516751129569,0.0,0.3235270292936862,0.25213421766781174,0.7420562106183531,0.8724410601601328,0.4517270994529642
32,0.09790062715727217,0.7831373968392837,0.5260593665169415,0.8168818153098975,0.7516667692042552,0.964168371039206,0.8235307045329491,0.6804778643714007
33,0.45723696874921027,0.4034898047512958,0.39758245993932056,0.9649747309325035,0.8986692823172893,0.7525499623219979,1.0,0.6963576012873739
34,0.7191098936380514,0.5013539963737761,0.08956232210422597,0.8200752034545278,0.9888471091919292,0.8939464228381664,0.6448413858964921,0.6653909047853098
35,0.6712048985426721,1.0,0.19347248794021735,1.0,0.8880341450223694,0.7782428894365951,0.8411316894538742,0.7674408729136755
36,0.17563538291448724,0.6011557818523554,0.0944457427431625,0.6444476489492301,0.530593238647903,0.4796764073640925,0.9933106127540898,0.5027521164607601
37,0.48914220820858334,1.0,0.8126048576571513,0.7330302918990792,1.0,0.3805389189881936,0.6824814434952677,0.728256817178325
38,0.5430026994574939,0.8351110152909316,0.9458520782588985,0.27855718747908376,1.0,0.409412006391408,0.9677401192307556,0.7113821580155103
39,0.15085274490664152,0.6493043683108342,0.4218333947370523,0.7521810618310432,0.8248638946018872,1.0,0.9805293747378663,0.6827949770179035
40,0.32313684214666966,0.9439542391016422,0.795793365756736,0.4927976450914859,0.35250545897558816,0.9572743917684532,0.5213733813495156,0.6266907605985843
41,0.6715845674671633,0.10096691169696631,0.3902302650909275,0.0917199815031787,0.8729531116825276,0.6930170041499116,0.49582073303301993,0.4737560820890993
42,0.7257013340754433,0.8545630619530752,0.8529057338654826,0.5314717784929605,0.8123981512560976,0.6985494430478902,0.8025767039256699,0.7540237438023742
43,0.67520990707662,0.6891383585990373,0.31592329427347204,0.937492259773785,0.692259966312395,0.21085453611464094,0.9836536280805649,0.643504564318645
44,0.4823169787219166,0.25239854950378754,0.9263736639057644,1.0,0.06155961325444469,0.366538781472216,0.6654968834950883,0.5363834957647453
45,0.6099391026661942,0.8665150390998517,0.5947481547760662,0.5957774084363268,1.0,0.8679301447394554,0.02930821081620607,0.6520311515048715
46,0.20713094725155126,1.0,0.57730805838272,0.6782723684693487,0.6868586091790214,0.5250901179345034,0.18561262029616032,0.5514675316447579
47,0.9079930930261296,0.10815595717192394,0.9241831269784819,0.304839417842353,0.3365218510868137,0.357258026441524,0.5715491583399521,0.5015000901267398
48,0.941304525796341,0.3387848071862548,1.0,0.7630043017151963,1.0,0.7914163946802588,0.18449463261047067,0.7170006659983602
49,1.0,0.1864680556469172,0.6437572088038261,0.4667985339330481,0.6964489990223021,1.0,0.6811319737733134,0.6678006815970582
50,0.6828334303922856,0.6608609365896696,1.0,0.47773211355238193,0.3967981091430165,0.46791000144569983,0.4379395694054199,0.5891534515040676
51,0.2061951267070308,0.4277030690901705,0.9455024850491675,0.5694351456186839,0.31052190115242007,0.8343524206219181,0.4917422306515129,0.5407789112701291
52,0.4247108937397121,0.5043970675491736,0.6507032927621235,0.899126340808736,0.24714485403617184,0.39033969549651326,0.9379079073770544,0.5791900073956407
53,0.8572167834833542,0.7136548380633094,1.0,0.12452205983832593,0.13835784426480693,0.5644572933519262,0.6537222545035345,0.5788472962150368
54,0.0955683434243594,0.8063570230812988,0.5135782743669554,0.57825253866175,0.41298756692333816,0.7515618863786101,0.4875672212076102,0.5208389791491317
55,0.48587920599429496,0.7011624559350534,0.8482292615804157,0.9077622272754073,0.0,0.3587891581283524,0.4515856435299067,0.5362011360633473
56,1.0,0.704957846044361,0.368625239696192,0.9825849210112443,0.7054864104401772,0.10062735326622115,0.4974386025045871,0.6228171961375404
57,0.9299919540465021,0.7488461135210847,0.6906347230571633,0.5035742326986706,0.5919063728699449,0.8189247648742044,0.5905480424893509,0.6963466005081315
58,0.6787509554473805,0.41580521284570965,0.6771025791002695,0.7277344634569155,0.8761648868481302,0.7979157569058393,0.7539495111830024,0.7039176236838924
59,0.2726815044766927,0.7274219276453098,0.7921576825081935,0.37628867158521345,0.586735501603731,0.6615839007025627,0.8171716155862774,0.6048629720154258
