Num,F_1,F_2,F_3,F_4,F_5,F_6,Average
1,0.6459391159883252,0.6459391159883251,0.5524149641965012,0.8435578549727706,0.7437857298536822,0.6891702610036461,0.6868011736672083
2,0.6966557805114597,0.348004456295525,0.34499821268794506,0.5603307318612032,0.42847838263211324,0.9028326731874532,0.5468833728626166
3,0.4365578085340414,0.6651021541227409,0.6425704549462283,0.6667626780088357,0.5705450009652018,0.7951076785469471,0.629440962520666
4,0.6228822921371807,0.6318718784632738,0.6207190650253398,0.6702366955771452,0.666620529553513,0.833696191728333,0.674337775414131
5,0.6054364898656407,0.6984570748185911,0.6781119544281621,0.5925822885394847,0.5833608490690986,0.6154685669414381,0.6289028706104026
6,0.5790992241274991,0.613917555052334,0.550540349374162,0.6221433536643652,0.6865155334924049,0.6767295679398525,0.6214909306084363
7,0.6408223304118122,0.65490704989378,0.7142478193290962,0.6761415050899681,0.6966062896917155,0.6786354513121781,0.6768934076214249
8,0.6376213261900152,0.6434267279005635,0.7028240451949042,0.6686018380589689,0.8680193128335303,0.6456495928766657,0.694357140509108
9,0.6912968054027397,0.6819390611599083,0.630718069560249,0.6601306977900667,0.5797885470452391,0.619591243650947,0.6439107374348584
10,0.6754994003728547,0.6918001220642069,0.7131899703094986,0.6910842227018926,0.6437216736875835,0.697635254847731,0.6854884406639612
11,0.8430009400003529,0.6650695617958944,0.7315742421864946,0.8037572391731616,0.7343015264257006,0.7792551478661623,0.7594931095746277
12,0.6322514852547009,0.6668627579290249,0.7104889837252891,0.685819277995374,0.6852907614763205,0.5466147383886855,0.6545546674615658
13,0.6277817804869887,0.7129514850834878,0.6955867614238194,0.5073401463513985,0.8209627918281942,0.7409534997442948,0.6842627441530306
14,0.6873101488229508,0.6873101488229506,0.768862212601071,0.7980415841051692,0.8362835420607299,0.7220896554471803,0.7499828819766753
15,0.7085519491194697,0.7625573880152022,0.7137364129268181,0.6594706639639698,0.7015482781750918,0.703597633598428,0.7082437209664966
16,0.7944746973105096,0.6093260677699849,0.8238109249324783,0.87662851655761,0.6587395276113528,0.6997654437330332,0.743790862985828
17,0.6859963348743515,0.8057864962390223,0.7650897729848247,0.7028222720348339,0.7355140235728135,0.8373280085318614,0.755422818039618
18,0.5696857640787768,0.5948049454659597,0.6497356126391021,0.6115064059291049,0.5565486684301567,0.6530989457158832,0.6058967237098306
19,0.5067871916617417,0.6925148677413819,0.6720368008666286,0.5916171048605777,0.5669856569086833,0.6661852011256444,0.6160211371941097
20,0.6801628621924232,0.606048791724194,0.7096635751056863,0.7378388334177307,0.7379370158770404,0.6256088049299146,0.6828766472078315
21,0.6106637599616694,0.6540946683094656,0.7574196976205578,0.6540946683094666,0.7000306442367789,0.7850558371945181,0.6935598792720761
22,0.6468450936016622,0.646845093601662,0.6018172674383602,0.8103083859017327,0.6238543893743296,0.7171173822576672,0.6744646020292356
