Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],Sum_of_Width
24,0.2019541273047997,0.3365835865162048,0.20916880886064584,0.4183182118863389,0.1394447570264216,0.28566788770279666,0.04761576130160617,0.1557604408128286,0.051374340689088034,0.15411207789926984,0.7008844096348774
25,0.10254486653637565,0.3709675075877396,0.06370172194271258,0.26276707416153244,0.1025434651046591,0.4459058872994362,7.007158582207634e-7,0.288526390813474,0.02123394978205216,0.3418084360561602,1.4199505918366848
26,0.15201078233891901,0.3515478736240251,0.15201078233891896,0.3884613323901927,0.131829971867352,0.26379898641462884,0.048682383055727196,0.2195702104830037,0.04868321066161864,0.24340446682561384,0.9335657394749284
27,0.15002463497744445,0.3000459361307864,0.09376453735937632,0.3068644483728693,0.09376341219374179,0.34379445338987535,0.04688245620729383,0.3281684421627888,0.0468824562072939,0.28980922299853007,1.1373650061096998
28,0.1933761065420271,0.3867429310402219,0.049372830723147666,0.2652006086765595,0.08723849282890857,0.3082309174066246,0.04071176346973015,0.36205936797336724,0.02210010712435456,0.2849668742150586,1.214401398623664
29,0.16611988971009545,0.38144535646483846,0.15326296395073144,0.2758724196211759,1.4713234403365102e-6,0.2860902398206787,0.08305994485504765,0.3045386835563925,0.05108765465024378,0.2985213760473558,1.0929361510208828
30,0.30254807796586985,0.5361931952604618,0.15127488158175115,0.26321728438129804,0.10213444947978143,0.2859566190441348,0.05106569274408577,0.1604951714971376,8.42598816168208e-7,0.14711378544666337,0.7859521112593912
31,0.0952777407056794,0.32394073429094744,0.13784764903462265,0.39630346054745247,0.095277335780343,0.3811008396893063,0.06892382451731129,0.23138480146564414,8.098506728656739e-7,0.2699428041180202,1.2053452802227413
32,0.17383744490185465,0.37029345019346327,0.15600496030425043,0.3476528130663566,0.15600496030425035,0.33428113315856917,0.06685854082793342,0.23703626852896256,1.0554120781982795e-6,0.15802937330228148,0.894586076499266
33,0.15222165136978486,0.33903401883918743,0.13319199464037917,0.3662699223982053,0.09401864414257967,0.29968308677382427,0.07611042610955063,0.30443051632863327,7.991506835878312e-7,0.2350389402471717,1.0889129691740442
34,0.18551044273375547,0.3710137897924154,0.10702474973606813,0.3762348271111176,0.08561863108942705,0.428089190216935,9.808727337530797e-7,0.2580147212135346,8.347853053084595e-7,0.18849183244870787,1.2436887215654209
35,0.16658788377923742,0.3455038041199227,0.05758637153985476,0.3047291029055328,0.05758637153985476,0.3331647467470779,0.0808505678732896,0.43188457072113545,0.02776477344515993,0.1943418073289343,1.2192480636452068
36,0.3141919449020825,0.5236389459237341,0.10473054357004588,0.23738484322948056,0.13695559608804025,0.27388982735946854,0.05236453868030327,0.16630187652879366,0.029346810585086015,0.16119507313296508,0.724821132348884
37,0.18965290335922946,0.3289902206407879,0.18529535009859416,0.314983349291617,8.060266090316077e-7,0.28448051151180503,0.09264767504929708,0.3504385647649775,0.016449536485511205,0.23706108277157165,1.0319074579615182
