Num,P_1,P_2,P_3,P_4,P_5,P_6,P_7,Average
1,0.7027787878290942,0.7235893438063735,0.456391748734199,0.4229435318740623,0.5028119563642708,0.5721998181547461,0.6931881648706798,0.5819861930904894
2,0.7906628129177603,0.7115346704007223,0.5275761339868148,0.47769371378479164,0.8197569444685775,0.6927067956341986,0.6977392345321574,0.6739529008178603
3,0.5368961329797406,0.8042309868560521,0.29481395085768336,0.690194954888047,0.861621723846789,0.536827202062743,0.6110798674343663,0.6193806884179173
4,0.6605253251572019,0.35755107131997266,0.7874534977407283,0.6470651040802287,0.754255198592438,0.8461476179038306,0.8831642334746439,0.7051660068955777
5,0.7593510948256731,0.5009441685447243,0.4656498474191993,0.7187158893621992,0.826427526201354,0.48901816486795696,0.839609022595299,0.6571022448309151
6,0.7203985270627687,0.4344753199403289,0.7952618819008139,0.8226447141709157,0.09406128846848619,0.967688919921534,0.6235768738002285,0.6368725036092966
7,0.6023139773530795,0.4172115274011567,0.44001159879692514,0.660003537755731,0.653851478346461,0.4385686259336807,0.6415564641430386,0.5505024585328675
8,0.6274888981783099,0.6808233398692202,0.2994710806145418,0.3669072819518523,0.7495493691767176,0.7259179595355422,0.7169921456072952,0.5953071535619257
9,0.3391970966080543,0.5065809925238454,0.4210392521543842,0.21906657924477826,0.6100896467013801,0.6122482875976805,0.6418294959348413,0.47857876439499486
10,0.39360721949795213,0.4549598541022067,0.42257651068989116,0.2761340250073182,0.5988882766103943,0.5132908561498233,0.7088116795573791,0.4811812030878521
11,0.6092282005382021,0.8710217714912324,0.33974369764393497,0.5267896214337694,0.8506251575847747,0.5217926083990568,0.6016419556866457,0.6172632875396593
12,0.8120856135378361,0.4416517432569512,0.4323618448929242,0.8209934266640629,0.8909555865478652,0.7261050238105843,0.4773170930539187,0.6573529045377347
13,0.819183760963833,0.48873670161237787,0.09766813890814717,0.35062212021071315,0.6256722690297752,0.5884552922775409,0.6326904311904635,0.5147183877418359
14,0.3759879445972658,0.6466256360373638,0.8074467802440446,0.4259727862386756,0.8623285817019257,0.7504440123648106,0.7559551124770804,0.6606801219515951
15,0.7321683633232224,0.4079036285632031,0.6552620258068066,0.5168527912397568,0.44398311272530533,0.8112425136743038,0.3397170170719857,0.558161350343512
16,0.5778509071355996,0.3987287213283029,0.3189829770626428,0.0001000000000001,0.36432170511351064,0.6862036737137573,0.7466274428253703,0.44183077531131193
17,0.4425480102656682,0.45492571447668223,0.36442003561259034,0.772988526123782,0.36434542037225137,0.7428230505551777,0.6240848488644688,0.5380193723243744
18,0.4357004469938072,0.6460327881063966,0.25696271447036634,0.5302629691558064,0.2425312850767925,0.8895502983644943,0.7190683228709136,0.5314441178626538
19,0.866415471170276,0.42110862554386913,0.4422741855925627,0.6534796920539871,0.6955909061262114,0.34402461034734994,0.7400923472723351,0.5947122625866559
20,0.6966503634425818,0.38149375977344263,0.48604579329485986,0.41080936871568907,0.4350230763870913,0.5951906405431299,0.3560735675025568,0.48018379566562164
21,0.6200416256291762,0.35043977284899275,0.23670942540268647,0.5512806790785457,0.37794059672404773,0.7521557961036314,0.5494884450482834,0.49115090583362336
22,0.6424574581904666,0.6213199453023699,0.28198437730848475,0.6240568210110263,0.4527087952916977,0.8356850036067748,0.515603650458577,0.5676880073099139
23,0.53569905215764,0.26570365871578666,0.25577303733885165,0.26433501502027734,0.783724525881904,0.5809001107013895,0.43847594974523907,0.4463730499372983
24,0.334225459980636,0.5210684336296872,0.3294700626302596,0.4403275087231564,0.2752586453543526,0.5458216900765056,0.2560391709421851,0.3860301387623975
25,0.7735266530855995,0.37192578623674766,0.2845184912992149,0.40897957379508326,0.8498114960252491,0.9308485308262513,0.30937828737458056,0.561284116948961
26,0.6156606728610164,0.6706580981425783,0.7775803328209414,0.6923787490930898,0.6264906049012475,0.7551672128533702,0.33062821648980223,0.638366269594578
27,0.4139318111193443,0.4003208908771212,0.7884097209747342,0.24434973818645836,0.5210665187552983,0.7345598078452897,0.8391425865643551,0.5631115820460859
28,0.6474100170259877,0.715420613936335,0.5145382470870384,0.5176547133033551,0.2156956201283137,0.8759400536979044,0.7384125271024893,0.6035816846116319
29,0.6890273155764308,0.3035109154632465,0.5544944368323936,0.4104715743756285,0.45395624345089297,0.45266391108214504,0.7217367678845734,0.512265880666473
30,0.316615652435405,0.8730380544916061,0.194421597384663,0.34720365834670947,0.5612558674739337,0.5192921918274161,0.4908524673063782,0.4718113556094446
31,0.1892833291678169,0.47927825088414644,0.059773881083638444,0.16086853124956219,0.854182796527829,0.779455525324817,0.27662761398385527,0.39992427546023784
32,0.7372474948184179,0.8624351968839616,0.1600219530299584,0.32473636815814233,0.5301676145382642,0.5608314480913318,0.4861684830056408,0.5230869369322454
33,0.4649847213119609,0.6112430956915139,0.47055346086621175,0.41598635108551346,0.7978574204900326,0.472539930206111,0.5482681200178411,0.5402047285241693
34,0.7427894343159572,0.6871123547132815,0.49954268990542705,0.335827584491457,0.7782864864736287,0.7072699354860991,0.6170135373655803,0.6239774318216329
35,0.3488491229950118,0.5222065376893209,0.03398954124236501,0.38149266705770307,0.8768733776769162,0.6030045918903778,0.45402924460599003,0.4600635833082407
36,0.4532885889529485,0.5297486365910882,0.27717911733343814,0.4502138309021187,0.358039644268524,0.5780837615574077,0.5791058068760782,0.4608084837830862
37,0.5442988016202069,0.46684121519884897,0.2566897530348057,0.20058548205451968,0.5133564457352389,0.7394240725717615,0.7221458206800135,0.491905941556485
38,0.5885005029482158,0.27958666203062094,0.23700762355238839,0.4805541296482597,0.5801623533270808,0.7386468722043595,0.7421608084137684,0.5209455645892419
39,0.642428297697663,0.41470249663728553,0.25909972111403484,0.39967504145343974,0.5863822492927712,0.7005824940755495,0.4407571537818078,0.49194677915036455
40,0.38681590854830095,0.4236569416883113,0.588059171586538,0.7003938256360702,0.5102074722285467,0.42741981720999744,0.5014550249351097,0.5054297374046964
41,0.5209628927459734,0.5302077466638689,0.3909201983155582,0.5392215188828556,0.5386360016358211,0.7464382231802185,0.3913366842391767,0.5225318950947818
42,0.8685493867638198,0.41491244844284725,0.4520231629248789,0.4554936176472251,0.42423159530230936,0.6908825362022675,0.5088555765761986,0.5449926176942209
43,0.8523172608807126,0.5767880494308741,0.8104579093393887,0.5082507663918167,0.547819558417436,0.4106465747685073,0.6859245663910827,0.6274578122314025
44,0.6241900596998342,0.796483711883314,0.35390499854689783,0.7046383155354649,0.7666940161124999,0.620484984918058,0.6865837312029965,0.6504256882712951
45,0.8991228031630258,0.3680816883557106,0.6880490395140324,0.2576904256250372,0.4375309612569783,0.416078357899501,0.6168080873751408,0.5261944804556322
46,0.9898966304628719,0.5319987016333427,0.2931576624944691,0.2300771932553481,0.686236360049263,0.632504324830232,0.6069706220710605,0.5672630706852267
47,0.6069711841098328,0.4316168272279108,0.3199265397609298,0.6512401204289692,0.7803211993444568,0.5362978490230809,0.5117799374048451,0.548307665328575
48,0.25725651156253415,0.4743223999221342,0.5008855566190575,0.3872129393697597,0.643948067733674,0.6336263154604687,0.6511556158636218,0.5069153437901786
49,0.7948662093081862,0.3787036948957913,0.4731704698620903,0.7660809155541862,0.5631266434725835,0.5619058060798914,0.4847680503491366,0.5746602556459807
50,0.5058760496157416,0.563625457163869,0.44960818649097367,0.36592704487529526,0.6295945621598408,0.6695078440997503,0.46873588715076564,0.5218392902223196
51,0.5380469747425946,0.3878527879710273,0.24058763634969915,0.0,0.6401037075026905,0.6351583324991097,0.3745569207331688,0.40232947997118435
52,0.33197525401035916,0.46212299622025327,0.9314857777728148,0.40513886958571155,0.29787026503468605,0.5999139768956884,0.3584577674629376,0.48385212956892154
53,0.8076618700160428,0.7532740210573946,0.44805849789877306,0.4132610340783166,0.6496513557749168,0.6433314871435455,0.6586513946365585,0.6248413800865068
54,0.7689274158835157,0.6885866507619355,0.27628354781856496,0.2990024371568497,0.8461209162982283,0.6914501853514086,0.41675314065931407,0.5695891848471166
55,0.3887610682720186,0.4611658748198736,0.5483062608949227,0.3827297521263863,0.4949624474776808,0.6887050471874161,0.6235353849324551,0.5125951193872504
56,0.41118672928631517,0.31924975367013597,0.5353849140142751,0.41912597049540384,0.44821504908883286,0.8964082259981869,0.5415309594960713,0.5101573717213174
57,0.2833420960727028,0.7188794547978045,0.4037448591038192,0.4488604142047982,0.6029344108735476,0.49680136768493344,0.9213028104208371,0.5536950590226347
