Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Average
1,0.4297745044013854,1.0,1.0,0.6510728011155095,0.6543717433271878,0.9351383420101178,1.0,0.8100510558363145
2,0.555482715796056,0.9081781539958655,1.0,1.0,1.0,1.0,0.5861881437666734,0.8642641447940849
3,1.0,1.0,1.0,0.4490230061507476,1.0,0.9152218876222147,0.6352695424253919,0.8570734908854792
4,1.0,1.0,1.0,0.829294826704015,1.0,0.9321839930198713,0.6440532707447342,0.9150760129240886
5,1.0,1.0,0.4380345440120575,1.0,0.40582327452266403,0.8624245052409732,1.0,0.8151831891108136
6,1.0,1.0,0.604112014542527,1.0,0.7251542242155372,1.0,0.596492086067941,0.8465369035465722
7,0.8830203853240294,0.7333121383470195,0.991046643498199,0.3995915686395156,1.0,1.0,1.0,0.8581386765441091
8,0.46163223241434825,1.0,0.7890462184974523,1.0,0.9359985062819698,0.8332401347380055,0.864559126888694,0.8406394598314957
9,0.77148585548012,0.7216531956758645,0.8618900116512005,0.7135916286359538,1.0,0.8794343611779148,1.0,0.8497221503744363
10,1.0,1.0,0.1458136274305309,0.9268804971719398,0.6741530733654809,0.888640987020142,1.0,0.8050697407125849
11,1.0,0.9261630277416955,0.7125280287857317,0.6515545236665715,0.7601469442776667,0.9705184886550539,0.7801759424628653,0.8287267079413692
12,0.9759961143813328,1.0,0.36559725818996125,0.7624082505517484,0.40079255947724957,0.22888281922762724,0.875943065862907,0.6585171525272608
13,1.0,0.7090963306815762,0.7645327904776441,0.1983108105189323,0.6100918341222737,0.9545481653407875,0.9810597335957556,0.7453770949624242
14,1.0,0.12747306654672413,1.0,1.0,1.0,0.9699106350037066,0.8907647604939448,0.8554497802920537
15,0.7581425656099595,1.0,1.0,1.0,0.444206928036613,1.0,0.8366314372431991,0.8627115615556816
16,0.6855688398412455,1.0,1.0,0.993882953693515,0.9039993383174831,1.0,0.23302509668322258,0.8309251755050665
17,1.0,1.0,0.7090693876299057,0.5213221267271245,0.7330046802119523,0.9539235207695087,0.9668430450769064,0.8405946800593425
18,1.0,1.0,0.30734632077567214,0.540747241730139,1.0,0.8990113119591111,0.6836991141561986,0.7758291412315886
19,1.0,1.0,1.0,1.0,0.6688532892004098,1.0,0.664693672023193,0.9047924230319433
20,1.0,1.0,0.7279710865402828,1.0,1.0,1.0,1.0,0.9611387266486118
21,1.0,0.772833618101307,0.5949244135526192,0.8501096138472743,1.0,1.0,1.0,0.8882668065001714
22,1.0,1.0,1.0,0.7597483668771248,0.7351669393322118,0.9169819758918819,1.0,0.9159853260144598
23,0.9187946250308295,0.7673030709340511,0.4610641337420986,0.08680010477423025,0.9772532831785394,1.0,1.0,0.7444593168085356
24,0.19215255683143997,0.9672653126973505,1.0,0.7900743372094353,1.0,1.0,1.0,0.8499274581054609
25,0.37205632047795234,0.9736651603933849,0.7429378391363759,0.5174674588805273,1.0,0.8994961346235232,0.692959581985146,0.7426546422138441
26,0.8295422496480425,1.0,0.8377822718239027,0.7453987023049277,1.0,1.0,1.0,0.9161033176824105
27,0.6216355394475682,1.0,0.8069610433768726,0.17173518578675478,0.5304101549552349,1.0,0.6332774567299645,0.6805741971851994
28,1.0,1.0,1.0,0.38746819211846645,0.7025412378529184,0.7814229833378611,0.9817720574389083,0.8361720672497363
29,1.0,0.5973396925490312,0.9094737673971507,1.0,1.0,1.0,1.0,0.9295447799923117
30,1.0,1.0,1.0,0.6910863646712707,0.8956765066508682,1.0,1.0,0.9409661244745913
31,1.0,0.6324842068191838,0.8663818746112452,1.0,0.6405278127100227,1.0,1.0,0.877056270591493
32,0.7706216672683648,0.9467134086650105,1.0,1.0,1.0,1.0,0.949514937175496,0.9524071447298388
33,0.6974004697592137,1.0,1.0,1.0,0.2342669090904224,0.8438446245982171,0.708286876122707,0.7833998399386515
34,1.0,0.9761142557155702,0.8321910160820676,0.3905919618074124,0.9575564894028293,0.9497076601951062,0.9358828321063191,0.863149173615615
35,0.7390835067187717,0.8746609099542026,1.0,0.8803192470808522,0.838979592883535,0.6362997851238108,1.0,0.8527632916801675
36,0.775023490542903,1.0,0.0,0.46787568111440336,1.0,0.8470048529403414,0.7680169049419078,0.6939887042199365
37,1.0,0.9588644476984903,0.5998603686571976,1.0,0.7429750950322528,0.5358544621874772,0.35326829823008293,0.7415460959722145
38,1.0,0.6472103307072791,0.10047661435605623,0.876751171506657,0.9998766307494263,1.0,0.8585777650020021,0.7832703589030601
39,0.6860650518691562,1.0,0.4998232650080791,0.6464065128860246,0.8404529009216172,1.0,0.7133756911490339,0.7694462031191301
40,1.0,1.0,1.0,0.8926510663357135,0.6603760780643527,1.0,1.0,0.9361467349142952
41,1.0,1.0,0.9074950251553043,0.5818957479625306,0.8611210545163925,0.9087676038906317,1.0,0.8941827759321227
