Num,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Average
1,1.0,0.0,1.0,1.0,0.7002837316407236,1.0,0.5552937839507054,0.8908525259993854,0.7683037551988517
2,0.5383203091667512,1.0,1.0,1.0,0.7910586571037302,1.0,0.7081749083808805,1.0,0.8796942343314202
3,1.0,1.0,0.8544938496552583,0.3315518625283725,0.6507694268444217,0.09655728019678649,0.9324672749432754,0.8852817033914212,0.718890174694942
4,1.0,0.5827222736374654,0.6747962911798341,0.8556769400531924,0.7304353358832926,1.0,0.46699969311522627,0.4293437683241299,0.7174967877741426
5,1.0,1.0,0.8353855852147429,0.7395946300159498,0.6211273780872115,0.4335022755682085,1.0,0.9264102890020975,0.8195025197360263
6,0.8160625191840033,0.6774274460568299,0.49353857421744063,0.9933762030950347,1.0,1.0,0.939071396081175,0.4909158893377409,0.801299003496528
7,0.44615673314967247,1.0,0.9728409539792369,0.8649224633972692,1.0,0.5553377706887193,1.0,0.6321353626206693,0.8089241604794459
8,0.9635586121779902,0.46576641241562283,1.0,0.7035544796431101,0.632759547734704,0.42241257824743866,0.5382459470517414,1.0,0.7157871971588259
9,0.949501133488081,0.9208576210433591,1.0,0.6901509310987808,0.4426751591551918,0.7868782081562036,0.5277590041284485,1.0,0.789727757133758
10,0.11735699497918345,0.9897983537073399,1.0,0.9064988100664482,0.7426353556202717,0.8566153660900929,1.0,1.0,0.826613110057917
11,1.0,1.0,0.4104726751380337,0.9345744084606762,1.0,0.9447174910165842,1.0,1.0,0.9112205718269119
12,0.8744604629924516,0.683901021234215,1.0,0.7541219215778743,1.0,1.0,1.0,0.7868945482727775,0.8874222442596648
13,1.0,0.8258184685681724,0.9832276029393149,0.27602517566690815,0.8081196477166936,0.8741847601473863,1.0,1.0,0.8459219568798094
14,0.139938986449388,1.0,1.0,0.40459802515572546,1.0,0.6450799718105048,1.0,1.0,0.7737021229269523
15,1.0,0.730076901668907,0.7941193037336064,1.0,0.8217751609589544,0.9295847064208633,1.0,0.37582810028625285,0.831423021633573
16,1.0,1.0,0.7566640928743453,1.0,0.5164614256750057,1.0,0.5936309717056398,1.0,0.8583445612818739
17,2.5000000000025e-5,0.9387513441670328,1.0,0.6288656159558119,1.0,1.0,1.0,0.5129259217962463,0.7600709852398865
18,0.858361671019981,0.9522255672911125,1.0,0.9918433557915346,0.7688141879342405,0.35702258538994125,0.7569791042498444,0.7975160492149099,0.8103453151114457
19,0.9184894300137364,1.0,0.5541001515161874,1.0,0.6488853854482755,0.11724972462668776,0.9655760214341516,0.21845010263070833,0.6778438519587184
20,0.5053110450078816,0.8629714951496095,0.9431889560383507,1.0,0.644861692718388,1.0,0.7084906408381628,0.5839621656507554,0.7810982494253935
21,1.0,0.6499288552829471,1.0,1.0,1.0,0.7373458401862629,0.7651012950111304,1.0,0.8940469988100427
22,1.0,1.0,1.0,1.0,0.870647871120019,0.9274346690426343,1.0,0.26140889128644373,0.8824364289311372
23,1.0,0.7948174017661654,0.9093013815585869,1.0,1.0,0.37616395373807743,0.8760011181451117,0.8341308616402046,0.8488018396060182
24,0.7136365221883787,0.7242116207937362,0.8248046570939489,0.8164161777507002,0.9007384661292531,0.8446802806144588,0.6776831593374304,0.9303818106739594,0.8040690868227333
25,0.6594974879539853,0.11142331080473356,1.0,1.0,1.0,0.21094969937977523,0.6119745181103208,1.0,0.6992306270311018
26,1.0,1.0,0.7702857297049244,1.0,0.6457442500402527,1.0,1.0,1.0,0.9270037474681472
27,1.0,1.0,1.0,1.0,1.0,0.8727749653308898,0.8918517396468841,1.0,0.9705783381222217
28,1.0,1.0,1.0,1.0,0.898944666611433,0.7506729507009229,0.8171251651431907,1.0,0.9333428478069433
29,1.0,1.0,0.8964619083139527,0.9368833122475405,1.0,0.7869899009114564,1.0,0.8968975701045694,0.9396540864471898
30,1.0,1.0,0.773232746756864,1.0,1.0,0.7046685184103848,1.0,1.0,0.9347376581459061
31,0.7720348567577936,0.7262959675474592,0.7057639706653916,1.0,0.8612464457964097,1.0,1.0,1.0,0.8831676550958818
32,0.8515568884365854,0.8925902146649031,1.0,1.0,1.0,0.8380630969749515,1.0,1.0,0.947776275009555
33,0.0,0.5950967466553017,1.0,0.4741262605589917,1.0,0.7183169027916723,0.6499842106277506,0.7689082211976118,0.650804042728916
34,0.8845898049348969,1.0,0.934715925274924,0.74681106893329,0.5574288216377454,0.985076761921004,1.0,0.9196143692300078,0.8785295939914834
35,0.9200018121533377,0.6585826103695003,0.740538627408482,1.0,0.8958188585606901,0.4729218860685854,0.8577549245133738,0.9543438756112198,0.8124953243356486
36,1.0,0.39019762335070707,1.0,1.0,0.6880732117129417,0.9907475432626566,0.6847042282990169,1.0,0.8442153258281654
37,1.0,0.7840651656117816,0.8200626380098183,0.5162085993017768,0.35402413332701427,0.7675027882393033,0.0,0.8559871546498874,0.6372313098924477
38,0.4780127269469365,0.6776828787148023,0.21506237567163394,0.8145927529368164,1.0,0.6832651161205555,0.7799348968467189,0.974849871058398,0.7029250772869826
39,1.0,1.0,0.8579403166631323,0.7120154966944343,1.0,0.303288771671353,0.5453319423087755,0.9670525657886558,0.7982036366407939
40,1.0,1.0,1.0,0.647988017775744,0.3279466809877592,1.0,0.8426297544313855,1.0,0.8523205566493611
41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,1.0,0.6856798788170015,1.0,0.7392960534937193,0.7843798122724006,0.8871306305138065,0.5313456470066338,0.5300566262397509,0.7697360810429141
43,1.0,1.0,0.8450683577333394,0.6878991856762849,0.535496016763961,0.7517588613732649,0.7769677878512586,0.8094329507084799,0.8008278950133236
44,2.5000000000025e-5,1.0,0.9329549437762554,0.8226562966521417,0.500081010470288,0.7339157070966719,1.0,1.0,0.7487041197494196
45,1.0,0.6341828345814299,0.46888150633980363,0.2984087485377627,0.37914988544851985,0.7533920315777776,0.704070437893333,0.8074301746710549,0.6306894523812101
46,1.0,1.0,1.0,1.0,0.8203379714642829,1.0,0.36084562226055344,0.9642162109042944,0.8931749755786413
47,1.0,0.9426564158294478,1.0,1.0,0.7358408406500806,1.0,1.0,1.0,0.959812157059941
48,1.0,0.47864706437991095,0.23175142988837483,0.8365642011776799,0.7283985000624819,1.0,0.9458192000701816,1.0,0.7776475494473287
49,0.7451377425757416,1.0,1.0,0.7407116481340597,0.3322056827877622,0.796810772207812,0.7496940862935939,1.0,0.7955699914998713
50,1.0,0.8860122524261984,0.744204845389697,0.904557906208448,0.7931284526295556,0.4359786284394262,0.3802459402125806,0.9703031618884342,0.7643038983992925
51,0.20349526996254264,0.7964126229985654,0.5988324638337883,0.48115315709915113,0.9360578348938365,1.0,1.0,0.8628645329302402,0.7348519852147656
52,1.0,1.0,0.741303601047854,1.0,0.5805139997123245,1.0,0.5983819640858765,1.0,0.8650249456057569
53,1.0,0.722038281361399,0.8383839773172298,0.9444315560169252,0.8445735650711327,0.22148396848296548,1.0,1.0,0.8213639185312065
54,1.0,1.0,1.0,0.9050270311388771,0.8197235214153152,0.6243572048662305,0.7881474587239042,0.7326086964964031,0.8587329890800912
