Num,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,Average
1,0.7357802493040818,0.0,0.7279038785641646,0.5683361867611977,0.9647189921154972,0.7014626142967523,0.6396394293297561,0.7351588320551526,0.6341250228033254
2,0.7462365634261373,0.4096480252893947,0.6806457179199119,0.690920726401644,0.741140103038898,0.6323238724017881,0.8067797881147251,0.8796267517509861,0.6984151935429356
3,0.7510718190736374,0.4909923988401458,0.5285720793978951,1.0,1.0,1.0,0.976903610335469,0.8510045874626108,0.8248180618887198
4,0.5292759372949996,0.49444102525544703,1.0,1.0,1.0,0.6716801370246774,1.0,0.959600801619898,0.8318747376493778
5,0.8037803040095042,0.415634202171456,0.556184399216663,0.7383639924118766,0.6349473104747887,0.5226608862675396,0.5630300317664072,0.6075557759277792,0.6052696127807519
6,0.3777124988937108,0.8872455057101356,0.7532081823719777,0.7927791495639466,0.5979117878151841,0.550714581754547,0.9580191233343719,0.9988645826525429,0.7395569265120521
7,0.3104416037433898,0.5526844866690167,0.6391552689125561,0.6686899339464037,0.6406014326842024,0.5626992217986221,0.8057213417201353,1.0,0.6474991611842907
8,0.4285388170797043,1.0,0.5378532697526207,0.9892080415272789,0.7062112331758938,0.5715547359601353,1.0,0.5281033427607289,0.7201836800320452
9,0.8627333176717559,0.41802330596165405,0.7061004113089929,1.0,1.0,0.8521625946586527,0.984356209803085,0.5539154082668052,0.7971614059588682
10,1.0,0.6975203933594875,0.5848374574474698,0.7298095037716289,0.7646656803183051,0.9877653678602165,0.4484138912759874,0.665323880382491,0.7347920218019484
11,0.3464976720608668,0.5061917290276454,0.6101782720564071,0.976968632081313,0.5650905326538334,0.5327420440442219,0.6793499634991366,0.5712999282136529,0.5985398467046347
12,0.9842658300958478,0.8541605234783517,0.6897993919528402,0.8830406462136482,0.7144260473871277,0.7257269654812364,0.5057169346292382,0.7113404209519075,0.7585595950237748
13,0.2425326862171375,0.9285117727086284,0.8269575086118396,0.889537931185116,0.9138501394885699,0.6718388771736025,0.8124303110559815,0.3756158153078369,0.7076593802185891
14,0.21384808543656403,0.6888680942998262,0.7275296751363728,1.0,0.8926590534185006,1.0,0.6058462642087382,0.554303602372398,0.71038184685905
15,0.2450075163887619,0.9476944769195869,0.8827587259481326,0.687379009646236,0.7710564439554185,1.0,0.6450940436589163,1.0,0.7723737770646315
16,0.27133847546763024,0.3455119408379056,0.8346350401345489,0.4908841136165362,1.0,0.692802982491597,0.9390526773874202,0.524835370661152,0.6373825750745987
17,1.0,0.747158625089266,0.39910820177393236,0.9083542259925192,0.5077797173175386,0.8316024874819581,0.5298943590702037,0.8513031372380684,0.7219000942454358
18,0.5373683126481921,0.7439265120974152,0.5169100245318966,0.7388682356514552,1.0,0.5788531784658059,0.7753890188894382,0.9117666365478203,0.725385239854003
19,0.49627342381681244,0.5601878068615529,1.0,0.5957398486942889,1.0,0.5983868524097116,0.985566410184954,0.5595124780782114,0.7244583525056913
20,0.4439838834035699,0.7809734134566999,0.9107765292370179,0.8699065876076827,1.0,0.7070100017415467,0.8635901899354191,0.8879127909760866,0.8080191745447528
21,0.5892727886790861,0.7380281230636243,0.5338796052103999,0.6310904029986663,0.6542134900338594,0.8880634212289124,1.0,0.6552534113894296,0.7112251553254971
22,0.630764478834073,0.4733481572709517,0.7647395115353856,0.6058650139983622,0.7091315098274987,0.9791202571970983,0.7048947961686143,0.8391806421090567,0.71338054586763
23,0.2890244161332796,0.8267023424619079,0.742138488137419,0.6664544495192214,0.5619946698930808,0.9609189021760871,0.910557457628396,1.0,0.744723840743674
24,0.2827217554546789,0.5974982534372983,0.6928926646982703,0.7438526606473839,1.0,0.9161974285652872,0.7314711119445066,0.9429315898369572,0.7384456830730479
25,0.47152343023119925,0.7789858445026663,0.8018131571507252,0.6992632988393863,0.7182422934143724,0.5402714899288479,0.8998736439582252,0.5319630883139017,0.6802420307924155
26,0.25012860125556596,0.46430194232277666,0.5780006333279017,0.5757212439158065,0.6438957403252421,0.6979658816124574,0.6208631680430416,0.8406267100769557,0.5839379901099685
27,0.7472324565599828,0.6462745677308118,0.5923166681949316,0.44808305218585975,0.8273849336510932,0.7396918166152887,0.45629049895747287,0.49402122915291213,0.618911902881044
28,0.4315232729878568,0.5259291450438317,0.34852121304086225,0.6947328426924883,0.7156826142023703,0.808861187281073,0.7419334033371194,0.3825548879566783,0.5812173208177851
29,0.3498990043195372,0.34617099680061614,0.7340140397450946,0.8674277315852108,0.7554312354742202,0.9972219780704469,0.7353434030133055,1.0,0.723188548626054
30,0.3329019880817508,0.3191796708175073,0.7291495280486273,0.5168492529463667,0.6278324119281762,0.6284318393983722,0.5982008119537727,0.678662854461962,0.5539010447045669
31,0.5627554463670066,0.4221276382980291,0.9607672154991033,0.6105392582205101,0.7068861400151611,0.5247446584459022,0.5455667508754397,0.47698225685560985,0.6012961705720953
32,0.5935479412878184,0.7777103758781782,0.5609002387682556,0.6165920545516592,0.6884060305955706,0.9328248018732757,0.6958959183538987,0.5144232920116335,0.6725375816650363
33,0.0,0.7238228120906401,0.6816186553858501,1.0,0.7283461210524104,0.5544777751616807,1.0,0.8576616058100142,0.6932408711875744
34,0.7531460087545245,0.5393407096765692,0.7272379796994293,0.7698393807541748,0.9171622789401015,0.7838342849942947,0.7715919616442101,0.9146607734921881,0.7721016722444366
35,0.5363469047084479,1.0,0.91304302672126,0.5340531963591313,0.7457884593723765,0.9849071056203486,0.9323429324925063,0.6747817754698873,0.7901579250929949
36,0.7112671122512537,0.7042604430773801,0.4809476609240727,0.7232052254460386,0.5540680918344052,0.96651277348506,1.0,0.6696353185605091,0.7262370781973398
37,0.37148699913771277,0.8238558293922371,0.8418994835062543,0.9933235536369723,0.846513337026672,1.0,0.0,0.5858637628760295,0.6828678706969847
38,0.5805320759066256,0.6515949473420635,1.0,1.0,0.6165010857268091,0.5414840384512412,0.8787560921386423,0.8788030400350049,0.7684589099500484
39,0.28271960567053334,0.703132745426263,0.7240080403870796,0.687172537004977,0.8534986261649103,0.9481892877525399,0.797460303659783,0.9906630573310157,0.7483555254246378
40,0.24408172936025752,0.7659680563081388,0.5696697491613406,0.8292740468189431,1.0,0.5177870029791057,0.546332848475387,0.5211724128738922,0.6242857307471331
41,0.2754062837080248,0.7216181469409181,0.7193080130188403,0.6534877229423387,0.8177730523869213,0.5703639239297541,0.5652349242322,0.6031281122107696,0.6157900224212208
42,0.22434094128538004,1.0,0.705751078872959,0.8251045660038753,0.8807688930738734,0.7198042094672937,0.8755982838537009,1.0,0.7789209965696353
43,0.6930295152307472,0.36594615242706496,1.0,0.854142268836934,0.9900401256421305,0.4969459660648327,0.6084593571797215,0.6784960097950492,0.71088242439706
44,1.0,0.5625371198801705,0.9110521837955113,0.657486780972222,0.755086800065906,1.0,0.605380436383317,0.38395157250707523,0.7344368617005254
45,0.24962776052247795,0.7611366833299115,0.8303715126988759,1.0,0.9467787282737458,0.6932784389357715,0.7550645855314705,0.6983628909975408,0.7418275750362242
46,0.5378565077970723,0.5092591738822748,0.7080279301217042,0.666448627881635,0.8426390446633943,0.5238283435282712,0.7635888992641764,0.5353047461685503,0.6358691591633848
47,0.45311798239067647,0.577069550417788,0.4152103750470177,0.5360933627797596,0.6732505104889079,0.5464366199482985,0.8455158519391692,0.4794388543152311,0.5657666384158561
48,0.6044880603801043,0.9650597897316571,1.0,0.9385825189295195,0.671004644934057,0.6809309736236351,0.8205571509870785,0.6710130085263257,0.7939545183890472
49,0.8492885265145872,0.3992283296271325,0.5113684143184297,1.0,0.977963467819885,0.8506491232324763,0.7358279711702015,0.5701442836559979,0.7368087645423388
50,0.42387185573754044,0.7406850801165908,0.7378875746378831,0.819714388295196,0.9142797901296481,1.0,0.9927917698715241,0.965902095860993,0.8243915693311719
51,1.0,0.7455776126881235,0.6022426159883614,0.8547024812306412,0.9781972752970461,0.49500408661013817,0.5403933818080771,1.0,0.7770146817027985
52,0.4665105588892827,0.3807874227684099,0.7675319521169021,0.8440008757719993,1.0,0.7995122752126362,1.0,0.34256852758929285,0.7001139515435655
53,0.23894724248094318,0.5618864822800421,1.0,0.7133104201386018,0.8315255864505187,1.0,0.7499360611458857,0.4078252678310326,0.687928882540878
54,0.3666299842495856,0.5138569810771572,0.5414826624274652,0.7971518486629994,0.8848060474457428,0.940366861885982,0.5719124589453142,1.0,0.7020258555867808
55,0.2613818392151306,0.639459048395613,0.7856794373552227,1.0,0.7240731255807135,0.6346825040542411,0.8220408481657436,0.5389391376693548,0.6757819925545024
56,0.0,0.8218481869482656,1.0,1.0,0.9034583463253587,0.47480838907645184,0.6102402613541299,1.0,0.7262943979630258
57,0.32257327323767215,0.8083609310982026,0.5668543210799593,0.8782297671127043,0.5127189311743573,0.5465717508440678,0.9135331231171978,0.5422039378555883,0.6363807544399687
58,0.7212428033744901,0.9906792224487538,0.4171598899210243,0.593110208260347,0.9714673215568992,0.6868680918527074,0.8265072388625093,0.47467069680565,0.7102131841352977
59,0.8813408675465544,0.778983760209306,0.4334105814050882,0.6236806394366169,0.6639093327900988,0.7725840128142197,0.4585561255125782,1.0,0.7015581649643078
60,0.5221790794480601,0.9878211679351807,0.825687091739175,0.6096330476058897,0.6118439500519186,0.7652056394195867,0.997530706114598,0.8962198504502101,0.7770150665955773
61,0.3920545764396592,1.0,0.7517505371943566,1.0,0.5410026948889439,0.6622434022650983,0.7139858070267817,0.34531910148188777,0.6757945149120909
62,0.33776453765846437,0.3595335672154575,0.46985219138768386,0.6296917769986385,0.9846529203449105,1.0,0.7776929620362992,0.7690092781726094,0.666024654226758
63,0.3273768532761593,0.49794943128442115,0.43441751417306884,0.7775574007494573,0.6670400941894274,0.8918078287878577,0.5047889205026037,0.9458836786329822,0.6308527151994971
64,0.5208486034084313,0.7879726328992689,1.0,0.5432924007764592,0.6073373119661639,0.6820309496889341,0.4274848770452269,0.7890567152759609,0.6697529363825556
65,0.539449314372818,0.6526708747849672,0.4156778619300877,0.9363454592424311,0.661622468154246,0.6897810607974412,0.711639532385541,0.4062598892727208,0.6266808076175316
66,0.7065792920133949,0.2315452365579562,1.0,1.0,0.6879278163106846,0.9958473840716003,1.0,0.6489514129264945,0.7838563927350163
67,0.24661416072579992,0.6067111990757303,0.8375204583446897,0.5310294203272549,0.8676880472314094,0.7356583947639878,0.894387074376429,0.42913717987071126,0.6435932418395015
68,0.5352169642141388,0.9049424212831405,0.6081472952659639,1.0,0.6999829513259257,1.0,0.8412149881597212,0.6416932746358158,0.7788997368605882
69,0.2832698120062877,0.5596955697651695,0.8406746840634403,0.5688989822905421,0.6894913872833356,1.0,1.0,0.9720751439572335,0.7392631974207511
70,0.9048789374027641,0.6072547682310393,0.5510350240339813,0.4782173314966129,0.8632526313390406,0.6098138799924072,0.9345777777184734,0.4395998902232027,0.6735787800546902
71,1.0,0.417692858809062,0.7911529980462785,0.60861625558652,0.8436147845578689,1.0,0.8317965776491312,0.5884377680697099,0.7601639053398213
72,0.44613782043870404,0.34452787172022553,0.6871253834908579,0.6859306132094907,0.6535705041603296,0.6991767925664656,0.5168411076327863,0.9540598837808661,0.6234212471249658
73,0.5002748924523794,0.6127069555941826,0.4196280206489577,0.6419202139871101,0.9378613130112196,0.6709062779238532,0.5674746489935375,0.7290184373954706,0.6349738450008389
74,0.6254934222221541,0.41167113334960276,0.6646263915736994,0.8130924024506048,0.9895747740512576,0.6540494504888335,0.6067403508105249,0.7193629115423589,0.6855763545611295
75,0.2262046019614118,0.6018565035387037,0.6851617462532834,1.0,1.0,0.48697088889743406,0.7554819220417728,0.7744989850995535,0.6912718309740198
76,0.7887329389754709,0.2897475406266643,0.6760730707032421,0.7501897663480703,0.9689385819045295,0.7190614999973548,0.44684451853219065,0.6036548777276965,0.6554053493519024
77,0.46452502809077495,0.7092231699154132,0.4509987673158159,1.0,0.7300083938743638,0.705465081592639,0.5591601613232736,0.4041958651381267,0.6279470584063008
78,0.37819402017237636,0.3724129822636726,0.709417404881792,0.6720119766586985,0.6072476093337658,0.9890875412945255,0.6505272209434853,0.4867062168268516,0.6082006215468959
79,0.28694271474445215,0.818790051957536,0.43638981649534353,0.9348745399935114,0.7267974381265669,0.9992247094847759,0.8629102054698228,0.7619787782301911,0.7284885318127751
80,0.5284524603760833,0.46316115101753313,0.8863556450635992,1.0,0.7991653325434868,0.9444444104595524,0.6222886534506197,0.4990487445935945,0.7178645496880587
81,0.6632996350371995,0.3405928400597477,0.5670842844068904,0.8865152575797954,1.0,0.7521089545195883,0.768252181040813,0.46719198930544864,0.6806306427436853
82,0.22469279665291567,0.3069739629709935,1.0,0.8751747369415418,0.7185017549182312,0.7081174118757949,0.9028041427176882,0.9925075842954993,0.7160965487965831
83,0.6225112832174209,0.8415234043669686,0.4449546071906432,0.7219614538804499,0.7267796771382634,0.5485106326668595,1.0,0.3120598372366396,0.6522876119621556
84,0.5629232032657551,0.38180022877177666,0.8075181909382398,0.9615097422473718,1.0,0.7777526037935609,0.5373952410156635,0.887440582697058,0.7395424740911782
85,0.5821541544547153,0.5297386575039114,0.5727650925442769,0.6224749476317986,0.6643672949162844,0.8825623868531577,0.8537592650303956,0.7924718090286428,0.6875367009953978
86,0.6585462565404678,1.0,0.7169622730361538,1.0,0.7588046759606977,1.0,1.0,0.9909665751608956,0.8906599725872768
87,0.0,0.4504361072794806,0.5699384595997997,0.8835348885111332,0.9860708531644969,0.6337823085152201,0.6859446946327061,0.7639276323008755,0.621704368000464
88,0.28444239835299273,0.6522330121538539,0.554742383693478,0.8159496284406083,0.7233448504581995,0.8671286430715954,0.5577107125274968,0.45888414068737976,0.6143044711732005
89,0.4071599915883247,0.3764433104478328,0.48482216468276557,0.9667545955859155,0.6127638202085028,0.7870511692095833,0.5512037200531901,0.7596880120943126,0.6182358479838034
90,0.5410144116958892,0.35822864465982807,0.7261865899310799,0.659991708088035,0.7173636978235249,0.4521883782754748,0.44813417595880894,0.514510725310418,0.5522022914678824
91,0.6945725315862787,0.7331463416347321,0.3480510803000148,0.8773667654359838,0.592854018296076,0.6276052229008697,0.5035370202601991,0.5301512879309285,0.6134105335431352
92,0.0,0.34771794514877524,0.5163315451118037,0.6880783014698284,0.7268747996292048,0.7695357694623585,0.9427458552210907,0.8668304364544478,0.6072643315621886
93,0.49852490520002746,1.0,0.6094684337738936,1.0,0.9603580845473543,1.0,0.9720099511210636,0.7782695286380756,0.8523288629100518
94,1.0,0.4256321278158769,0.77215735145196,0.6683776410411191,0.5740758018495908,0.6372831017462524,0.6449026182328923,0.44759104450273784,0.6462524608300536
95,0.8764952861785128,0.6254355228198673,0.7970796621506299,0.9149298352626959,0.7299419132314968,0.90161066237111,0.66918969055739,0.48055645156624577,0.7494048780172435
96,0.4318584068958022,0.4556542737502961,0.5268025861826691,1.0,0.6758988146989677,0.6127133033550523,0.7597769004900015,0.6519407347341186,0.6393306275133634
97,1.0,0.6965904559116148,0.45621421857143535,0.7093705146055593,0.9436203727107663,0.8957474847294393,1.0,0.8712142893468933,0.8215946669844636
98,0.4013731964253219,0.8109468147118587,0.9561944268211912,0.8561262025764865,0.9599447912353123,0.6304877877339977,0.7661610379415591,1.0,0.797654282180716
