Num,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,Average
1,0.29702737095159487,0.0,0.8225057218338734,0.8938206395101681,0.6778208514781671,0.7186343719266032,0.8863236916674828,0.6734604925437051,0.6211991424889493
2,0.6039515854063844,0.573020913605815,0.6556463743337209,0.8167953475740778,0.9649191780419272,0.9115669084459935,0.7534817356308279,0.9087891053215896,0.773521393545042
3,0.7373131348802554,0.7676243293811349,0.5615864551128866,0.7983061316947212,0.6930163333070528,0.8829368232734811,0.6080630927914449,0.780023400429006,0.7286087126087479
4,0.8063272539703399,0.7165266040397352,0.6899492809153271,0.6594379089752211,0.7252931853186174,0.7361223615456326,0.9105813713572204,0.747834967557864,0.7490091167099947
5,0.6593826061565948,0.7132428669273444,0.775606948257203,0.8539579214417075,0.7046966755075895,0.7714120920246538,0.9104453029360069,0.9010574792288827,0.7862252365599979
6,0.7142637822993425,0.6654750453381603,0.709919369895441,0.7690669022067388,0.8587922715477327,0.9130960685689086,0.7763271143528918,0.7054681236923778,0.7640510847376991
7,0.6845687090536539,0.7575655901739033,0.5862276063077293,0.7568977776583958,0.8606329043013081,0.6152676175050619,0.8707673228954634,0.7809664099320751,0.7391117422284488
8,0.8642355559243987,0.9476761243237916,0.8413703963071206,0.7750079926575967,0.8261421404106455,0.814730993462942,0.6963387922225932,0.7030996952218674,0.8085752113163694
9,0.8938270189870126,0.6229315497307661,0.7310535183928365,0.7387696074552157,0.9327076646364949,0.8752769939973409,0.9532339430428812,0.8772123861809613,0.8281265853029386
10,0.8926580534853081,0.6692926664178146,0.6349631380510884,0.7236170534625737,0.7672926715966214,0.855526310018215,0.7440010248545662,0.7975770902526209,0.760616001017351
11,0.6043389874614058,0.4318814590711598,0.6125135612346955,0.9566892248980559,0.6550736132323518,0.7330385967138566,0.7095430595256755,0.9474284489932677,0.7063133688913086
12,0.7528355937484117,0.6408853937313083,0.6342048104231124,0.6796388121996023,0.7839361507353761,0.8824025081151917,0.8355817509100647,0.7760763053933966,0.7481951656570579
13,0.6715019864541163,0.5776475515195187,0.44496585304169123,0.7934491288866915,0.7630496662541248,0.7821840130981533,0.7995130078523122,0.8474177835028545,0.7099661238261828
14,0.7512986149404091,0.6360560695970737,0.588943938583933,0.8291397142791022,0.8297456012276206,0.8145413919620959,0.8658714717220108,0.9335072916601702,0.781138011746552
15,0.8772011346452628,0.6847684272561413,0.6435288306560222,0.6994986156344868,0.7050670735586263,0.5035141998259491,0.7298627673900077,0.7739453459105511,0.7021732993596309
16,0.721158918742461,0.6344536402459,0.6723478139407718,0.5814803129983062,0.6998704405376436,0.8314236861012791,0.7855441828525682,0.8944395486662725,0.7275898180106503
17,0.7243047801656539,0.7262016426507014,0.7411641965458269,0.7554278755645595,0.6634844059625901,0.9133195436561728,0.8021165510901943,0.7862562949916,0.7640344113284124
18,0.6697631697970989,0.844785151343762,0.7499311984114175,0.758653519136444,0.8927358184580142,0.8708821994581356,0.9052394024878571,0.8272879797483864,0.8149098048551395
19,0.6016541882881382,0.601464265611495,0.7289414018577036,0.8500771349645235,0.7322313850331943,0.8289778953778364,0.8798366410369435,0.8527269461127246,0.7594887322853199
20,0.8718949127713723,0.5968060460579262,0.7019194480449356,0.7704161697158292,0.7539782384447048,0.6265537470193631,0.7645558906397855,0.8693327151486623,0.7444321459803224
21,0.4261450378019361,0.8637625595761584,0.8041848695127062,0.8631263578277208,0.6368698767079753,0.8652856711695689,0.8096439742342793,0.9026155339918313,0.771454235102772
