Num,F_1,F_2,F_3,F_4,F_5,Average
1,0.8032175433276114,0.7586248138391415,0.5689235574967088,0.9401717137697907,0.5577045865808181,0.7257284430028141
2,0.7934158986144656,0.695708681435765,0.19443423867090334,0.8670005277262852,0.7513101107327624,0.6603738914360363
3,0.6442796165762059,0.6902499332398613,0.4804812684926,0.8436413107155017,0.9431621979713828,0.7203628653991103
4,0.9427218511785949,0.5063415446586893,0.6179277220758649,0.4384881648702634,0.7341508881838321,0.6479260341934487
5,0.09057998200782848,0.31093438077634883,0.6184127153902402,0.8523862081322165,0.7540741186783758,0.525277480997002
6,0.0,0.21041192252609647,0.49369260960404404,0.7284777423288781,0.9759099002094528,0.4816984349336943
7,0.6616297408846253,0.866999254231922,0.5569769408901635,0.7849153340797504,0.780260009967897,0.7301562560108715
8,0.7057660828927874,0.7149108816687748,0.396671881282098,0.6626519488401954,0.913314001183285,0.6786629591734281
9,0.7785872284549674,0.7304076419194618,0.6261086872351291,0.7814958061358993,0.7499182473028053,0.7333035222096527
10,0.9425421684875711,0.9222299721460491,0.6407802033933049,0.8850548147820859,0.6214676386601935,0.8024149594938409
11,0.8592852147546313,0.633654917332521,0.542106593203624,0.3890059376032386,0.5356363975986336,0.5919378120985297
12,0.7226415194698053,0.6486671903150278,0.32226253598861804,0.9788581066980114,0.9744307960243065,0.7293720296991537
13,0.8368257599490763,0.5964636177809712,0.40647838411093296,0.7012227155691629,0.955889825774437,0.6993760606369162
14,0.8835581709802568,0.6140604738037517,0.3903043801080203,0.8500196317543036,0.8614901047317428,0.719886552275615
15,0.8417769602276266,0.6988790639286865,0.5995423555331315,0.6688291476597563,0.5712840098954418,0.6760623074489286
16,0.8052477869006518,0.6944408528784014,0.5352839645046905,0.09218626735583366,0.6898888297860826,0.563409540285132
17,0.6970458638022787,0.844574583402013,0.4333643173483216,0.7700278793963241,0.9342467797910539,0.7358518847479982
18,0.8271194904455643,0.4903418563806305,0.5338812414317744,0.6419340245509921,0.6365704380114122,0.6259694101640748
19,0.4321108822805265,0.7047913619859282,0.42861427062874047,0.7658843618106316,0.7196701834350029,0.610214212028166
20,0.7864614260104753,0.6241178973270034,0.7081103547002101,0.743244750437272,0.8361545433641194,0.7396177943678162
21,0.6843432729872388,0.7617959372659365,0.3061296020289588,0.6646734845365132,0.6487369253488701,0.6131358444335036
22,0.7014104210613171,0.7406005900921951,0.4944879385555967,0.4958053647361402,0.926855844772816,0.6718320318436131
23,0.8636575420154352,0.6114686276098653,0.5648040417871818,0.7982595968681053,0.5970884798066318,0.6870556576174438
24,0.8171273552610495,0.07328202665767491,0.7448566880644403,0.7187949787900376,0.20107000689276214,0.5110262111331928
25,0.6760599335448363,0.6774080011019381,0.7861954073549584,0.6945867156727958,0.7614565862591708,0.7191413287867399
26,0.7479050494041382,0.8839705554288776,0.5524761516540012,0.8571864169235995,0.4042815090435706,0.6891639364908374
27,0.7585555203062402,0.8104831878582833,0.8357696486446874,0.5655416142792166,0.8161633155920477,0.7573026573360949
28,0.6800061095233451,0.5889342938656946,0.7742123183694568,0.8652253873690527,0.9009264449508447,0.7618609108156789
29,0.8986059744479914,0.9496896754364144,0.4649717850743412,0.8142689251367823,0.9427596538797884,0.8140592027950635
30,0.0,0.6140117197786646,0.7751758108226757,0.8416514686294881,0.6643315563414073,0.5790341111144472
31,0.6215176797719526,0.7787803303235362,0.7252571488908974,0.7620577302681436,0.9532739450832717,0.7681773668675603
32,0.798394453291348,0.629198263023776,0.6772727490195878,0.8057857044766839,0.8916195921635716,0.7604541523949934
33,0.8229035750905703,0.6511707607546452,0.46273283030024714,0.5512333120523528,0.8086850597284593,0.6593451075852549
34,0.7356788708152296,0.6948490841966103,0.6465719829008273,0.8827741707134764,0.7340724357974177,0.7387893088847123
35,0.7697351386273075,0.5876683669101417,0.4246945765052051,0.48749634743971604,0.9140888417444019,0.6367366542453544
36,0.040234818625737113,0.5263786027083559,0.6149310265779351,0.671482540350669,0.9476027661021698,0.5601259508729733
37,0.8726559303107946,0.47265309429287866,0.5486160431086393,0.41590711746047987,0.612546403096477,0.5844757176538539
38,0.7449821568733948,0.0,0.42092223128415657,0.5988399852401108,0.9591159916770098,0.5447720730149344
39,0.7851290611345623,0.6309351375418786,0.6984794651819926,0.7891450145388319,0.648139451210093,0.7103656259214717
40,0.43585270029412115,0.6549538941321317,0.3535390539314531,0.3790566110327145,0.4985379327987707,0.46438803843783827
41,0.5948575751478747,0.560688612640813,0.37747428626477686,0.7610186670691154,0.9141833218242813,0.6416444925893723
42,0.8773287442993839,0.7592819305072458,0.46904740422019064,0.8618915618955872,0.5704889192060686,0.7076077120256954
43,0.41548703784752905,0.6458116089173002,0.5339196567320105,0.7866327618228138,0.6303485352426368,0.6024399201124581
44,0.4066019171839506,0.8039460398419277,0.48758401053152123,0.5996336569454761,0.9027543895486275,0.6401040028103007
45,0.7890735844149003,0.751583497702181,0.4541904315155402,0.5755336778306743,0.8526171706545008,0.6845996724235593
46,0.6576545231338933,0.8555916504300483,0.42696040879354863,0.9523509546144976,0.8522762497973687,0.7489667573538713
47,0.5337585177941128,0.2733712817931875,0.40236190871803307,0.5215500416149661,0.8933838333247567,0.5248851166490113
48,0.893377959865703,0.7053416405754266,0.6649703749755415,0.13893251624205322,0.570115655382924,0.5945476294083296
49,0.6936069828370156,0.6536359113888474,0.58606886055977,0.5577693048413822,0.8389907704847722,0.6660143660223575
50,0.6289134554071708,0.7967643533037554,0.615310305854047,0.7303325458272601,0.8939189855340096,0.7330479291852485
51,0.5361148027382715,0.5863766274613338,0.4879911777893278,0.841138580207717,0.7656328386645395,0.6434508053722379
52,0.7252261696612196,0.8389069162989022,0.7066459253073811,0.5933986754644796,0.7986275842205095,0.7325610541904983
53,0.6322884608346644,0.4763294559819824,0.43779480921746694,0.7891200451086514,0.744189381445994,0.6159444305177518
54,0.8624398584469546,0.9568338150727222,0.6779470166436236,0.7219701000231853,0.6765817112303092,0.7791545002833589
55,0.895841281724508,0.7831661314011639,0.43996875387568374,0.7864224645704431,0.5452377594195263,0.690127278198265
56,0.8801383298049033,0.6595069116497856,0.6667025927563316,0.829608466998741,0.8359053924639759,0.7743723387347474
